,Impetuous Lad,Lornas Law,Wallys Boy,Up The Amps,Lonely Tuna,Brians Buster,Burnt Jam,No Surprise
11-01-2023 13:13:54.663536,"(5.0, 8.8, 6.2)","(13.0, 40.0, 34.25)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:13:55.842618,"(5.0, 8.8, 6.2)","(13.0, 40.0, 34.25)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:13:57.031713,"(5.0, 8.8, 6.2)","(13.0, 40.0, 34.25)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:13:58.260672,"(5.0, 8.8, 6.2)","(13.0, 40.0, 35.5)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:13:59.436177,"(5.0, 8.8, 6.2)","(13.0, 40.0, 35.5)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:00.584301,"(5.0, 8.8, 6.2)","(13.0, 40.0, 35.5)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:01.753629,"(5.0, 8.8, 6.2)","(13.0, 40.0, 35.5)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:02.980173,"(5.0, 8.8, 6.2)","(13.0, 40.0, 35.5)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:04.119608,"(5.0, 8.8, 6.2)","(13.0, 40.0, 35.5)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
11-01-2023 13:14:05.301522,"(5.0, 8.8, 6.2)","(13.0, 40.0, 35.5)","(6.5, 11.0, 9.16)","(4.0, 7.6, 5.273684210526316)","(12.0, 28.0, 18.833333333333332)","(41.0, 120.0, 61.25)","(6.0, 10.5, 7.625)","(2.7, 4.4, 3.8400000000000003)"
