,Road Home,Blue Jeans Talk,Akimbo,White Like Snow,Black Delight,Five Putt Cal
11-01-2023 21:01:23.778102,"(14.0, 36.0, 33.3125)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:01:24.839168,"(14.0, 36.0, 30.875)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:01:25.908336,"(14.0, 36.0, 30.875)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:01:26.992247,"(14.0, 36.0, 30.875)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:01:28.106675,"(14.0, 36.0, 30.875)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:01:29.198237,"(14.0, 36.0, 30.875)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:01:30.248955,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:01:31.215762,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:01:32.227799,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:01:33.313538,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:01:34.431056,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:01:35.460286,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:01:36.492529,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:01:37.487490,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:01:38.435808,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:01:39.492267,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:01:40.592155,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:01:41.663037,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:01:42.703240,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:01:43.809023,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:01:44.847979,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:01:45.889620,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:01:46.925549,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
11-01-2023 21:01:48.084662,"(14.0, 36.0, 31.0)","(3.7, 6.2, 4.925)","(51.0, 390.0, 145.76470588235293)","(2.1, 3.15, 2.5033333333333334)","(6.5, 12.0, 11.42)","(3.6, 3.8, 3.4307692307692306)"
