,Dr Julienne,Green La La,Dr Callie,My Dreamer,Gero Lads,Sweet Lola,Hustle Hustle,Jayville Crew
11-01-2023 18:29:19.291580,"(14.0, 30.0, 16.923076923076923)","(2.6, 4.3, 2.795)","(17.0, 40.0, 29.6)","(2.2, 3.6, 2.7066666666666666)","(13.0, 29.0, 22.4)","(41.0, 310.0, 141.3846153846154)","(4.2, 8.2, 4.7)","(91.0, 590.0, 532.7777777777778)"
11-01-2023 18:29:20.640520,"(14.0, 30.0, 16.923076923076923)","(2.6, 4.3, 2.795)","(17.0, 40.0, 29.6)","(2.2, 3.6, 2.7066666666666666)","(13.0, 29.0, 22.4)","(41.0, 310.0, 141.3846153846154)","(4.2, 8.2, 4.7)","(91.0, 590.0, 532.7777777777778)"
11-01-2023 18:29:21.949958,"(14.0, 30.0, 16.923076923076923)","(2.6, 4.3, 2.795)","(17.0, 40.0, 29.6)","(2.2, 3.6, 2.7066666666666666)","(13.0, 29.0, 22.4)","(41.0, 310.0, 141.3846153846154)","(4.2, 8.2, 4.7)","(91.0, 590.0, 532.7777777777778)"
11-01-2023 18:29:23.256874,"(14.0, 30.0, 16.923076923076923)","(2.6, 4.3, 2.795)","(17.0, 40.0, 29.6)","(2.2, 3.6, 2.7066666666666666)","(13.0, 29.0, 22.4)","(41.0, 310.0, 141.3846153846154)","(4.2, 8.2, 4.7)","(91.0, 590.0, 532.7777777777778)"
11-01-2023 18:29:24.469649,"(14.0, 30.0, 16.923076923076923)","(2.6, 4.3, 2.795)","(17.0, 40.0, 29.6)","(2.2, 3.6, 2.7066666666666666)","(13.0, 29.0, 22.4)","(41.0, 310.0, 141.3846153846154)","(4.2, 8.2, 4.7)","(91.0, 590.0, 532.7777777777778)"
11-01-2023 18:29:25.726393,"(14.0, 30.0, 16.923076923076923)","(2.6, 4.3, 2.795)","(17.0, 38.0, 27.200000000000003)","(2.2, 3.6, 2.7066666666666666)","(13.0, 29.0, 22.4)","(41.0, 310.0, 141.3846153846154)","(4.2, 8.2, 4.7)","(91.0, 590.0, 532.7777777777778)"
11-01-2023 18:29:26.929252,"(14.0, 30.0, 16.923076923076923)","(2.6, 4.3, 2.795)","(17.0, 36.0, 27.200000000000003)","(2.2, 3.6, 2.7066666666666666)","(13.0, 29.0, 22.4)","(41.0, 310.0, 141.3846153846154)","(4.2, 8.2, 4.7)","(91.0, 590.0, 532.7777777777778)"
11-01-2023 18:29:28.225116,"(14.0, 30.0, 16.923076923076923)","(2.6, 4.3, 2.795)","(17.0, 36.0, 27.200000000000003)","(2.2, 3.6, 2.7066666666666666)","(13.0, 29.0, 22.4)","(41.0, 310.0, 141.3846153846154)","(4.2, 8.2, 4.7)","(91.0, 590.0, 532.7777777777778)"
11-01-2023 18:29:29.530213,"(14.0, 30.0, 16.923076923076923)","(2.6, 4.3, 2.795)","(17.0, 36.0, 27.200000000000003)","(2.2, 3.6, 2.7066666666666666)","(13.0, 29.0, 22.4)","(41.0, 310.0, 141.3846153846154)","(4.2, 8.2, 4.7)","(91.0, 590.0, 532.7777777777778)"
11-01-2023 18:29:30.799784,"(14.0, 30.0, 16.923076923076923)","(2.6, 4.3, 2.795)","(17.0, 36.0, 27.200000000000003)","(2.2, 3.6, 2.7066666666666666)","(13.0, 29.0, 22.4)","(41.0, 310.0, 141.3846153846154)","(4.2, 8.2, 4.7)","(91.0, 590.0, 532.7777777777778)"
