,Gagan Muldoon,Friend Or Foe,Ruby Sannette,Despicable Danny,Maddy Northcott,Noras Boy,Hooked On Jack,Bad Habits
11-01-2023 12:02:38.637582,"(10.0, 21.0, 20.035087719298247)","(11.0, 23.0, 21.954545454545453)","(3.0, 5.1, 3.4555555555555557)","(5.5, 10.5, 5.458333333333333)","(71.0, 550.0, 470.0)","(1.9, 2.8, 2.2133333333333334)","(21.0, 100.0, 62.0)","(31.0, 220.0, 113.88888888888889)"
11-01-2023 12:02:39.685174,"(10.0, 21.0, 20.035087719298247)","(11.0, 23.0, 21.954545454545453)","(3.0, 5.1, 3.4555555555555557)","(5.5, 10.5, 5.458333333333333)","(71.0, 550.0, 470.0)","(1.9, 2.8, 2.2133333333333334)","(21.0, 100.0, 62.0)","(31.0, 220.0, 113.88888888888889)"
11-01-2023 12:02:40.728351,"(10.0, 21.0, 20.035087719298247)","(11.0, 23.0, 21.954545454545453)","(3.0, 5.1, 3.4555555555555557)","(5.5, 10.5, 5.458333333333333)","(71.0, 550.0, 470.0)","(1.9, 2.8, 2.2133333333333334)","(21.0, 100.0, 62.0)","(31.0, 220.0, 113.88888888888889)"
11-01-2023 12:02:41.816427,"(10.0, 21.0, 20.035087719298247)","(11.0, 23.0, 21.954545454545453)","(3.0, 5.1, 3.4555555555555557)","(5.5, 10.5, 5.458333333333333)","(71.0, 550.0, 470.0)","(1.9, 2.8, 2.2133333333333334)","(21.0, 100.0, 62.0)","(31.0, 220.0, 113.88888888888889)"
11-01-2023 12:02:42.873330,"(10.0, 21.0, 20.035087719298247)","(11.0, 23.0, 21.954545454545453)","(3.0, 5.1, 3.4555555555555557)","(5.5, 10.5, 5.458333333333333)","(71.0, 550.0, 470.0)","(1.9, 2.8, 2.2133333333333334)","(21.0, 100.0, 62.0)","(31.0, 220.0, 113.88888888888889)"
11-01-2023 12:02:43.872670,"(10.0, 21.0, 20.035087719298247)","(11.0, 23.0, 21.954545454545453)","(3.0, 5.1, 3.4555555555555557)","(5.5, 10.5, 5.458333333333333)","(71.0, 550.0, 470.0)","(1.9, 2.8, 2.2133333333333334)","(21.0, 100.0, 62.0)","(31.0, 220.0, 113.88888888888889)"
11-01-2023 12:02:44.914972,"(10.0, 21.0, 20.035087719298247)","(11.0, 23.0, 21.954545454545453)","(3.0, 5.1, 3.4555555555555557)","(5.5, 10.5, 5.458333333333333)","(71.0, 550.0, 470.0)","(1.9, 2.8, 2.2133333333333334)","(21.0, 100.0, 62.0)","(31.0, 220.0, 113.88888888888889)"
11-01-2023 12:02:45.980907,"(10.0, 21.0, 20.035087719298247)","(11.0, 23.0, 21.954545454545453)","(3.0, 5.1, 3.4555555555555557)","(5.5, 10.5, 5.458333333333333)","(71.0, 550.0, 470.0)","(1.9, 2.8, 2.2133333333333334)","(21.0, 100.0, 62.0)","(31.0, 220.0, 113.88888888888889)"
11-01-2023 12:02:46.996216,"(10.0, 21.0, 20.035087719298247)","(11.0, 23.0, 21.954545454545453)","(3.0, 5.1, 3.4555555555555557)","(5.5, 10.5, 5.458333333333333)","(71.0, 550.0, 470.0)","(1.9, 2.8, 2.2133333333333334)","(21.0, 100.0, 62.0)","(31.0, 220.0, 113.88888888888889)"
11-01-2023 12:02:48.020023,"(10.0, 21.0, 20.035087719298247)","(11.0, 23.0, 21.954545454545453)","(3.0, 5.1, 3.4555555555555557)","(5.5, 10.5, 5.458333333333333)","(71.0, 550.0, 470.0)","(1.9, 2.8, 2.2133333333333334)","(21.0, 100.0, 62.0)","(31.0, 220.0, 113.88888888888889)"
11-01-2023 12:02:49.097676,"(10.0, 21.0, 20.035087719298247)","(11.0, 23.0, 21.954545454545453)","(3.0, 5.1, 3.4555555555555557)","(5.5, 10.5, 5.458333333333333)","(71.0, 550.0, 470.0)","(1.9, 2.8, 2.2133333333333334)","(21.0, 100.0, 62.0)","(31.0, 220.0, 113.88888888888889)"
11-01-2023 12:02:50.182335,"(10.0, 21.0, 20.035087719298247)","(11.0, 23.0, 21.954545454545453)","(3.0, 5.1, 3.4555555555555557)","(5.5, 10.5, 5.458333333333333)","(71.0, 550.0, 470.0)","(1.9, 2.8, 2.2133333333333334)","(21.0, 100.0, 62.0)","(31.0, 220.0, 113.88888888888889)"
11-01-2023 12:02:51.246100,"(10.0, 21.0, 20.035087719298247)","(11.0, 23.0, 21.954545454545453)","(3.0, 5.1, 3.4555555555555557)","(5.5, 10.5, 5.458333333333333)","(71.0, 550.0, 470.0)","(1.9, 2.8, 2.2133333333333334)","(21.0, 100.0, 62.0)","(31.0, 220.0, 113.88888888888889)"
11-01-2023 12:02:52.286904,"(10.0, 21.0, 20.035087719298247)","(11.0, 23.0, 21.954545454545453)","(3.0, 5.1, 3.4555555555555557)","(5.5, 10.5, 5.458333333333333)","(71.0, 550.0, 470.0)","(1.9, 2.8, 2.2133333333333334)","(21.0, 100.0, 62.0)","(31.0, 220.0, 113.88888888888889)"
11-01-2023 12:02:53.326595,"(10.0, 21.0, 20.035087719298247)","(11.0, 23.0, 21.954545454545453)","(3.0, 5.1, 3.4555555555555557)","(5.5, 10.5, 5.458333333333333)","(71.0, 550.0, 470.0)","(1.9, 2.8, 2.2133333333333334)","(21.0, 100.0, 62.0)","(31.0, 220.0, 113.88888888888889)"
