,Rapidfire Forest,Moody Girl,Whizbang Jack,Why Not Rhyno,Sneaky Mojo,Cyber Crime,Sheila Sazs,Galloping Star
11-01-2023 18:48:41.624837,"(6.0, 11.0, 7.699999999999999)","(7.0, 12.0, 9.666666666666666)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 44.79166666666667)","(7.5, 20.0, 17.288888888888888)","(21.0, 95.0, 42.14285714285714)"
11-01-2023 18:48:42.949737,"(6.0, 11.0, 7.699999999999999)","(7.0, 12.0, 9.666666666666666)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 44.79166666666667)","(7.5, 20.0, 17.288888888888888)","(21.0, 95.0, 42.14285714285714)"
11-01-2023 18:48:44.346174,"(6.0, 11.0, 7.699999999999999)","(7.0, 12.0, 9.666666666666666)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 44.79166666666667)","(7.5, 20.0, 17.288888888888888)","(21.0, 95.0, 42.14285714285714)"
11-01-2023 18:48:45.665359,"(6.0, 11.0, 7.699999999999999)","(7.0, 12.0, 9.666666666666666)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 44.79166666666667)","(7.5, 20.0, 17.0)","(21.0, 95.0, 57.5)"
11-01-2023 18:48:46.935186,"(6.0, 11.0, 7.699999999999999)","(7.0, 12.0, 9.666666666666666)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 44.79166666666667)","(7.5, 20.0, 14.1)","(21.0, 95.0, 57.5)"
11-01-2023 18:48:48.452935,"(6.0, 11.0, 7.699999999999999)","(7.0, 12.0, 9.666666666666666)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 44.79166666666667)","(7.5, 20.0, 14.1)","(21.0, 95.0, 57.5)"
11-01-2023 18:48:49.991186,"(6.0, 11.0, 7.699999999999999)","(7.0, 12.0, 9.666666666666666)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 44.79166666666667)","(7.5, 20.0, 16.685714285714283)","(21.0, 95.0, 57.5)"
11-01-2023 18:48:51.484151,"(6.0, 11.0, 7.699999999999999)","(7.0, 12.0, 9.666666666666666)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 44.79166666666667)","(7.5, 20.0, 14.3)","(21.0, 95.0, 57.5)"
11-01-2023 18:48:52.895467,"(6.0, 11.0, 7.699999999999999)","(7.0, 12.0, 9.666666666666666)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 44.79166666666667)","(7.5, 20.0, 14.3)","(21.0, 95.0, 57.5)"
11-01-2023 18:48:54.304223,"(6.0, 11.0, 7.699999999999999)","(7.0, 12.0, 9.666666666666666)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 44.79166666666667)","(7.5, 20.0, 14.3)","(21.0, 95.0, 57.5)"
11-01-2023 18:48:55.736526,"(6.0, 11.0, 7.699999999999999)","(7.0, 12.0, 9.666666666666666)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 35.0)","(7.5, 20.0, 14.3)","(21.0, 95.0, 57.5)"
11-01-2023 18:48:57.140150,"(6.0, 11.0, 7.699999999999999)","(7.0, 12.0, 9.666666666666666)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 46.53846153846154)","(7.5, 20.0, 14.3)","(21.0, 95.0, 53.888888888888886)"
11-01-2023 18:48:58.466115,"(6.0, 11.0, 7.699999999999999)","(7.0, 12.0, 9.666666666666666)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 46.53846153846154)","(7.5, 20.0, 14.3)","(21.0, 95.0, 53.888888888888886)"
11-01-2023 18:48:59.767796,"(6.0, 11.0, 7.699999999999999)","(7.0, 12.0, 9.666666666666666)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 46.53846153846154)","(7.5, 20.0, 14.3)","(21.0, 95.0, 53.888888888888886)"
11-01-2023 18:49:01.076641,"(6.0, 11.0, 7.699999999999999)","(7.0, 12.0, 10.755555555555556)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 46.53846153846154)","(7.5, 20.0, 14.3)","(21.0, 95.0, 53.888888888888886)"
11-01-2023 18:49:02.463830,"(6.0, 11.0, 7.699999999999999)","(7.0, 12.0, 10.755555555555556)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 46.53846153846154)","(7.5, 20.0, 14.3)","(21.0, 95.0, 53.888888888888886)"
11-01-2023 18:49:03.829058,"(6.0, 11.0, 7.699999999999999)","(7.0, 12.0, 9.666666666666666)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 30.454545454545453)","(7.5, 20.0, 17.15)","(21.0, 95.0, 55.53333333333333)"
11-01-2023 18:49:05.217705,"(6.0, 11.0, 7.699999999999999)","(7.0, 12.0, 9.666666666666666)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 30.454545454545453)","(7.5, 20.0, 17.15)","(21.0, 95.0, 55.53333333333333)"
11-01-2023 18:49:06.563739,"(6.0, 11.0, 7.699999999999999)","(7.0, 12.0, 9.666666666666666)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 30.454545454545453)","(7.5, 20.0, 17.15)","(21.0, 95.0, 55.53333333333333)"
11-01-2023 18:49:07.968749,"(6.0, 11.0, 7.699999999999999)","(7.0, 12.0, 9.666666666666666)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 30.454545454545453)","(7.5, 20.0, 17.15)","(21.0, 95.0, 55.53333333333333)"
11-01-2023 18:49:09.397839,"(6.0, 11.0, 7.699999999999999)","(7.0, 12.0, 9.666666666666666)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 30.454545454545453)","(7.5, 20.0, 17.15)","(21.0, 95.0, 55.53333333333333)"
11-01-2023 18:49:10.806320,"(6.0, 11.0, 7.699999999999999)","(7.0, 12.0, 9.666666666666666)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 30.454545454545453)","(7.5, 20.0, 14.5)","(21.0, 95.0, 55.53333333333333)"
11-01-2023 18:49:12.198307,"(6.0, 11.0, 7.699999999999999)","(7.0, 12.0, 9.666666666666666)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 30.454545454545453)","(7.5, 20.0, 17.25)","(21.0, 95.0, 55.53333333333333)"
11-01-2023 18:49:13.534399,"(6.0, 11.0, 7.699999999999999)","(7.0, 12.0, 9.666666666666666)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 30.454545454545453)","(7.5, 20.0, 17.25)","(21.0, 95.0, 55.53333333333333)"
11-01-2023 18:49:14.922917,"(6.0, 11.0, 7.699999999999999)","(7.0, 12.0, 9.666666666666666)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 30.454545454545453)","(7.5, 20.0, 17.25)","(21.0, 95.0, 55.53333333333333)"
11-01-2023 18:49:16.245440,"(6.0, 11.0, 7.699999999999999)","(7.0, 12.0, 9.666666666666666)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 30.454545454545453)","(7.5, 20.0, 17.25)","(21.0, 95.0, 55.53333333333333)"
11-01-2023 18:49:17.623361,"(6.0, 11.0, 7.699999999999999)","(7.0, 12.0, 9.666666666666666)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 30.454545454545453)","(7.5, 20.0, 17.25)","(21.0, 95.0, 55.53333333333333)"
11-01-2023 18:49:19.008378,"(6.0, 11.0, 7.699999999999999)","(7.0, 12.0, 9.083333333333334)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 30.454545454545453)","(7.5, 20.0, 17.25)","(21.0, 95.0, 36.6)"
11-01-2023 18:49:20.398858,"(6.0, 11.0, 7.699999999999999)","(7.0, 11.0, 9.083333333333334)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 30.454545454545453)","(7.5, 20.0, 15.600000000000001)","(21.0, 95.0, 36.6)"
11-01-2023 18:49:21.891511,"(6.0, 11.0, 7.699999999999999)","(7.0, 11.0, 9.083333333333334)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 30.454545454545453)","(7.5, 20.0, 15.600000000000001)","(21.0, 95.0, 36.6)"
11-01-2023 18:49:23.428726,"(6.0, 11.0, 7.699999999999999)","(7.0, 11.0, 9.083333333333334)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 30.454545454545453)","(7.5, 20.0, 15.600000000000001)","(21.0, 95.0, 36.6)"
11-01-2023 18:49:24.878286,"(6.0, 11.0, 7.699999999999999)","(7.0, 11.0, 9.083333333333334)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 30.09090909090909)","(7.5, 20.0, 15.600000000000001)","(21.0, 95.0, 52.714285714285715)"
11-01-2023 18:49:26.277980,"(6.0, 11.0, 7.699999999999999)","(7.0, 11.0, 9.083333333333334)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 30.09090909090909)","(7.5, 20.0, 15.600000000000001)","(21.0, 95.0, 52.714285714285715)"
11-01-2023 18:49:27.744491,"(6.0, 11.0, 7.699999999999999)","(7.0, 11.0, 9.083333333333334)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 30.09090909090909)","(7.5, 20.0, 15.600000000000001)","(21.0, 95.0, 52.714285714285715)"
11-01-2023 18:49:29.142424,"(6.0, 11.0, 7.699999999999999)","(7.0, 11.0, 9.083333333333334)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 30.09090909090909)","(7.5, 20.0, 15.600000000000001)","(21.0, 95.0, 42.63636363636364)"
11-01-2023 18:49:30.504682,"(6.0, 11.0, 7.699999999999999)","(7.0, 11.0, 9.083333333333334)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 30.09090909090909)","(7.5, 20.0, 15.600000000000001)","(21.0, 95.0, 42.63636363636364)"
11-01-2023 18:49:31.909316,"(6.0, 11.0, 7.699999999999999)","(7.0, 11.0, 9.083333333333334)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 30.09090909090909)","(7.5, 20.0, 15.600000000000001)","(21.0, 95.0, 42.63636363636364)"
11-01-2023 18:49:33.399951,"(6.0, 11.0, 7.699999999999999)","(7.0, 11.0, 9.083333333333334)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 30.09090909090909)","(7.5, 20.0, 15.760000000000002)","(21.0, 95.0, 42.63636363636364)"
11-01-2023 18:49:34.743561,"(6.0, 11.0, 7.699999999999999)","(7.0, 11.0, 9.083333333333334)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 30.09090909090909)","(7.5, 20.0, 15.760000000000002)","(21.0, 95.0, 46.33333333333333)"
11-01-2023 18:49:36.086933,"(6.0, 11.0, 7.699999999999999)","(7.0, 11.0, 9.083333333333334)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 30.09090909090909)","(7.5, 20.0, 15.760000000000002)","(21.0, 95.0, 46.33333333333333)"
11-01-2023 18:49:37.488946,"(6.0, 11.0, 7.699999999999999)","(7.0, 11.0, 9.083333333333334)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 30.09090909090909)","(7.5, 20.0, 15.760000000000002)","(21.0, 95.0, 46.33333333333333)"
11-01-2023 18:49:38.861827,"(6.0, 11.0, 7.699999999999999)","(7.0, 11.0, 9.2)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 30.09090909090909)","(7.5, 20.0, 15.760000000000002)","(21.0, 95.0, 46.33333333333333)"
11-01-2023 18:49:40.129333,"(6.0, 11.0, 7.699999999999999)","(7.0, 10.0, 9.2)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 30.09090909090909)","(7.5, 20.0, 15.760000000000002)","(21.0, 95.0, 46.33333333333333)"
11-01-2023 18:49:41.507159,"(6.0, 11.0, 7.699999999999999)","(7.0, 10.0, 9.2)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 30.09090909090909)","(7.5, 20.0, 15.760000000000002)","(21.0, 95.0, 46.33333333333333)"
11-01-2023 18:49:42.877605,"(6.0, 11.0, 7.699999999999999)","(7.0, 10.0, 9.2)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 30.09090909090909)","(7.5, 20.0, 15.760000000000002)","(21.0, 95.0, 46.33333333333333)"
11-01-2023 18:49:44.244883,"(6.0, 11.0, 7.699999999999999)","(7.0, 10.0, 9.2)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 30.09090909090909)","(7.5, 20.0, 15.760000000000002)","(21.0, 95.0, 46.33333333333333)"
11-01-2023 18:49:45.681317,"(6.0, 11.0, 7.699999999999999)","(7.0, 10.0, 9.2)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 30.09090909090909)","(7.5, 20.0, 15.760000000000002)","(21.0, 95.0, 46.33333333333333)"
11-01-2023 18:49:46.952280,"(6.0, 11.0, 7.699999999999999)","(7.0, 10.0, 9.2)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 30.09090909090909)","(7.5, 20.0, 15.760000000000002)","(21.0, 95.0, 46.33333333333333)"
11-01-2023 18:49:48.713847,"(6.0, 11.0, 7.699999999999999)","(7.0, 10.0, 9.2)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 30.09090909090909)","(7.5, 20.0, 15.760000000000002)","(21.0, 95.0, 46.33333333333333)"
11-01-2023 18:49:50.070893,"(6.0, 11.0, 7.699999999999999)","(7.0, 10.0, 9.2)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 30.09090909090909)","(7.5, 20.0, 15.760000000000002)","(21.0, 95.0, 46.33333333333333)"
11-01-2023 18:49:51.365789,"(6.0, 11.0, 7.699999999999999)","(7.0, 10.0, 9.2)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 30.09090909090909)","(7.5, 20.0, 15.760000000000002)","(21.0, 95.0, 46.33333333333333)"
11-01-2023 18:49:52.787267,"(6.0, 11.0, 7.699999999999999)","(7.0, 10.0, 9.2)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 30.09090909090909)","(7.5, 20.0, 15.760000000000002)","(21.0, 95.0, 46.33333333333333)"
11-01-2023 18:49:54.133405,"(6.0, 11.0, 7.699999999999999)","(7.0, 10.0, 9.2)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 44.79166666666667)","(7.5, 20.0, 17.3)","(21.0, 95.0, 54.44444444444444)"
11-01-2023 18:49:55.615922,"(6.0, 11.0, 7.699999999999999)","(7.0, 10.0, 9.00909090909091)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 44.79166666666667)","(7.5, 20.0, 17.3)","(21.0, 95.0, 54.44444444444444)"
11-01-2023 18:49:56.966391,"(6.0, 11.0, 7.699999999999999)","(7.0, 10.5, 9.00909090909091)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 44.79166666666667)","(7.5, 20.0, 17.3)","(21.0, 95.0, 54.44444444444444)"
11-01-2023 18:49:58.332947,"(6.0, 11.0, 7.699999999999999)","(7.0, 10.5, 9.00909090909091)","(2.2, 3.55, 2.349166666666667)","(6.5, 12.0, 7.166666666666667)","(6.0, 12.0, 8.125)","(17.0, 65.0, 44.79166666666667)","(7.5, 20.0, 16.85)","(21.0, 95.0, 54.44444444444444)"
