,Runs Like Bluey,Way Too Soft,Petes Prodigy,Springvale Jess,Speed Craze,Acacia Bridge,Wilcott,Roxy Fudge
11-01-2023 11:59:27.972524,"(5.0, 9.6, 9.035294117647059)","(5.0, 8.0, 7.5675675675675675)","(21.0, 100.0, 60.5)","(4.8, 8.0, 7.564102564102564)","(5.0, 8.8, 8.306666666666667)","(71.0, 590.0, 514.2857142857142)","(71.0, 550.0, 468.33333333333337)","(2.3, 3.6, 2.842608695652174)"
11-01-2023 11:59:29.091560,"(5.0, 9.6, 9.035294117647059)","(5.0, 8.0, 7.5675675675675675)","(21.0, 100.0, 60.5)","(4.8, 8.0, 7.564102564102564)","(5.0, 8.8, 8.306666666666667)","(71.0, 590.0, 514.2857142857142)","(71.0, 550.0, 468.33333333333337)","(2.3, 3.6, 2.842608695652174)"
11-01-2023 11:59:30.197412,"(5.0, 9.6, 9.035294117647059)","(5.0, 8.0, 7.5675675675675675)","(21.0, 100.0, 60.5)","(4.8, 8.0, 7.564102564102564)","(5.0, 8.8, 8.306666666666667)","(71.0, 590.0, 514.2857142857142)","(71.0, 550.0, 468.33333333333337)","(2.3, 3.6, 2.842608695652174)"
11-01-2023 11:59:31.257193,"(5.0, 9.6, 9.035294117647059)","(5.0, 8.0, 7.5675675675675675)","(21.0, 100.0, 60.5)","(4.8, 8.0, 7.564102564102564)","(5.0, 8.8, 8.306666666666667)","(71.0, 590.0, 514.2857142857142)","(71.0, 550.0, 468.33333333333337)","(2.3, 3.6, 2.842608695652174)"
11-01-2023 11:59:32.307389,"(5.0, 9.6, 9.035294117647059)","(5.0, 8.0, 7.5675675675675675)","(21.0, 100.0, 60.5)","(4.8, 8.0, 7.564102564102564)","(5.0, 8.8, 8.306666666666667)","(71.0, 590.0, 514.2857142857142)","(71.0, 550.0, 468.33333333333337)","(2.3, 3.6, 2.842608695652174)"
11-01-2023 11:59:33.417092,"(5.0, 9.6, 9.035294117647059)","(5.0, 8.0, 7.5675675675675675)","(21.0, 100.0, 60.5)","(4.8, 8.0, 7.564102564102564)","(5.0, 8.8, 8.306666666666667)","(71.0, 590.0, 514.2857142857142)","(71.0, 550.0, 468.33333333333337)","(2.3, 3.6, 2.842608695652174)"
11-01-2023 11:59:34.456365,"(5.0, 9.6, 9.035294117647059)","(5.0, 8.0, 7.5675675675675675)","(21.0, 100.0, 60.5)","(4.8, 8.0, 7.564102564102564)","(5.0, 8.8, 8.306666666666667)","(71.0, 590.0, 514.2857142857142)","(71.0, 550.0, 468.33333333333337)","(2.3, 3.6, 2.842608695652174)"
11-01-2023 11:59:35.453835,"(5.0, 9.6, 9.035294117647059)","(5.0, 8.0, 7.5675675675675675)","(21.0, 100.0, 60.5)","(4.8, 8.0, 7.564102564102564)","(5.0, 8.8, 8.306666666666667)","(71.0, 590.0, 514.2857142857142)","(71.0, 550.0, 468.33333333333337)","(2.3, 3.6, 2.842608695652174)"
11-01-2023 11:59:36.484879,"(5.0, 9.6, 9.035294117647059)","(5.0, 8.0, 7.5675675675675675)","(21.0, 100.0, 60.5)","(4.8, 8.0, 7.564102564102564)","(5.0, 8.8, 8.306666666666667)","(71.0, 590.0, 514.2857142857142)","(71.0, 550.0, 468.33333333333337)","(2.3, 3.6, 2.842608695652174)"
11-01-2023 11:59:37.551555,"(5.0, 9.6, 9.035294117647059)","(5.0, 8.0, 7.5675675675675675)","(21.0, 100.0, 60.5)","(4.8, 8.0, 7.564102564102564)","(5.0, 8.8, 8.306666666666667)","(71.0, 590.0, 514.2857142857142)","(71.0, 550.0, 468.33333333333337)","(2.3, 3.6, 2.842608695652174)"
11-01-2023 11:59:38.607202,"(5.0, 9.6, 9.035294117647059)","(5.0, 8.0, 7.5675675675675675)","(21.0, 100.0, 60.5)","(4.8, 8.0, 7.564102564102564)","(5.0, 8.8, 8.306666666666667)","(71.0, 590.0, 514.2857142857142)","(71.0, 550.0, 468.33333333333337)","(2.3, 3.6, 2.842608695652174)"
