,Side Street Dave,Parley Street,Warfront Fighter,Passed By Paul,Assets Included,Dontteasethetiger,Chef,Singandcryindubai,Lil Latigo,Katzumoto,Morethansoultitle,Winning Magic
11-01-2023 08:08:23.089633,"(13.0, 99999, 99990)","(5.5, 99999, 99990)","(10.0, 99999, 99990)","(5.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(7.5, 99999, 99990)","(7.5, 99999, 99990)","(8.5, 99999, 99990)"
11-01-2023 08:08:24.399096,"(13.0, 99999, 99990)","(5.5, 99999, 99990)","(10.0, 99999, 99990)","(5.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(7.5, 99999, 99990)","(7.5, 99999, 99990)","(8.5, 99999, 99990)"
11-01-2023 08:08:25.686652,"(13.0, 99999, 99990)","(5.5, 99999, 99990)","(10.0, 99999, 99990)","(5.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(7.5, 99999, 99990)","(7.5, 99999, 99990)","(8.5, 99999, 99990)"
11-01-2023 08:08:26.936485,"(13.0, 99999, 99990)","(5.5, 99999, 99990)","(10.0, 99999, 99990)","(5.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(7.5, 99999, 99990)","(7.5, 99999, 99990)","(8.5, 99999, 99990)"
11-01-2023 08:08:28.226632,"(13.0, 99999, 99990)","(5.5, 99999, 99990)","(10.0, 99999, 99990)","(5.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(7.5, 99999, 99990)","(7.5, 99999, 99990)","(8.5, 99999, 99990)"
11-01-2023 08:08:29.448435,"(13.0, 99999, 99990)","(5.5, 99999, 99990)","(10.0, 99999, 99990)","(5.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(7.5, 99999, 99990)","(7.5, 99999, 99990)","(8.5, 99999, 99990)"
11-01-2023 08:08:30.709807,"(13.0, 99999, 99990)","(5.5, 99999, 99990)","(10.0, 99999, 99990)","(5.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(7.5, 99999, 99990)","(7.5, 99999, 99990)","(8.5, 99999, 99990)"
11-01-2023 08:08:31.935126,"(13.0, 99999, 99990)","(5.5, 99999, 99990)","(10.0, 99999, 99990)","(5.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(7.5, 99999, 99990)","(7.5, 99999, 99990)","(8.5, 99999, 99990)"
11-01-2023 08:08:33.154009,"(13.0, 99999, 99990)","(5.5, 99999, 99990)","(10.0, 99999, 99990)","(5.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(7.5, 99999, 99990)","(7.5, 99999, 99990)","(8.5, 99999, 99990)"
11-01-2023 08:08:34.401654,"(13.0, 99999, 99990)","(5.5, 99999, 99990)","(10.0, 99999, 99990)","(5.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(7.5, 99999, 99990)","(7.5, 99999, 99990)","(8.5, 99999, 99990)"
11-01-2023 08:08:35.790416,"(13.0, 99999, 99990)","(5.5, 99999, 99990)","(10.0, 99999, 99990)","(5.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(7.5, 99999, 99990)","(7.5, 99999, 99990)","(8.5, 99999, 99990)"
11-01-2023 08:08:37.109566,"(13.0, 99999, 99990)","(5.5, 99999, 99990)","(10.0, 99999, 99990)","(5.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(7.5, 99999, 99990)","(7.5, 99999, 99990)","(8.5, 99999, 99990)"
11-01-2023 08:08:38.396744,"(13.0, 99999, 99990)","(5.5, 99999, 99990)","(10.0, 99999, 99990)","(5.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(7.5, 99999, 99990)","(7.5, 99999, 99990)","(8.5, 99999, 99990)"
11-01-2023 08:08:39.679562,"(13.0, 99999, 99990)","(5.5, 99999, 99990)","(10.0, 99999, 99990)","(5.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(7.5, 99999, 99990)","(7.5, 99999, 99990)","(8.5, 99999, 99990)"
11-01-2023 08:08:40.896773,"(13.0, 99999, 99990)","(5.5, 99999, 99990)","(10.0, 99999, 99990)","(5.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(7.5, 99999, 99990)","(7.5, 99999, 99990)","(8.5, 99999, 99990)"
11-01-2023 08:08:42.109739,"(13.0, 99999, 99990)","(5.5, 99999, 99990)","(10.0, 99999, 99990)","(5.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(7.5, 99999, 99990)","(7.5, 99999, 99990)","(8.5, 99999, 99990)"
11-01-2023 08:08:43.349521,"(13.0, 99999, 99990)","(5.5, 99999, 99990)","(10.0, 99999, 99990)","(5.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(7.5, 99999, 99990)","(7.5, 99999, 99990)","(8.5, 99999, 99990)"
11-01-2023 08:08:44.579104,"(13.0, 99999, 99990)","(5.5, 99999, 99990)","(10.0, 99999, 99990)","(5.0, 99999, 99990)","(14.0, 99999, 99990)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(7.5, 99999, 99990)","(7.5, 99999, 99990)","(8.5, 99999, 99990)"
