,Souls Glory,Youthful Spirit,Fawn Roller,Scared Lomar,Wise Dohne,Finest Moment,Global Bliss,Natural Ivy
11-01-2023 21:55:18.477180,"(3.0, 3.3, 3.1903124999999997)","(8.5, 18.0, 9.833333333333332)","(3.5, 5.3, 4.1125)","(6.0, 21.0, 15.618181818181817)","(21.0, 55.0, 35.0)","(71.0, 410.0, 110.0)","(3.3, 6.0, 5.640000000000001)","(11.0, 27.0, 21.107142857142858)"
11-01-2023 21:55:19.593133,"(3.0, 3.3, 3.1903124999999997)","(8.0, 18.0, 9.833333333333332)","(3.4, 5.3, 4.1125)","(6.0, 21.0, 15.618181818181817)","(21.0, 55.0, 35.0)","(71.0, 410.0, 110.0)","(3.8, 6.0, 5.640000000000001)","(11.0, 27.0, 21.107142857142858)"
11-01-2023 21:55:20.696586,"(3.0, 3.3, 3.1903124999999997)","(8.0, 18.0, 9.833333333333332)","(3.4, 5.3, 4.1125)","(6.0, 21.0, 15.618181818181817)","(21.0, 55.0, 35.0)","(71.0, 410.0, 110.0)","(3.8, 6.0, 5.640000000000001)","(11.0, 27.0, 21.107142857142858)"
11-01-2023 21:55:21.795788,"(3.0, 3.3, 3.1903124999999997)","(8.0, 18.0, 9.833333333333332)","(3.4, 5.3, 4.1125)","(6.0, 21.0, 15.618181818181817)","(21.0, 55.0, 35.0)","(71.0, 410.0, 110.0)","(3.8, 6.0, 5.640000000000001)","(11.0, 27.0, 21.107142857142858)"
11-01-2023 21:55:22.820353,"(3.0, 3.3, 3.1903124999999997)","(8.0, 18.0, 9.833333333333332)","(3.4, 5.3, 4.1125)","(6.0, 21.0, 15.618181818181817)","(21.0, 55.0, 35.0)","(71.0, 410.0, 110.0)","(3.8, 6.0, 5.640000000000001)","(11.0, 27.0, 21.107142857142858)"
11-01-2023 21:55:23.868955,"(3.0, 3.3, 3.1903124999999997)","(8.0, 18.0, 9.833333333333332)","(3.4, 5.3, 4.1125)","(6.0, 21.0, 15.618181818181817)","(21.0, 55.0, 35.0)","(71.0, 410.0, 110.0)","(3.8, 6.0, 5.640000000000001)","(11.0, 27.0, 21.107142857142858)"
11-01-2023 21:55:24.819717,"(3.0, 3.3, 3.1903124999999997)","(8.0, 18.0, 9.833333333333332)","(3.4, 5.3, 4.1125)","(6.0, 21.0, 15.618181818181817)","(21.0, 55.0, 35.0)","(71.0, 410.0, 110.0)","(3.8, 6.0, 5.640000000000001)","(11.0, 27.0, 21.107142857142858)"
11-01-2023 21:55:25.899901,"(3.0, 3.3, 3.1903124999999997)","(8.0, 18.0, 9.833333333333332)","(3.4, 5.3, 4.1125)","(6.0, 21.0, 15.618181818181817)","(21.0, 55.0, 35.0)","(71.0, 410.0, 110.0)","(3.8, 6.0, 5.640000000000001)","(11.0, 27.0, 21.107142857142858)"
11-01-2023 21:55:26.945353,"(3.0, 3.3, 3.1903124999999997)","(8.0, 18.0, 9.833333333333332)","(3.4, 5.3, 4.1125)","(6.0, 21.0, 15.618181818181817)","(21.0, 55.0, 35.0)","(71.0, 410.0, 110.0)","(3.8, 6.0, 5.640000000000001)","(11.0, 27.0, 21.107142857142858)"
11-01-2023 21:55:28.050899,"(3.0, 3.3, 3.1903124999999997)","(8.0, 18.0, 9.833333333333332)","(3.4, 5.3, 4.1125)","(6.0, 21.0, 15.618181818181817)","(21.0, 55.0, 35.0)","(71.0, 410.0, 110.0)","(3.8, 6.0, 5.640000000000001)","(11.0, 27.0, 21.107142857142858)"
11-01-2023 21:55:29.128761,"(3.0, 3.3, 3.1903124999999997)","(8.0, 18.0, 9.833333333333332)","(3.4, 5.3, 4.1125)","(6.0, 21.0, 15.618181818181817)","(21.0, 55.0, 35.0)","(71.0, 410.0, 110.0)","(3.8, 6.0, 5.640000000000001)","(11.0, 27.0, 21.107142857142858)"
11-01-2023 21:55:30.238612,"(3.0, 3.3, 3.1903124999999997)","(8.0, 18.0, 9.833333333333332)","(3.4, 5.3, 4.1125)","(6.0, 21.0, 15.618181818181817)","(21.0, 55.0, 35.0)","(71.0, 410.0, 110.0)","(3.8, 6.0, 5.640000000000001)","(11.0, 27.0, 21.107142857142858)"
11-01-2023 21:55:31.323662,"(3.0, 3.3, 3.1903124999999997)","(8.0, 18.0, 9.833333333333332)","(3.4, 5.3, 4.1125)","(6.0, 21.0, 15.618181818181817)","(21.0, 55.0, 35.0)","(71.0, 410.0, 110.0)","(3.8, 6.0, 5.640000000000001)","(11.0, 27.0, 21.107142857142858)"
11-01-2023 21:55:32.423188,"(3.0, 3.3, 3.1903124999999997)","(8.0, 18.0, 9.833333333333332)","(3.4, 5.3, 4.1125)","(6.0, 21.0, 16.384615384615383)","(21.0, 55.0, 35.0)","(71.0, 410.0, 110.0)","(3.8, 6.0, 5.640000000000001)","(11.0, 27.0, 21.107142857142858)"
11-01-2023 21:55:33.549034,"(3.0, 3.3, 3.1903124999999997)","(8.0, 18.0, 9.833333333333332)","(3.4, 5.3, 4.1125)","(6.0, 21.0, 16.384615384615383)","(21.0, 55.0, 35.0)","(71.0, 410.0, 110.0)","(3.8, 6.0, 5.640000000000001)","(11.0, 27.0, 21.107142857142858)"
11-01-2023 21:55:34.674008,"(3.0, 3.3, 3.1903124999999997)","(8.0, 18.0, 9.833333333333332)","(3.4, 5.3, 4.1125)","(6.0, 21.0, 16.384615384615383)","(21.0, 55.0, 35.0)","(71.0, 410.0, 110.0)","(3.8, 6.0, 5.640000000000001)","(11.0, 27.0, 21.107142857142858)"
11-01-2023 21:55:35.787536,"(3.0, 3.3, 3.1903124999999997)","(8.0, 18.0, 9.833333333333332)","(3.4, 5.3, 4.1125)","(6.0, 21.0, 16.384615384615383)","(21.0, 55.0, 35.0)","(71.0, 410.0, 110.0)","(3.8, 6.0, 5.640000000000001)","(11.0, 27.0, 21.107142857142858)"
