,Bliss,Capital Eyes,Gris Amour,Kazzas Jet,Supreme Play,Alabama Gold,Boomsita,Compass Rose,Habeebati,Tereshkova,Yankee Blossom,Zumaia
11-01-2023 13:18:56.465014,"(4.6, 6.2, 6.133333333333334)","(31.0, 55.0, 49.15384615384615)","(71.0, 130.0, 100.0)","(20.0, 22.0, 19.94736842105263)","(101.0, 490.0, 477.741935483871)","(31.0, 50.0, 46.0)","(13.0, 18.5, 17.375)","(6.5, 7.6, 7.428571428571429)","(1.85, 2.14, 2.110588235294118)","(9.0, 23.0, 22.285714285714285)","(101.0, 160.0, 114.76190476190476)","(101.0, 330.0, 230.0)"
11-01-2023 13:18:57.955505,"(4.6, 6.2, 6.133333333333334)","(31.0, 55.0, 49.15384615384615)","(71.0, 130.0, 100.0)","(20.0, 22.0, 19.94736842105263)","(101.0, 490.0, 477.741935483871)","(31.0, 50.0, 46.0)","(13.0, 18.5, 17.375)","(6.5, 7.6, 7.428571428571429)","(1.85, 2.14, 2.110588235294118)","(9.0, 23.0, 22.285714285714285)","(101.0, 160.0, 114.76190476190476)","(101.0, 330.0, 230.0)"
11-01-2023 13:18:59.425440,"(4.6, 6.2, 6.133333333333334)","(31.0, 55.0, 49.15384615384615)","(71.0, 130.0, 100.0)","(20.0, 22.0, 19.94736842105263)","(101.0, 490.0, 477.741935483871)","(31.0, 50.0, 46.0)","(13.0, 18.5, 17.375)","(6.5, 7.6, 7.428571428571429)","(1.85, 2.14, 2.110588235294118)","(9.0, 23.0, 22.285714285714285)","(101.0, 160.0, 114.76190476190476)","(101.0, 330.0, 230.0)"
11-01-2023 13:19:00.819171,"(4.6, 6.2, 6.133333333333334)","(31.0, 55.0, 49.15384615384615)","(71.0, 130.0, 100.0)","(20.0, 22.0, 19.94736842105263)","(101.0, 490.0, 477.741935483871)","(31.0, 50.0, 46.0)","(13.0, 18.5, 17.375)","(6.5, 7.6, 7.428571428571429)","(1.85, 2.14, 2.110588235294118)","(9.0, 23.0, 22.285714285714285)","(101.0, 160.0, 114.76190476190476)","(101.0, 330.0, 230.0)"
11-01-2023 13:19:02.220341,"(4.6, 6.2, 6.153846153846154)","(31.0, 55.0, 49.15384615384615)","(71.0, 130.0, 100.0)","(20.0, 22.0, 19.94736842105263)","(101.0, 490.0, 477.741935483871)","(31.0, 50.0, 46.0)","(13.0, 18.5, 17.375)","(6.5, 7.6, 7.428571428571429)","(1.85, 2.14, 2.110588235294118)","(9.0, 23.0, 22.285714285714285)","(101.0, 160.0, 114.76190476190476)","(101.0, 330.0, 230.0)"
11-01-2023 13:19:03.594101,"(4.6, 6.2, 6.153846153846154)","(31.0, 55.0, 49.15384615384615)","(71.0, 130.0, 115.0)","(20.0, 22.0, 19.94736842105263)","(101.0, 490.0, 477.741935483871)","(31.0, 50.0, 46.0)","(13.0, 18.5, 17.375)","(6.5, 7.6, 7.428571428571429)","(1.85, 2.14, 2.110588235294118)","(9.0, 23.0, 22.285714285714285)","(101.0, 160.0, 114.76190476190476)","(101.0, 330.0, 230.0)"
11-01-2023 13:19:04.923304,"(4.6, 6.2, 6.153846153846154)","(31.0, 55.0, 49.15384615384615)","(71.0, 130.0, 115.0)","(20.0, 22.0, 21.0)","(101.0, 490.0, 477.741935483871)","(31.0, 50.0, 46.0)","(13.0, 18.5, 17.375)","(6.5, 7.6, 7.428571428571429)","(1.85, 2.14, 2.110588235294118)","(9.0, 23.0, 22.285714285714285)","(101.0, 160.0, 114.76190476190476)","(101.0, 330.0, 230.0)"
11-01-2023 13:19:06.354984,"(4.6, 6.2, 6.153846153846154)","(31.0, 55.0, 49.15384615384615)","(71.0, 130.0, 115.0)","(20.0, 22.0, 21.0)","(101.0, 490.0, 477.741935483871)","(31.0, 50.0, 46.0)","(13.0, 18.5, 17.375)","(6.5, 7.6, 7.428571428571429)","(1.85, 2.14, 2.110588235294118)","(9.0, 23.0, 22.058823529411764)","(101.0, 160.0, 114.76190476190476)","(101.0, 330.0, 230.0)"
11-01-2023 13:19:07.722185,"(4.6, 6.2, 6.153846153846154)","(31.0, 55.0, 49.15384615384615)","(71.0, 130.0, 115.0)","(20.0, 27.0, 24.727272727272727)","(101.0, 490.0, 468.38709677419354)","(31.0, 50.0, 44.0)","(13.0, 18.5, 17.375)","(6.5, 7.6, 7.428571428571429)","(1.85, 2.14, 2.110588235294118)","(9.0, 23.0, 22.285714285714285)","(101.0, 160.0, 130.0)","(101.0, 330.0, 193.33333333333334)"
11-01-2023 13:19:09.122289,"(4.6, 6.2, 6.153846153846154)","(31.0, 55.0, 49.15384615384615)","(71.0, 130.0, 115.0)","(20.0, 26.0, 22.454545454545453)","(101.0, 480.0, 468.38709677419354)","(31.0, 48.0, 44.0)","(13.0, 18.5, 17.375)","(6.5, 7.6, 7.428571428571429)","(1.85, 2.14, 2.110588235294118)","(9.0, 23.0, 22.285714285714285)","(101.0, 150.0, 130.0)","(101.0, 320.0, 193.33333333333334)"
