,Velocity Alexa,Heslea,Emerald Swift,Systems Down,Broombrae Blaze,Zipping Mork,Lektra Left
11-01-2023 19:41:45.723286,"(21.0, 90.0, 37.125)","(1.85, 3.05, 2.2427272727272727)","(10.0, 22.0, 10.3)","(9.0, 18.5, 10.9)","(19.0, 48.0, 28.615384615384613)","(4.0, 6.4, 5.175000000000001)","(4.8, 8.0, 5.875)"
11-01-2023 19:41:46.807014,"(21.0, 90.0, 37.125)","(1.85, 3.05, 2.2427272727272727)","(10.0, 22.0, 10.3)","(9.0, 18.5, 10.9)","(19.0, 48.0, 28.615384615384613)","(4.0, 6.4, 5.175000000000001)","(4.8, 8.0, 5.875)"
11-01-2023 19:41:47.889069,"(21.0, 90.0, 37.125)","(1.85, 3.05, 2.2427272727272727)","(10.0, 22.0, 10.3)","(9.0, 18.5, 10.9)","(19.0, 48.0, 28.615384615384613)","(4.0, 6.4, 5.175000000000001)","(4.8, 8.0, 5.875)"
11-01-2023 19:41:49.017004,"(21.0, 90.0, 37.125)","(1.85, 3.05, 2.2427272727272727)","(10.0, 22.0, 10.3)","(9.0, 18.5, 10.9)","(19.0, 48.0, 28.615384615384613)","(4.0, 6.4, 5.175000000000001)","(4.8, 8.0, 5.875)"
11-01-2023 19:41:50.153295,"(21.0, 90.0, 37.125)","(1.85, 3.05, 2.2427272727272727)","(10.0, 22.0, 10.3)","(9.0, 18.5, 10.9)","(19.0, 48.0, 28.615384615384613)","(4.0, 6.4, 5.175000000000001)","(4.8, 8.0, 5.875)"
11-01-2023 19:41:51.244994,"(21.0, 90.0, 37.125)","(1.85, 3.05, 2.2427272727272727)","(10.0, 22.0, 10.3)","(9.0, 18.5, 10.9)","(19.0, 48.0, 28.615384615384613)","(4.0, 6.4, 5.175000000000001)","(4.8, 8.0, 5.875)"
11-01-2023 19:41:52.282896,"(21.0, 90.0, 37.125)","(1.85, 3.05, 2.2427272727272727)","(10.0, 22.0, 10.3)","(9.0, 18.5, 10.9)","(19.0, 48.0, 28.615384615384613)","(4.0, 6.4, 5.175000000000001)","(4.8, 8.0, 5.875)"
11-01-2023 19:41:53.371839,"(21.0, 90.0, 37.125)","(1.85, 3.05, 2.2427272727272727)","(10.0, 22.0, 10.3)","(9.0, 18.5, 10.9)","(19.0, 48.0, 28.615384615384613)","(4.0, 6.4, 5.175000000000001)","(4.8, 8.0, 5.875)"
11-01-2023 19:41:54.544991,"(21.0, 90.0, 37.125)","(1.85, 3.05, 2.2427272727272727)","(10.0, 22.0, 10.3)","(9.0, 18.5, 10.9)","(19.0, 48.0, 28.615384615384613)","(4.0, 6.4, 5.175000000000001)","(4.8, 8.0, 5.875)"
11-01-2023 19:41:55.731181,"(21.0, 90.0, 37.125)","(1.85, 3.05, 2.2427272727272727)","(10.0, 22.0, 10.3)","(9.0, 18.5, 10.9)","(19.0, 48.0, 28.615384615384613)","(4.0, 6.4, 5.175000000000001)","(4.8, 8.0, 5.875)"
11-01-2023 19:41:56.885957,"(21.0, 90.0, 37.125)","(1.85, 3.05, 2.2427272727272727)","(10.0, 22.0, 10.3)","(9.0, 18.5, 10.9)","(19.0, 48.0, 28.615384615384613)","(4.0, 6.4, 5.175000000000001)","(4.8, 8.0, 5.875)"
11-01-2023 19:41:57.954327,"(21.0, 90.0, 37.125)","(1.85, 3.05, 2.2427272727272727)","(10.0, 22.0, 10.3)","(9.0, 18.5, 10.9)","(19.0, 48.0, 28.615384615384613)","(4.0, 6.4, 5.175000000000001)","(4.8, 8.0, 5.875)"
11-01-2023 19:41:59.049711,"(21.0, 90.0, 37.125)","(1.85, 3.05, 2.2427272727272727)","(10.0, 22.0, 10.3)","(9.0, 18.5, 10.9)","(19.0, 48.0, 28.615384615384613)","(4.0, 6.4, 5.175000000000001)","(4.8, 8.0, 5.875)"
