,Terrific Keith,Lochinvar Jazz,Hannele Bale,Daksha Bale,Gotham Diva,Long Shadow,Vance Bale,Dr Ronald
11-01-2023 19:44:05.222730,"(1.95, 3.0, 2.5766666666666667)","(12.0, 29.0, 23.5)","(7.5, 12.5, 9.2)","(8.0, 12.5, 11.27)","(31.0, 110.0, 57.285714285714285)","(21.0, 70.0, 30.8)","(2.8, 4.4, 3.0228571428571427)","(41.0, 320.0, 77.0)"
11-01-2023 19:44:06.511851,"(1.95, 2.98, 2.5766666666666667)","(12.0, 29.0, 23.5)","(7.5, 12.5, 9.2)","(8.0, 12.5, 11.27)","(31.0, 110.0, 57.285714285714285)","(21.0, 70.0, 30.8)","(2.8, 4.6, 3.0228571428571427)","(41.0, 320.0, 77.0)"
11-01-2023 19:44:07.856771,"(1.95, 2.98, 2.5766666666666667)","(12.0, 29.0, 23.5)","(7.5, 12.5, 9.2)","(8.0, 12.5, 11.27)","(31.0, 110.0, 57.285714285714285)","(21.0, 70.0, 30.8)","(2.8, 4.6, 3.0228571428571427)","(41.0, 320.0, 77.0)"
11-01-2023 19:44:09.125400,"(1.95, 2.98, 2.5766666666666667)","(12.0, 29.0, 23.5)","(7.5, 12.5, 9.2)","(8.0, 12.5, 11.27)","(31.0, 110.0, 57.285714285714285)","(21.0, 70.0, 30.8)","(2.8, 4.6, 3.508)","(41.0, 320.0, 80.0)"
11-01-2023 19:44:10.312576,"(1.95, 2.98, 2.5766666666666667)","(12.0, 29.0, 23.5)","(7.5, 12.5, 9.2)","(8.0, 12.5, 11.27)","(31.0, 110.0, 38.0)","(21.0, 70.0, 30.8)","(2.8, 4.6, 3.508)","(41.0, 320.0, 77.0)"
11-01-2023 19:44:11.662786,"(1.95, 3.15, 2.5505172413793105)","(12.0, 29.0, 23.5)","(7.5, 12.5, 9.2)","(8.0, 12.5, 11.27)","(31.0, 110.0, 37.1)","(21.0, 70.0, 30.8)","(2.8, 4.6, 3.508)","(41.0, 320.0, 69.8)"
11-01-2023 19:44:12.979717,"(1.95, 2.96, 2.568)","(12.0, 29.0, 23.5)","(7.5, 12.5, 9.2)","(8.0, 12.5, 11.27)","(31.0, 110.0, 37.1)","(21.0, 70.0, 30.8)","(2.8, 4.6, 3.508)","(41.0, 320.0, 69.8)"
11-01-2023 19:44:14.299615,"(1.95, 2.96, 2.568)","(12.0, 29.0, 23.5)","(7.5, 12.5, 9.5)","(8.0, 12.5, 11.27)","(31.0, 110.0, 42.5)","(21.0, 70.0, 30.8)","(2.8, 4.6, 3.057142857142857)","(41.0, 320.0, 69.8)"
11-01-2023 19:44:15.646457,"(1.95, 2.96, 2.586666666666667)","(12.0, 29.0, 16.2)","(7.5, 12.5, 11.583333333333332)","(8.0, 12.5, 11.27)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.6, 3.057142857142857)","(41.0, 320.0, 69.8)"
11-01-2023 19:44:16.989930,"(1.95, 2.96, 2.586666666666667)","(12.0, 29.0, 16.6)","(7.5, 12.0, 11.166666666666668)","(8.0, 12.5, 11.27)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.6, 3.057142857142857)","(41.0, 320.0, 69.8)"
11-01-2023 19:44:18.330810,"(1.95, 2.96, 2.586666666666667)","(12.0, 29.0, 16.2)","(7.5, 12.0, 11.166666666666668)","(8.0, 12.5, 10.2)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.6, 3.057142857142857)","(41.0, 320.0, 69.8)"
11-01-2023 19:44:19.624036,"(1.95, 2.96, 2.762962962962963)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 11.166666666666668)","(8.0, 11.5, 10.883333333333333)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.6, 3.057142857142857)","(41.0, 320.0, 69.8)"
11-01-2023 19:44:20.891815,"(1.95, 3.15, 2.685857142857143)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 11.166666666666668)","(8.0, 11.5, 10.1125)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.6, 3.057142857142857)","(41.0, 320.0, 69.8)"
11-01-2023 19:44:22.188831,"(1.95, 3.15, 2.685857142857143)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.415384615384616)","(8.0, 12.0, 10.425)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.6, 3.057142857142857)","(41.0, 320.0, 69.8)"
11-01-2023 19:44:23.489015,"(1.95, 3.05, 2.7982142857142858)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.415384615384616)","(8.0, 12.0, 9.6)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.6, 3.057142857142857)","(41.0, 320.0, 69.8)"
