,Dinosaurus Rex,Why Not Surf,Our Uncle Harold,Ben Detto,American Shuffle Nz,Weona Sir Vivor,Rainbow Titan,Buddy Rockx,Mittys Three Aces Nz,Modern Power
11-01-2023 17:46:50.601020,"(14.0, 30.0, 27.6)","(14.0, 24.0, 21.166666666666668)","(31.0, 46.0, 41.77777777777778)","(51.0, 90.0, 83.33333333333333)","(16.0, 99999, 99990)","(4.8, 5.1, 5.05)","(18.0, 36.0, 26.5)","(21.0, 70.0, 57.42857142857143)","(21.0, 99999, 99990)","(1.55, 1.72, 1.694390243902439)"
11-01-2023 17:46:51.820745,"(14.0, 30.0, 27.6)","(14.0, 23.0, 21.166666666666668)","(31.0, 44.0, 41.77777777777778)","(51.0, 90.0, 83.33333333333333)","(16.0, 99999, 99990)","(4.8, 5.1, 5.05)","(18.0, 34.0, 26.5)","(21.0, 70.0, 61.4)","(21.0, 99999, 99990)","(1.55, 1.72, 1.75)"
11-01-2023 17:46:53.017945,"(14.0, 30.0, 27.6)","(14.0, 23.0, 21.166666666666668)","(31.0, 44.0, 41.714285714285715)","(51.0, 90.0, 83.33333333333333)","(16.0, 99999, 99990)","(4.8, 5.1, 5.05)","(18.0, 34.0, 26.5)","(21.0, 70.0, 61.4)","(21.0, 99999, 99990)","(1.55, 1.78, 1.7337142857142858)"
11-01-2023 17:46:54.216372,"(14.0, 30.0, 27.818181818181817)","(14.0, 23.0, 21.166666666666668)","(31.0, 42.0, 40.285714285714285)","(51.0, 90.0, 83.33333333333333)","(16.0, 99999, 99990)","(4.8, 5.1, 5.05)","(18.0, 34.0, 26.5)","(21.0, 70.0, 61.4)","(21.0, 99999, 99990)","(1.55, 1.78, 1.7337142857142858)"
11-01-2023 17:46:55.448038,"(14.0, 30.0, 22.333333333333332)","(14.0, 23.0, 21.166666666666668)","(31.0, 42.0, 40.285714285714285)","(51.0, 90.0, 83.33333333333333)","(16.0, 99999, 99990)","(4.8, 5.1, 5.05)","(18.0, 34.0, 26.5)","(21.0, 70.0, 61.4)","(21.0, 99999, 99990)","(1.55, 1.78, 1.7337142857142858)"
11-01-2023 17:46:56.607098,"(14.0, 30.0, 22.333333333333332)","(14.0, 23.0, 21.166666666666668)","(31.0, 42.0, 40.285714285714285)","(51.0, 90.0, 83.33333333333333)","(16.0, 99999, 99990)","(4.8, 5.1, 5.05)","(18.0, 34.0, 26.5)","(21.0, 70.0, 61.4)","(21.0, 99999, 99990)","(1.55, 1.78, 1.7504347826086957)"
11-01-2023 17:46:57.757912,"(14.0, 30.0, 25.6)","(14.0, 23.0, 21.166666666666668)","(31.0, 42.0, 40.285714285714285)","(51.0, 90.0, 84.0)","(16.0, 99999, 99990)","(4.8, 5.1, 5.05)","(18.0, 34.0, 26.5)","(21.0, 70.0, 61.4)","(21.0, 99999, 99990)","(1.55, 1.78, 1.7528767123287672)"
11-01-2023 17:46:59.316312,"(14.0, 30.0, 27.555555555555557)","(14.0, 23.0, 21.166666666666668)","(31.0, 42.0, 40.285714285714285)","(51.0, 90.0, 74.0)","(16.0, 99999, 99990)","(4.8, 5.1, 5.05)","(18.0, 34.0, 29.166666666666664)","(21.0, 70.0, 61.4)","(21.0, 99999, 99990)","(1.55, 1.78, 1.7333333333333334)"
11-01-2023 17:47:00.790364,"(14.0, 30.0, 26.700000000000003)","(14.0, 23.0, 22.3125)","(31.0, 42.0, 42.666666666666664)","(51.0, 80.0, 74.0)","(16.0, 99999, 99990)","(4.8, 5.1, 5.05)","(18.0, 34.0, 29.166666666666664)","(21.0, 70.0, 61.4)","(21.0, 99999, 99990)","(1.55, 1.75, 1.7323529411764707)"
11-01-2023 17:47:02.154373,"(14.0, 30.0, 26.700000000000003)","(14.0, 23.0, 22.3125)","(31.0, 46.0, 42.666666666666664)","(51.0, 80.0, 65.0)","(16.0, 99999, 99990)","(4.8, 5.1, 5.045454545454545)","(18.0, 34.0, 29.333333333333336)","(21.0, 70.0, 61.6)","(21.0, 99999, 99990)","(1.55, 1.75, 1.7401785714285714)"
11-01-2023 17:47:03.591836,"(14.0, 30.0, 26.700000000000003)","(14.0, 23.0, 22.3125)","(31.0, 46.0, 42.666666666666664)","(51.0, 95.0, 59.9375)","(16.0, 99999, 99990)","(4.8, 5.1, 4.975)","(18.0, 34.0, 31.5)","(21.0, 70.0, 61.6)","(21.0, 99999, 99990)","(1.55, 1.75, 1.7401204819277107)"
11-01-2023 17:47:05.023710,"(14.0, 30.0, 27.0)","(14.0, 23.0, 22.3125)","(31.0, 46.0, 42.666666666666664)","(51.0, 95.0, 59.9375)","(16.0, 99999, 99990)","(4.8, 5.0, 4.975)","(18.0, 34.0, 28.0)","(21.0, 70.0, 61.6)","(21.0, 99999, 99990)","(1.55, 1.75, 1.7402564102564102)"
11-01-2023 17:47:06.294212,"(14.0, 30.0, 27.0)","(14.0, 23.0, 22.3125)","(31.0, 46.0, 42.666666666666664)","(51.0, 95.0, 59.9375)","(16.0, 99999, 99990)","(4.8, 5.0, 4.975)","(18.0, 34.0, 28.0)","(21.0, 70.0, 62.36363636363637)","(21.0, 99999, 99990)","(1.55, 1.75, 1.7402564102564102)"
11-01-2023 17:47:07.519436,"(14.0, 30.0, 27.0)","(14.0, 23.0, 22.3125)","(31.0, 46.0, 42.666666666666664)","(51.0, 95.0, 53.35714285714286)","(16.0, 99999, 99990)","(4.8, 5.0, 4.975)","(18.0, 34.0, 28.0)","(21.0, 70.0, 62.36363636363637)","(21.0, 99999, 99990)","(1.55, 1.75, 1.7441538461538462)"
11-01-2023 17:47:08.830425,"(14.0, 30.0, 27.0)","(14.0, 23.0, 22.3125)","(31.0, 46.0, 42.666666666666664)","(51.0, 95.0, 53.35714285714286)","(16.0, 99999, 99990)","(4.8, 5.0, 4.975)","(18.0, 34.0, 28.0)","(21.0, 70.0, 62.36363636363637)","(21.0, 99999, 99990)","(1.55, 1.75, 1.7441538461538462)"
11-01-2023 17:47:10.109483,"(14.0, 30.0, 25.0)","(14.0, 23.0, 22.444444444444443)","(31.0, 46.0, 41.333333333333336)","(51.0, 95.0, 53.35714285714286)","(16.0, 99999, 99990)","(4.8, 5.0, 4.975)","(18.0, 34.0, 28.0)","(21.0, 70.0, 62.36363636363637)","(26.0, 99999, 99990)","(1.55, 1.78, 1.76125)"
11-01-2023 17:47:11.316261,"(14.0, 30.0, 25.0)","(14.0, 23.0, 21.75)","(31.0, 44.0, 41.714285714285715)","(51.0, 95.0, 53.35714285714286)","(16.0, 99999, 99990)","(4.8, 5.0, 4.975)","(18.0, 34.0, 28.0)","(21.0, 70.0, 62.36363636363637)","(26.0, 99999, 99990)","(1.55, 1.78, 1.7701098901098902)"
11-01-2023 17:47:12.486132,"(14.0, 30.0, 25.0)","(14.0, 23.0, 22.3125)","(31.0, 44.0, 41.714285714285715)","(51.0, 90.0, 70.8)","(16.0, 99999, 99990)","(4.8, 5.0, 4.975)","(18.0, 34.0, 29.166666666666664)","(21.0, 70.0, 62.36363636363637)","(26.0, 99999, 99990)","(1.55, 1.78, 1.7733333333333334)"
11-01-2023 17:47:13.747566,"(14.0, 30.0, 25.714285714285715)","(14.0, 23.0, 22.3125)","(31.0, 44.0, 42.22222222222222)","(51.0, 85.0, 67.8)","(16.0, 99999, 99990)","(4.8, 5.0, 4.990909090909091)","(18.0, 34.0, 29.166666666666664)","(21.0, 70.0, 62.36363636363637)","(26.0, 99999, 99990)","(1.55, 1.78, 1.7733333333333334)"
11-01-2023 17:47:14.949742,"(14.0, 30.0, 25.714285714285715)","(14.0, 23.0, 22.3125)","(31.0, 44.0, 42.22222222222222)","(51.0, 85.0, 67.8)","(16.0, 99999, 99990)","(4.8, 5.0, 4.990909090909091)","(18.0, 34.0, 29.166666666666664)","(21.0, 70.0, 62.36363636363637)","(26.0, 99999, 99990)","(1.55, 1.78, 1.7733333333333334)"
11-01-2023 17:47:16.213909,"(14.0, 30.0, 25.714285714285715)","(14.0, 23.0, 22.3125)","(31.0, 44.0, 42.22222222222222)","(51.0, 85.0, 67.8)","(16.0, 99999, 99990)","(4.8, 5.0, 4.984615384615385)","(18.0, 34.0, 29.166666666666664)","(21.0, 70.0, 61.8)","(26.0, 99999, 99990)","(1.55, 1.78, 1.7736363636363637)"
11-01-2023 17:47:17.486638,"(15.0, 30.0, 25.714285714285715)","(14.0, 21.0, 20.5625)","(31.0, 42.0, 40.666666666666664)","(51.0, 80.0, 64.8)","(16.0, 99999, 99990)","(4.6, 5.0, 4.984615384615385)","(18.0, 34.0, 29.166666666666664)","(21.0, 70.0, 61.8)","(26.0, 99999, 99990)","(1.55, 1.78, 1.7837096774193548)"
