,Mystical Charm,Magic Nitro,Bahamas Miss,Feel Your Way,Montana One,Atomic Pete,Financially Stable,Just Call Me Harry,Batman Jujon
11-01-2023 21:06:34.190748,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.733333333333333)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.79, 1.706)","(41.0, 140.0, 100.0)","(31.0, 48.0, 41.0)"
11-01-2023 21:06:35.369857,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.733333333333333)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.79, 1.706)","(41.0, 140.0, 100.0)","(31.0, 48.0, 41.0)"
11-01-2023 21:06:36.610534,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.733333333333333)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.79, 1.706)","(41.0, 140.0, 100.0)","(31.0, 48.0, 41.0)"
11-01-2023 21:06:37.880292,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.733333333333333)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.79, 1.706)","(41.0, 140.0, 100.0)","(31.0, 48.0, 41.0)"
11-01-2023 21:06:39.028910,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.733333333333333)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.79, 1.725)","(41.0, 140.0, 100.0)","(31.0, 48.0, 41.0)"
11-01-2023 21:06:40.134934,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.666666666666667)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.8, 1.725)","(41.0, 140.0, 100.0)","(31.0, 48.0, 38.8)"
11-01-2023 21:06:41.260194,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.666666666666667)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.8, 1.725)","(41.0, 140.0, 100.0)","(31.0, 46.0, 38.8)"
11-01-2023 21:06:42.431996,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.666666666666667)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.8, 1.725)","(41.0, 140.0, 100.0)","(31.0, 46.0, 38.8)"
11-01-2023 21:06:43.698936,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.666666666666667)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.8, 1.725)","(41.0, 140.0, 100.0)","(31.0, 46.0, 38.8)"
11-01-2023 21:06:44.903883,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.666666666666667)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.8, 1.725)","(41.0, 140.0, 100.0)","(31.0, 46.0, 38.8)"
11-01-2023 21:06:46.128502,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.666666666666667)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.8, 1.725)","(41.0, 140.0, 100.0)","(31.0, 46.0, 38.8)"
11-01-2023 21:06:47.404236,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.666666666666667)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.8, 1.725)","(41.0, 140.0, 100.0)","(31.0, 46.0, 38.8)"
11-01-2023 21:06:48.692047,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.666666666666667)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.8, 1.725)","(41.0, 140.0, 100.0)","(31.0, 46.0, 38.8)"
11-01-2023 21:06:49.898700,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.666666666666667)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.8, 1.725)","(41.0, 140.0, 100.0)","(31.0, 46.0, 38.8)"
11-01-2023 21:06:51.057125,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.666666666666667)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.8, 1.725)","(41.0, 140.0, 100.0)","(31.0, 46.0, 38.8)"
11-01-2023 21:06:52.200014,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.666666666666667)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.8, 1.725)","(41.0, 140.0, 100.0)","(31.0, 46.0, 38.8)"
