,True Treat,Stir The Pot,Tudor Fisk,Major Ando,Black Book,Slingshot Cooper,Copperhead,Mrs Chop
11-01-2023 14:31:35.494980,"(6.0, 14.0, 7.422222222222222)","(6.5, 99999, 99990)","(13.0, 29.0, 27.19148936170213)","(2.5, 4.1, 2.6622857142857144)","(8.0, 15.5, 14.5875)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:31:36.561545,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.19148936170213)","(2.5, 4.1, 2.6622857142857144)","(8.0, 15.5, 14.5875)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:31:37.705768,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.19148936170213)","(2.5, 4.1, 2.6622857142857144)","(8.0, 15.5, 14.5875)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:31:38.814464,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.19148936170213)","(2.5, 4.1, 2.6622857142857144)","(8.0, 15.5, 14.5875)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:31:39.815393,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.19148936170213)","(2.5, 4.1, 2.6622857142857144)","(8.0, 15.5, 14.5875)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:31:40.893524,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.19148936170213)","(2.5, 4.1, 2.6622857142857144)","(8.0, 15.5, 14.5875)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:31:41.895851,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.19148936170213)","(2.5, 4.1, 2.6622857142857144)","(8.0, 15.5, 14.5875)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:31:42.908327,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.19148936170213)","(2.5, 4.1, 2.6622857142857144)","(8.0, 15.5, 14.5875)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:31:43.978385,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.19148936170213)","(2.5, 4.1, 2.6622857142857144)","(8.0, 15.5, 14.5875)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:31:45.063515,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.19148936170213)","(2.5, 4.1, 2.6622857142857144)","(8.0, 15.5, 14.5875)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:31:46.073809,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.19148936170213)","(2.5, 4.1, 2.6622857142857144)","(8.0, 15.5, 14.5875)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:31:47.158869,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.19148936170213)","(2.5, 4.1, 2.6622857142857144)","(8.0, 15.5, 14.5875)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
