,Shanerra Star Nz,Questro Queen Nz,Diletto,Hall Stitched Up,Lennox Bromac Nz,Joetomo,Tulhurst Writer,Drive To The Beach,Infinity Beach,Tulhurst Terror
11-01-2023 17:57:38.741430,"(2.5, 99999, 99990)","(41.0, 99999, 99990)","(3.3, 6.0, 4.2)","(15.0, 30.0, 21.5)","(21.0, 99999, 99990)","(26.0, 95.0, 68.28571428571429)","(21.0, 220.0, 54.166666666666664)","(10.0, 34.0, 22.0)","(4.6, 10.0, 7.3)","(12.0, 16.0, 12.625)"
11-01-2023 17:57:40.218769,"(2.5, 99999, 99990)","(41.0, 99999, 99990)","(3.3, 6.0, 4.2)","(15.0, 30.0, 21.5)","(21.0, 99999, 99990)","(26.0, 220.0, 68.28571428571429)","(21.0, 220.0, 54.166666666666664)","(10.0, 34.0, 22.0)","(4.6, 10.0, 7.3)","(12.0, 16.0, 12.625)"
11-01-2023 17:57:41.625288,"(2.5, 99999, 99990)","(41.0, 99999, 99990)","(3.3, 6.0, 3.625)","(15.0, 30.0, 25.142857142857142)","(21.0, 99999, 99990)","(26.0, 220.0, 46.21818181818182)","(21.0, 220.0, 71.5)","(10.0, 34.0, 22.0)","(4.6, 10.0, 7.3)","(12.0, 16.0, 12.625)"
11-01-2023 17:57:43.033632,"(2.5, 99999, 99990)","(41.0, 99999, 99990)","(3.3, 5.9, 3.625)","(15.0, 30.0, 25.142857142857142)","(21.0, 99999, 99990)","(26.0, 220.0, 46.21818181818182)","(21.0, 220.0, 71.5)","(10.0, 34.0, 22.0)","(4.6, 10.0, 7.3)","(12.0, 16.0, 12.625)"
11-01-2023 17:57:44.510792,"(2.5, 99999, 99990)","(41.0, 99999, 99990)","(3.3, 5.9, 3.625)","(15.0, 30.0, 25.142857142857142)","(21.0, 99999, 99990)","(26.0, 220.0, 46.21818181818182)","(21.0, 220.0, 71.5)","(10.0, 34.0, 22.0)","(4.6, 10.0, 7.3)","(12.0, 16.0, 12.625)"
11-01-2023 17:57:46.079501,"(2.5, 99999, 99990)","(41.0, 99999, 99990)","(3.3, 5.9, 3.625)","(15.0, 30.0, 25.142857142857142)","(21.0, 99999, 99990)","(26.0, 220.0, 92.67999999999999)","(21.0, 220.0, 71.5)","(10.0, 34.0, 22.0)","(4.6, 10.0, 7.3)","(12.0, 16.0, 12.625)"
11-01-2023 17:57:47.608986,"(2.5, 99999, 99990)","(41.0, 99999, 99990)","(3.3, 5.9, 3.625)","(15.0, 30.0, 25.142857142857142)","(21.0, 99999, 99990)","(26.0, 220.0, 92.67999999999999)","(21.0, 220.0, 71.5)","(10.0, 34.0, 22.0)","(4.6, 10.0, 7.3)","(12.0, 16.0, 12.625)"
11-01-2023 17:57:49.022522,"(2.5, 99999, 99990)","(41.0, 99999, 99990)","(3.3, 5.9, 4.133333333333333)","(15.0, 30.0, 27.875)","(21.0, 99999, 99990)","(26.0, 220.0, 51.285714285714285)","(21.0, 220.0, 39.18181818181819)","(10.0, 34.0, 16.0)","(4.6, 10.0, 7.3)","(12.0, 16.0, 12.625)"
11-01-2023 17:57:50.418586,"(2.5, 99999, 99990)","(41.0, 99999, 99990)","(3.3, 5.8, 4.133333333333333)","(15.0, 30.0, 27.875)","(21.0, 99999, 99990)","(26.0, 95.0, 51.285714285714285)","(21.0, 85.0, 39.18181818181819)","(10.0, 28.0, 16.0)","(4.6, 10.0, 7.3)","(12.0, 16.0, 12.625)"
11-01-2023 17:57:51.847652,"(2.5, 99999, 99990)","(41.0, 99999, 99990)","(3.3, 5.8, 4.133333333333333)","(15.0, 30.0, 27.875)","(21.0, 99999, 99990)","(26.0, 95.0, 51.285714285714285)","(21.0, 85.0, 39.18181818181819)","(10.0, 28.0, 16.0)","(4.6, 10.0, 7.3)","(12.0, 16.0, 12.625)"
