,Hear The Call Nz,Lara Bay,Regal Nightshade Nz,Jang Pel,Major Tralee,Make Mine Joe,Underthekilt,After Darn,Betting Baron
11-01-2023 18:36:25.655572,"(2.6, 99999, 99990)","(15.0, 22.0, 19.0)","(12.0, 99999, 99990)","(31.0, 50.0, 45.5)","(4.6, 5.6, 5.199999999999999)","(31.0, 50.0, 43.333333333333336)","(4.4, 6.2, 5.24)","(5.5, 9.2, 7.866666666666666)","(13.0, 19.0, 14.5)"
11-01-2023 18:36:26.855139,"(2.6, 99999, 99990)","(15.0, 22.0, 19.0)","(12.0, 99999, 99990)","(31.0, 50.0, 45.5)","(4.6, 5.6, 5.199999999999999)","(31.0, 50.0, 43.333333333333336)","(4.4, 6.2, 5.24)","(5.5, 9.2, 7.866666666666666)","(13.0, 19.0, 14.5)"
11-01-2023 18:36:28.067940,"(2.6, 99999, 99990)","(15.0, 22.0, 19.0)","(12.0, 99999, 99990)","(31.0, 50.0, 45.5)","(4.6, 5.6, 5.199999999999999)","(31.0, 50.0, 43.333333333333336)","(4.4, 6.2, 5.24)","(5.5, 9.2, 7.866666666666666)","(13.0, 19.0, 14.5)"
11-01-2023 18:36:29.265870,"(2.6, 99999, 99990)","(15.0, 22.0, 19.0)","(12.0, 99999, 99990)","(31.0, 50.0, 45.5)","(4.6, 5.6, 5.199999999999999)","(31.0, 50.0, 43.333333333333336)","(4.4, 6.2, 5.24)","(5.5, 9.2, 7.866666666666666)","(13.0, 19.0, 14.5)"
11-01-2023 18:36:30.406712,"(2.6, 99999, 99990)","(15.0, 22.0, 19.0)","(12.0, 99999, 99990)","(31.0, 50.0, 45.5)","(4.6, 5.6, 5.199999999999999)","(31.0, 50.0, 43.333333333333336)","(4.4, 6.2, 5.24)","(5.5, 9.2, 7.866666666666666)","(13.0, 19.0, 14.5)"
11-01-2023 18:36:31.555301,"(2.6, 99999, 99990)","(15.0, 22.0, 19.0)","(12.0, 99999, 99990)","(31.0, 50.0, 45.5)","(4.6, 5.6, 5.199999999999999)","(31.0, 50.0, 43.333333333333336)","(4.4, 6.2, 5.24)","(5.5, 9.2, 7.866666666666666)","(13.0, 19.0, 14.5)"
11-01-2023 18:36:32.695374,"(2.6, 99999, 99990)","(15.0, 22.0, 19.0)","(12.0, 99999, 99990)","(31.0, 50.0, 45.5)","(4.6, 5.6, 5.199999999999999)","(31.0, 50.0, 43.333333333333336)","(4.4, 6.2, 5.24)","(5.5, 9.2, 7.866666666666666)","(13.0, 19.0, 14.5)"
11-01-2023 18:36:33.898994,"(2.6, 99999, 99990)","(15.0, 22.0, 19.0)","(12.0, 99999, 99990)","(31.0, 50.0, 45.5)","(4.6, 5.6, 5.199999999999999)","(31.0, 50.0, 43.333333333333336)","(4.4, 6.2, 5.24)","(5.5, 9.2, 7.866666666666666)","(13.0, 19.0, 14.5)"
11-01-2023 18:36:35.225835,"(2.6, 99999, 99990)","(15.0, 22.0, 19.0)","(12.0, 99999, 99990)","(31.0, 50.0, 45.5)","(4.6, 5.6, 5.199999999999999)","(31.0, 50.0, 43.333333333333336)","(4.4, 6.2, 5.24)","(5.5, 9.2, 7.866666666666666)","(13.0, 19.0, 14.5)"
11-01-2023 18:36:36.546703,"(2.6, 99999, 99990)","(15.0, 22.0, 19.0)","(12.0, 99999, 99990)","(31.0, 50.0, 45.5)","(4.6, 5.6, 5.199999999999999)","(31.0, 50.0, 43.333333333333336)","(4.4, 6.2, 5.24)","(5.5, 9.2, 7.866666666666666)","(13.0, 19.0, 14.5)"
11-01-2023 18:36:37.779222,"(2.6, 99999, 99990)","(15.0, 22.0, 19.0)","(12.0, 99999, 99990)","(31.0, 50.0, 45.5)","(4.6, 5.6, 5.199999999999999)","(31.0, 50.0, 43.333333333333336)","(4.4, 6.2, 5.24)","(5.5, 9.2, 7.866666666666666)","(13.0, 19.0, 14.5)"
11-01-2023 18:36:38.978587,"(2.6, 99999, 99990)","(15.0, 22.0, 19.0)","(12.0, 99999, 99990)","(31.0, 50.0, 45.5)","(4.6, 5.6, 5.199999999999999)","(31.0, 50.0, 43.333333333333336)","(4.4, 6.2, 5.24)","(5.5, 9.2, 7.866666666666666)","(13.0, 19.0, 14.5)"
11-01-2023 18:36:40.164718,"(2.6, 99999, 99990)","(15.0, 22.0, 19.0)","(12.0, 99999, 99990)","(31.0, 50.0, 45.5)","(4.6, 5.6, 5.199999999999999)","(31.0, 50.0, 43.333333333333336)","(4.4, 6.2, 5.24)","(5.5, 9.2, 7.866666666666666)","(13.0, 19.0, 14.5)"
11-01-2023 18:36:41.338351,"(2.6, 99999, 99990)","(15.0, 22.0, 19.0)","(12.0, 99999, 99990)","(31.0, 50.0, 45.5)","(4.6, 5.6, 5.199999999999999)","(31.0, 50.0, 43.333333333333336)","(4.4, 6.2, 5.24)","(5.5, 9.2, 7.866666666666666)","(13.0, 19.0, 14.5)"
11-01-2023 18:36:42.481946,"(2.6, 99999, 99990)","(15.0, 22.0, 19.0)","(12.0, 99999, 99990)","(31.0, 50.0, 45.5)","(4.6, 5.6, 5.199999999999999)","(31.0, 50.0, 43.333333333333336)","(4.4, 6.2, 5.24)","(5.5, 9.2, 7.866666666666666)","(13.0, 19.0, 14.5)"
11-01-2023 18:36:43.718311,"(2.6, 99999, 99990)","(15.0, 22.0, 19.0)","(12.0, 99999, 99990)","(31.0, 50.0, 45.5)","(4.6, 5.6, 5.199999999999999)","(31.0, 50.0, 43.333333333333336)","(4.4, 6.2, 5.24)","(5.5, 9.2, 7.866666666666666)","(13.0, 19.0, 14.5)"
11-01-2023 18:36:44.958343,"(2.6, 99999, 99990)","(15.0, 22.0, 19.0)","(12.0, 99999, 99990)","(31.0, 50.0, 45.5)","(4.6, 5.6, 5.199999999999999)","(31.0, 50.0, 43.333333333333336)","(4.4, 6.2, 5.24)","(5.5, 9.2, 7.866666666666666)","(13.0, 19.0, 14.5)"
11-01-2023 18:36:46.146732,"(2.6, 99999, 99990)","(15.0, 22.0, 19.0)","(12.0, 99999, 99990)","(31.0, 50.0, 45.5)","(4.6, 5.6, 5.199999999999999)","(31.0, 50.0, 43.333333333333336)","(4.4, 6.2, 5.24)","(5.5, 9.2, 7.866666666666666)","(13.0, 19.0, 14.5)"
11-01-2023 18:36:47.342294,"(2.6, 99999, 99990)","(15.0, 22.0, 19.0)","(12.0, 99999, 99990)","(31.0, 50.0, 45.5)","(4.6, 5.6, 5.199999999999999)","(31.0, 50.0, 43.333333333333336)","(4.4, 6.2, 5.24)","(5.5, 9.2, 7.866666666666666)","(13.0, 19.0, 14.5)"
11-01-2023 18:36:48.440941,"(2.6, 99999, 99990)","(15.0, 22.0, 19.0)","(12.0, 99999, 99990)","(31.0, 50.0, 45.5)","(4.6, 5.6, 5.199999999999999)","(31.0, 50.0, 43.333333333333336)","(4.4, 6.2, 5.24)","(5.5, 9.2, 7.866666666666666)","(13.0, 19.0, 14.5)"
11-01-2023 18:36:49.567149,"(2.6, 99999, 99990)","(15.0, 22.0, 19.0)","(12.0, 99999, 99990)","(31.0, 50.0, 45.5)","(4.6, 5.6, 5.199999999999999)","(31.0, 50.0, 42.0)","(4.4, 6.2, 5.24)","(5.5, 9.2, 7.866666666666666)","(13.0, 19.0, 14.5)"
11-01-2023 18:36:50.769504,"(2.6, 99999, 99990)","(15.0, 22.0, 19.0)","(12.0, 99999, 99990)","(31.0, 50.0, 45.5)","(4.6, 5.6, 5.199999999999999)","(31.0, 50.0, 42.0)","(4.4, 6.2, 5.24)","(5.5, 9.2, 7.866666666666666)","(13.0, 19.0, 14.5)"
11-01-2023 18:36:52.037119,"(2.6, 99999, 99990)","(15.0, 22.0, 19.0)","(12.0, 99999, 99990)","(31.0, 50.0, 45.5)","(4.6, 5.6, 5.199999999999999)","(31.0, 50.0, 42.0)","(4.4, 6.2, 5.24)","(5.5, 9.2, 7.866666666666666)","(13.0, 19.0, 14.5)"
11-01-2023 18:36:53.281986,"(2.6, 99999, 99990)","(15.0, 22.0, 19.0)","(12.0, 99999, 99990)","(31.0, 50.0, 45.5)","(4.6, 5.6, 5.199999999999999)","(31.0, 50.0, 42.0)","(4.4, 6.2, 5.24)","(5.5, 9.2, 7.866666666666666)","(13.0, 19.0, 14.5)"
11-01-2023 18:36:54.475326,"(2.6, 99999, 99990)","(15.0, 22.0, 19.0)","(12.0, 99999, 99990)","(31.0, 50.0, 45.5)","(4.6, 5.6, 5.199999999999999)","(31.0, 50.0, 42.0)","(4.4, 6.2, 5.24)","(5.5, 9.2, 7.866666666666666)","(13.0, 19.0, 14.5)"
11-01-2023 18:36:55.604900,"(2.6, 99999, 99990)","(15.0, 22.0, 19.0)","(12.0, 99999, 99990)","(31.0, 50.0, 45.5)","(4.6, 5.6, 5.199999999999999)","(31.0, 50.0, 42.0)","(4.4, 6.2, 5.24)","(5.5, 9.2, 7.866666666666666)","(13.0, 19.0, 14.5)"
11-01-2023 18:36:56.754622,"(2.6, 99999, 99990)","(15.0, 22.0, 19.0)","(12.0, 99999, 99990)","(31.0, 50.0, 45.5)","(4.6, 5.6, 5.199999999999999)","(31.0, 50.0, 42.0)","(4.4, 6.2, 5.24)","(5.5, 9.2, 7.866666666666666)","(13.0, 19.0, 14.5)"
11-01-2023 18:36:57.898661,"(2.6, 99999, 99990)","(15.0, 22.0, 19.0)","(12.0, 99999, 99990)","(31.0, 50.0, 45.5)","(4.6, 5.6, 5.199999999999999)","(31.0, 50.0, 42.0)","(4.4, 6.2, 5.24)","(5.5, 9.2, 7.866666666666666)","(13.0, 19.0, 14.5)"
11-01-2023 18:36:59.086225,"(2.6, 99999, 99990)","(15.0, 22.0, 19.0)","(12.0, 99999, 99990)","(31.0, 50.0, 45.5)","(4.6, 5.6, 5.199999999999999)","(31.0, 50.0, 42.0)","(4.4, 6.2, 5.24)","(5.5, 9.2, 7.866666666666666)","(13.0, 19.0, 14.5)"
11-01-2023 18:37:00.422026,"(2.6, 99999, 99990)","(15.0, 22.0, 19.0)","(12.0, 99999, 99990)","(31.0, 50.0, 45.5)","(4.6, 5.6, 5.199999999999999)","(31.0, 50.0, 42.0)","(4.4, 6.2, 5.24)","(5.5, 9.2, 7.866666666666666)","(13.0, 19.0, 14.5)"
11-01-2023 18:37:01.833772,"(2.6, 99999, 99990)","(15.0, 22.0, 19.0)","(12.0, 99999, 99990)","(31.0, 50.0, 45.5)","(4.6, 5.6, 5.199999999999999)","(31.0, 50.0, 42.0)","(4.4, 6.2, 5.24)","(5.5, 9.2, 7.866666666666666)","(13.0, 19.0, 14.5)"
11-01-2023 18:37:03.056862,"(2.6, 99999, 99990)","(15.0, 22.0, 19.0)","(12.0, 99999, 99990)","(31.0, 50.0, 45.5)","(4.6, 5.6, 5.199999999999999)","(31.0, 50.0, 42.0)","(4.4, 6.2, 5.24)","(5.5, 9.2, 7.866666666666666)","(13.0, 19.0, 14.5)"
11-01-2023 18:37:04.337548,"(2.6, 99999, 99990)","(15.0, 22.0, 19.0)","(12.0, 99999, 99990)","(31.0, 50.0, 45.5)","(4.6, 5.6, 5.199999999999999)","(31.0, 50.0, 42.0)","(4.4, 6.2, 5.24)","(5.5, 9.2, 7.866666666666666)","(13.0, 19.0, 14.5)"
11-01-2023 18:37:05.565437,"(2.6, 99999, 99990)","(15.0, 22.0, 19.0)","(12.0, 99999, 99990)","(31.0, 50.0, 45.5)","(4.6, 5.6, 5.199999999999999)","(31.0, 50.0, 42.0)","(4.4, 6.2, 5.24)","(5.5, 9.2, 7.866666666666666)","(13.0, 19.0, 14.5)"
11-01-2023 18:37:06.779948,"(2.6, 99999, 99990)","(15.0, 22.0, 19.0)","(12.0, 99999, 99990)","(31.0, 50.0, 45.5)","(4.6, 5.6, 5.199999999999999)","(31.0, 50.0, 42.0)","(4.4, 6.2, 5.24)","(5.5, 9.2, 7.866666666666666)","(13.0, 19.0, 14.5)"
11-01-2023 18:37:07.882089,"(2.6, 99999, 99990)","(15.0, 22.0, 19.0)","(12.0, 99999, 99990)","(31.0, 50.0, 45.5)","(4.6, 5.6, 5.199999999999999)","(31.0, 50.0, 42.0)","(4.4, 6.2, 5.24)","(5.5, 9.2, 7.866666666666666)","(13.0, 19.0, 14.5)"
11-01-2023 18:37:09.031054,"(2.6, 99999, 99990)","(15.0, 22.0, 19.0)","(12.0, 99999, 99990)","(31.0, 50.0, 45.5)","(4.6, 5.6, 5.199999999999999)","(31.0, 50.0, 42.0)","(4.4, 6.2, 5.24)","(5.5, 9.2, 7.866666666666666)","(13.0, 19.0, 14.5)"
