,Billy Buttons,Knighted Shadow,Wyndsor Rose,Corporal Trigger,Real Steel,Effect On Me,From The Area,Tap Out Diesel
11-01-2023 14:50:10.516501,"(2.8, 4.4, 3.5300000000000002)","(20.0, 55.0, 31.875)","(3.8, 7.2, 7.052272727272728)","(20.0, 65.0, 36.875)","(4.8, 8.4, 8.17142857142857)","(14.0, 40.0, 26.11111111111111)","(4.8, 7.6, 7.08)","(9.0, 18.0, 17.704918032786885)"
11-01-2023 14:50:11.873737,"(2.8, 4.2, 3.5300000000000002)","(20.0, 55.0, 31.875)","(3.8, 7.2, 7.052272727272728)","(20.0, 65.0, 36.875)","(4.8, 8.4, 8.17142857142857)","(14.0, 40.0, 26.11111111111111)","(4.8, 7.6, 7.08)","(9.0, 18.0, 17.704918032786885)"
11-01-2023 14:50:13.145963,"(2.8, 4.2, 3.5300000000000002)","(20.0, 55.0, 31.875)","(3.8, 7.2, 7.052272727272728)","(20.0, 65.0, 36.875)","(4.8, 8.4, 8.17142857142857)","(14.0, 40.0, 26.11111111111111)","(4.8, 7.6, 7.08)","(9.0, 18.0, 17.704918032786885)"
11-01-2023 14:50:14.557815,"(2.8, 4.2, 3.5300000000000002)","(20.0, 55.0, 31.875)","(3.8, 7.2, 7.052272727272728)","(20.0, 65.0, 36.875)","(4.8, 8.4, 8.17142857142857)","(14.0, 40.0, 26.11111111111111)","(4.8, 7.6, 7.08)","(9.0, 18.0, 17.704918032786885)"
11-01-2023 14:50:15.846400,"(2.8, 4.2, 3.5300000000000002)","(20.0, 55.0, 31.875)","(3.8, 7.2, 7.052272727272728)","(20.0, 65.0, 36.875)","(4.8, 8.4, 8.17142857142857)","(14.0, 40.0, 26.11111111111111)","(4.8, 7.6, 7.08)","(9.0, 18.0, 17.704918032786885)"
11-01-2023 14:50:17.234237,"(2.8, 4.2, 3.5300000000000002)","(20.0, 55.0, 31.875)","(3.8, 7.2, 7.052272727272728)","(20.0, 65.0, 36.875)","(4.8, 8.4, 8.17142857142857)","(14.0, 40.0, 26.11111111111111)","(4.8, 7.6, 7.08)","(9.0, 18.0, 17.704918032786885)"
11-01-2023 14:50:18.808199,"(2.8, 4.2, 3.5300000000000002)","(20.0, 55.0, 31.875)","(3.8, 7.2, 7.052272727272728)","(20.0, 65.0, 36.875)","(4.8, 8.4, 6.65)","(14.0, 40.0, 26.11111111111111)","(4.8, 7.6, 7.08)","(9.0, 18.0, 17.704918032786885)"
11-01-2023 14:50:20.230776,"(2.8, 4.2, 3.5300000000000002)","(20.0, 55.0, 31.875)","(3.8, 7.2, 7.052272727272728)","(20.0, 65.0, 36.875)","(4.8, 8.4, 8.23)","(14.0, 40.0, 26.11111111111111)","(4.8, 7.6, 7.08)","(9.0, 18.0, 17.704918032786885)"
11-01-2023 14:50:21.805683,"(2.8, 4.2, 3.5300000000000002)","(20.0, 55.0, 31.875)","(3.8, 7.2, 7.052272727272728)","(20.0, 65.0, 36.875)","(4.8, 8.4, 8.23)","(14.0, 40.0, 26.11111111111111)","(4.8, 7.6, 7.08)","(9.0, 18.0, 17.704918032786885)"
11-01-2023 14:50:23.149282,"(2.8, 4.2, 3.5300000000000002)","(20.0, 55.0, 31.875)","(3.8, 7.2, 7.052272727272728)","(20.0, 65.0, 36.875)","(4.8, 8.4, 8.23)","(14.0, 40.0, 26.11111111111111)","(4.8, 7.6, 7.08)","(9.0, 18.0, 17.704918032786885)"
11-01-2023 14:50:24.411649,"(2.8, 4.2, 3.5300000000000002)","(20.0, 55.0, 31.875)","(3.8, 7.2, 7.052272727272728)","(20.0, 65.0, 36.875)","(4.8, 8.4, 8.23)","(14.0, 40.0, 26.11111111111111)","(4.8, 7.6, 7.08)","(9.0, 18.0, 17.704918032786885)"
11-01-2023 14:50:25.691283,"(2.8, 4.2, 3.5300000000000002)","(20.0, 55.0, 31.875)","(3.8, 7.2, 7.052272727272728)","(20.0, 65.0, 36.875)","(4.8, 8.4, 8.23)","(14.0, 40.0, 26.11111111111111)","(4.8, 7.6, 7.08)","(9.0, 18.0, 17.704918032786885)"
11-01-2023 14:50:26.984691,"(2.8, 4.0, 3.4299999999999997)","(20.0, 55.0, 34.44444444444444)","(3.8, 7.2, 7.052272727272728)","(20.0, 65.0, 36.875)","(4.8, 8.4, 7.590909090909091)","(14.0, 40.0, 26.11111111111111)","(4.8, 7.6, 7.08)","(9.0, 18.0, 17.704918032786885)"
11-01-2023 14:50:28.334449,"(2.8, 4.0, 3.4299999999999997)","(20.0, 55.0, 34.44444444444444)","(3.8, 7.2, 7.052272727272728)","(20.0, 65.0, 36.875)","(4.8, 8.0, 7.590909090909091)","(14.0, 40.0, 26.11111111111111)","(4.8, 7.6, 7.08)","(9.0, 18.0, 17.704918032786885)"
11-01-2023 14:50:29.652387,"(2.8, 4.0, 3.4299999999999997)","(20.0, 55.0, 34.44444444444444)","(3.8, 7.2, 7.052272727272728)","(20.0, 65.0, 36.875)","(4.8, 8.0, 7.590909090909091)","(14.0, 40.0, 26.11111111111111)","(4.8, 7.6, 7.08)","(9.0, 18.0, 17.704918032786885)"
11-01-2023 14:50:31.154350,"(2.8, 4.0, 3.4299999999999997)","(20.0, 55.0, 34.44444444444444)","(3.8, 7.2, 6.133333333333333)","(20.0, 65.0, 36.875)","(4.8, 8.0, 7.590909090909091)","(14.0, 40.0, 26.11111111111111)","(4.8, 7.6, 7.08)","(9.0, 18.0, 17.704918032786885)"
11-01-2023 14:50:32.738590,"(2.8, 4.0, 3.4299999999999997)","(20.0, 55.0, 34.44444444444444)","(3.8, 7.2, 6.133333333333333)","(20.0, 65.0, 36.875)","(4.8, 8.0, 7.590909090909091)","(14.0, 40.0, 26.11111111111111)","(4.8, 7.6, 7.08)","(9.0, 18.0, 17.704918032786885)"
11-01-2023 14:50:34.285697,"(2.8, 4.0, 3.4299999999999997)","(20.0, 55.0, 34.44444444444444)","(3.8, 7.2, 6.133333333333333)","(20.0, 65.0, 36.875)","(4.8, 8.0, 7.2562500000000005)","(14.0, 40.0, 26.11111111111111)","(4.8, 7.6, 7.08)","(9.0, 18.0, 17.704918032786885)"
11-01-2023 14:50:35.806423,"(2.8, 4.0, 3.0157142857142856)","(20.0, 55.0, 34.44444444444444)","(3.8, 7.2, 6.133333333333333)","(20.0, 65.0, 36.875)","(4.8, 8.8, 6.127777777777778)","(14.0, 40.0, 26.11111111111111)","(4.8, 7.6, 7.08)","(9.0, 18.0, 17.704918032786885)"
11-01-2023 14:50:37.259207,"(2.8, 3.95, 3.0157142857142856)","(20.0, 55.0, 34.44444444444444)","(3.8, 7.2, 6.133333333333333)","(20.0, 65.0, 36.875)","(4.8, 8.8, 6.127777777777778)","(14.0, 40.0, 26.11111111111111)","(4.8, 7.6, 7.08)","(9.0, 18.0, 17.704918032786885)"
11-01-2023 14:50:38.612066,"(2.8, 3.9, 3.38)","(20.0, 55.0, 34.44444444444444)","(3.8, 7.2, 6.133333333333333)","(20.0, 65.0, 36.875)","(4.8, 8.8, 6.127777777777778)","(14.0, 40.0, 26.11111111111111)","(4.8, 7.6, 7.08)","(9.0, 18.0, 17.704918032786885)"
11-01-2023 14:50:39.963457,"(2.8, 3.9, 3.38)","(20.0, 55.0, 34.44444444444444)","(3.8, 7.2, 6.133333333333333)","(20.0, 65.0, 36.875)","(4.8, 8.8, 7.044444444444444)","(14.0, 40.0, 26.11111111111111)","(4.8, 7.6, 7.08)","(9.0, 18.0, 17.704918032786885)"
11-01-2023 14:50:41.277503,"(2.8, 3.9, 3.38)","(20.0, 55.0, 34.44444444444444)","(3.8, 7.2, 6.133333333333333)","(20.0, 65.0, 36.875)","(4.8, 8.6, 7.044444444444444)","(14.0, 40.0, 26.11111111111111)","(4.8, 7.6, 7.08)","(9.0, 18.0, 17.704918032786885)"
11-01-2023 14:50:42.592310,"(2.8, 3.9, 3.38)","(20.0, 55.0, 34.44444444444444)","(3.8, 7.2, 6.133333333333333)","(20.0, 65.0, 36.875)","(4.8, 8.6, 7.044444444444444)","(14.0, 40.0, 26.11111111111111)","(4.8, 7.6, 7.08)","(9.0, 18.0, 17.704918032786885)"
11-01-2023 14:50:44.006287,"(2.8, 3.9, 3.38)","(20.0, 55.0, 34.44444444444444)","(3.8, 7.2, 6.133333333333333)","(20.0, 65.0, 36.875)","(4.8, 8.6, 7.044444444444444)","(14.0, 40.0, 26.11111111111111)","(4.8, 7.6, 7.08)","(9.0, 18.0, 17.704918032786885)"
11-01-2023 14:50:45.450844,"(2.8, 3.9, 2.936153846153846)","(20.0, 55.0, 34.44444444444444)","(3.8, 7.2, 6.133333333333333)","(20.0, 65.0, 36.875)","(4.8, 8.6, 7.044444444444444)","(14.0, 40.0, 26.11111111111111)","(4.8, 7.6, 7.08)","(9.0, 18.0, 17.704918032786885)"
11-01-2023 14:50:47.102068,"(2.8, 3.85, 3.33)","(20.0, 55.0, 34.44444444444444)","(3.8, 7.2, 6.133333333333333)","(20.0, 65.0, 36.875)","(4.8, 8.6, 7.044444444444444)","(14.0, 40.0, 26.11111111111111)","(4.8, 7.6, 7.08)","(9.0, 18.0, 17.704918032786885)"
11-01-2023 14:50:48.537479,"(2.8, 3.8, 3.33)","(20.0, 55.0, 34.44444444444444)","(3.8, 7.2, 6.133333333333333)","(20.0, 65.0, 36.875)","(4.8, 8.6, 7.5)","(14.0, 40.0, 26.11111111111111)","(4.8, 7.6, 7.08)","(9.0, 18.0, 17.704918032786885)"
