,American Russ,Ebony King,Hanibal Hero,Mahjing,Dirty Grin,Gringotts,Shakattak,Tapin Three,Terrestar
11-01-2023 15:36:20.621078,"(71.0, 130.0, 106.66666666666667)","(14.0, 19.5, 18.84375)","(21.0, 34.0, 30.935483870967744)","(101.0, 260.0, 220.0)","(9.0, 13.0, 12.652173913043478)","(4.6, 5.1, 5.058445945945945)","(4.6, 5.9, 5.732876712328768)","(2.45, 2.94, 2.9144099378881987)","(8.5, 9.8, 9.468016194331984)"
11-01-2023 15:36:21.874664,"(71.0, 130.0, 123.33333333333334)","(14.0, 19.5, 18.84375)","(21.0, 34.0, 30.935483870967744)","(101.0, 280.0, 220.0)","(9.0, 13.0, 12.652173913043478)","(4.6, 5.1, 5.058445945945945)","(4.6, 5.9, 5.732876712328768)","(2.45, 2.92, 2.9144099378881987)","(8.5, 9.8, 9.468016194331984)"
11-01-2023 15:36:23.105014,"(71.0, 130.0, 123.33333333333334)","(14.0, 19.5, 18.84375)","(21.0, 34.0, 30.935483870967744)","(101.0, 280.0, 220.0)","(9.0, 13.0, 12.75)","(4.6, 5.1, 5.058445945945945)","(4.6, 5.9, 5.6308823529411764)","(2.45, 2.92, 2.9144099378881987)","(8.5, 9.8, 9.468016194331984)"
11-01-2023 15:36:24.382641,"(71.0, 130.0, 123.33333333333334)","(14.0, 19.5, 18.84375)","(21.0, 34.0, 30.935483870967744)","(101.0, 280.0, 220.0)","(9.0, 13.0, 12.681818181818182)","(4.6, 5.1, 5.058445945945945)","(4.6, 5.9, 5.7081081081081075)","(2.45, 2.92, 2.9144099378881987)","(8.5, 9.8, 9.468016194331984)"
11-01-2023 15:36:25.629773,"(71.0, 130.0, 123.33333333333334)","(14.0, 19.5, 18.84375)","(21.0, 34.0, 30.935483870967744)","(101.0, 280.0, 220.0)","(9.0, 13.0, 12.681818181818182)","(4.6, 5.1, 5.058445945945945)","(4.6, 5.8, 5.7081081081081075)","(2.45, 2.92, 2.9144099378881987)","(8.5, 9.8, 9.468016194331984)"
11-01-2023 15:36:26.844626,"(71.0, 130.0, 123.33333333333334)","(14.0, 19.5, 18.84375)","(21.0, 34.0, 30.935483870967744)","(101.0, 280.0, 220.0)","(9.0, 13.0, 12.631578947368421)","(4.6, 5.1, 5.058445945945945)","(4.6, 5.8, 5.7081081081081075)","(2.45, 2.92, 2.9144099378881987)","(8.5, 9.8, 9.468016194331984)"
11-01-2023 15:36:28.142954,"(71.0, 130.0, 123.33333333333334)","(14.0, 19.5, 18.84375)","(21.0, 34.0, 30.935483870967744)","(101.0, 280.0, 220.0)","(9.0, 13.0, 12.777777777777779)","(4.6, 5.1, 4.830311614730878)","(4.6, 5.8, 5.7704545454545455)","(2.45, 2.92, 2.9303125)","(8.5, 9.8, 9.482170542635659)"
11-01-2023 15:36:29.429552,"(71.0, 130.0, 123.33333333333334)","(14.0, 19.5, 18.9)","(21.0, 34.0, 31.466666666666665)","(101.0, 280.0, 220.0)","(9.0, 13.5, 12.803030303030303)","(4.6, 4.9, 4.830311614730878)","(4.6, 5.9, 5.772941176470589)","(2.45, 2.94, 2.942758620689655)","(8.5, 9.8, 9.482170542635659)"
11-01-2023 15:36:30.664848,"(71.0, 130.0, 123.33333333333334)","(14.0, 19.5, 18.86842105263158)","(21.0, 34.0, 31.466666666666665)","(101.0, 280.0, 220.0)","(9.0, 13.5, 12.981481481481481)","(4.6, 4.9, 4.827884615384615)","(4.6, 5.9, 5.779487179487179)","(2.45, 2.96, 2.942758620689655)","(8.5, 9.8, 9.482170542635659)"
11-01-2023 15:36:31.913566,"(71.0, 130.0, 123.33333333333334)","(14.0, 19.5, 19.0)","(21.0, 34.0, 31.466666666666665)","(101.0, 280.0, 196.66666666666666)","(9.0, 13.5, 12.981481481481481)","(4.6, 4.9, 4.827884615384615)","(4.6, 5.9, 5.779487179487179)","(2.45, 2.96, 2.944)","(8.5, 9.8, 9.486530612244898)"
