,Boo Too,Jefferson Security,Sweet T,Allegheny Hero,Jubas Yankee One,Monkey Wrench,Chartered Course
12-01-2023 10:13:37.689112,"(15.0, 180.0, 156.0)","(1.26, 1.58, 1.5616216216216217)","(14.0, 32.0, 22.25)","(11.0, 24.0, 17.25)","(31.0, 230.0, 160.66666666666666)","(12.0, 27.0, 20.6)","(10.0, 38.0, 30.7)"
12-01-2023 10:13:38.640291,"(15.0, 180.0, 156.0)","(1.26, 1.58, 1.5616216216216217)","(14.0, 32.0, 22.25)","(11.0, 24.0, 17.25)","(31.0, 230.0, 160.66666666666666)","(12.0, 27.0, 20.6)","(10.0, 38.0, 30.7)"
12-01-2023 10:13:39.628971,"(15.0, 180.0, 156.0)","(1.26, 1.58, 1.5)","(14.0, 32.0, 22.25)","(11.0, 24.0, 17.25)","(31.0, 230.0, 160.66666666666666)","(12.0, 27.0, 20.6)","(10.0, 38.0, 30.7)"
12-01-2023 10:13:40.728804,"(15.0, 180.0, 156.0)","(1.26, 1.58, 1.5)","(14.0, 32.0, 22.25)","(11.0, 24.0, 17.25)","(31.0, 230.0, 160.66666666666666)","(12.0, 27.0, 20.6)","(10.0, 38.0, 30.7)"
12-01-2023 10:13:41.801869,"(15.0, 180.0, 156.0)","(1.26, 1.58, 1.5)","(14.0, 32.0, 22.25)","(11.0, 24.0, 17.25)","(31.0, 230.0, 160.66666666666666)","(12.0, 27.0, 20.6)","(10.0, 38.0, 30.7)"
12-01-2023 10:13:42.829364,"(15.0, 180.0, 156.0)","(1.26, 1.58, 1.5)","(14.0, 32.0, 22.25)","(11.0, 24.0, 17.25)","(31.0, 230.0, 160.66666666666666)","(12.0, 27.0, 20.6)","(10.0, 38.0, 30.7)"
12-01-2023 10:13:43.866342,"(15.0, 180.0, 156.0)","(1.26, 1.58, 1.5)","(14.0, 32.0, 22.25)","(11.0, 24.0, 17.25)","(31.0, 230.0, 160.66666666666666)","(12.0, 27.0, 20.6)","(10.0, 38.0, 30.7)"
12-01-2023 10:13:44.852523,"(15.0, 180.0, 156.0)","(1.26, 1.58, 1.5)","(14.0, 32.0, 22.25)","(11.0, 24.0, 17.25)","(31.0, 230.0, 160.66666666666666)","(12.0, 27.0, 20.6)","(10.0, 38.0, 30.7)"
12-01-2023 10:13:45.941829,"(15.0, 180.0, 156.0)","(1.26, 1.58, 1.5)","(14.0, 32.0, 22.25)","(11.0, 24.0, 17.25)","(31.0, 230.0, 160.66666666666666)","(12.0, 27.0, 20.6)","(10.0, 38.0, 30.7)"
12-01-2023 10:13:47.050377,"(15.0, 180.0, 156.0)","(1.26, 1.58, 1.5)","(14.0, 32.0, 22.25)","(11.0, 24.0, 17.25)","(31.0, 230.0, 160.66666666666666)","(12.0, 27.0, 20.6)","(10.0, 38.0, 30.7)"
12-01-2023 10:13:48.177764,"(15.0, 180.0, 156.0)","(1.26, 1.58, 1.5)","(14.0, 32.0, 22.25)","(11.0, 24.0, 17.25)","(31.0, 230.0, 160.66666666666666)","(12.0, 27.0, 20.6)","(10.0, 38.0, 30.7)"
12-01-2023 10:13:49.313382,"(15.0, 180.0, 156.0)","(1.26, 1.58, 1.5)","(14.0, 32.0, 22.25)","(11.0, 24.0, 17.25)","(31.0, 230.0, 160.66666666666666)","(12.0, 27.0, 20.6)","(10.0, 38.0, 30.7)"
12-01-2023 10:13:50.383058,"(15.0, 180.0, 156.0)","(1.26, 1.58, 1.5)","(14.0, 32.0, 22.25)","(11.0, 24.0, 17.25)","(31.0, 230.0, 160.66666666666666)","(12.0, 27.0, 20.6)","(10.0, 38.0, 30.7)"
12-01-2023 10:13:51.351097,"(15.0, 180.0, 156.0)","(1.26, 1.58, 1.5)","(14.0, 32.0, 22.25)","(11.0, 24.0, 17.25)","(31.0, 230.0, 160.66666666666666)","(12.0, 27.0, 20.6)","(10.0, 38.0, 30.7)"
12-01-2023 10:13:52.333736,"(15.0, 180.0, 156.0)","(1.26, 1.58, 1.42)","(14.0, 32.0, 22.25)","(11.0, 24.0, 17.25)","(31.0, 230.0, 160.66666666666666)","(12.0, 27.0, 20.6)","(10.0, 38.0, 30.7)"
12-01-2023 10:13:53.300923,"(15.0, 180.0, 156.0)","(1.26, 1.58, 1.42)","(14.0, 32.0, 22.25)","(11.0, 24.0, 17.25)","(31.0, 230.0, 160.66666666666666)","(12.0, 27.0, 20.6)","(10.0, 38.0, 30.7)"
12-01-2023 10:13:54.284485,"(15.0, 180.0, 156.0)","(1.26, 1.58, 1.53)","(14.0, 32.0, 22.25)","(11.0, 24.0, 17.25)","(31.0, 230.0, 160.66666666666666)","(12.0, 27.0, 20.6)","(10.0, 38.0, 30.7)"
12-01-2023 10:13:55.287073,"(15.0, 180.0, 156.0)","(1.26, 1.58, 1.4849999999999999)","(14.0, 32.0, 22.25)","(11.0, 24.0, 17.25)","(31.0, 230.0, 160.66666666666666)","(12.0, 27.0, 20.6)","(10.0, 38.0, 30.75)"
12-01-2023 10:13:56.191549,"(15.0, 180.0, 156.0)","(1.26, 1.58, 1.5605405405405406)","(14.0, 32.0, 22.25)","(11.0, 24.0, 17.25)","(31.0, 230.0, 160.66666666666666)","(12.0, 27.0, 20.6)","(10.0, 38.0, 30.75)"
12-01-2023 10:13:57.091735,"(15.0, 180.0, 156.0)","(1.26, 1.58, 1.5605405405405406)","(14.0, 32.0, 22.25)","(11.0, 24.0, 17.25)","(31.0, 230.0, 160.66666666666666)","(12.0, 27.0, 20.6)","(10.0, 38.0, 30.75)"
12-01-2023 10:13:58.104628,"(15.0, 180.0, 156.0)","(1.26, 1.58, 1.5605405405405406)","(14.0, 32.0, 22.25)","(11.0, 24.0, 17.25)","(31.0, 230.0, 160.66666666666666)","(12.0, 27.0, 20.6)","(10.0, 38.0, 30.75)"
