,Apache Don,Bokarm Pete,Sudden Comfort,Wisdom,Kingsbrae Wilma,Double Happiness,Kingsbrae Kota
12-01-2023 11:41:41.211154,"(1.9, 2.3, 2.1359999999999997)","(2.4, 4.1, 3.169090909090909)","(5.5, 9.8, 6.2615384615384615)","(31.0, 130.0, 105.5)","(51.0, 380.0, 240.71428571428572)","(13.0, 32.0, 20.4375)","(31.0, 290.0, 83.6)"
12-01-2023 11:41:42.273110,"(1.9, 2.3, 2.1359999999999997)","(2.4, 4.1, 3.169090909090909)","(5.5, 9.8, 6.2615384615384615)","(31.0, 130.0, 105.5)","(51.0, 380.0, 240.71428571428572)","(13.0, 32.0, 20.4375)","(31.0, 290.0, 83.6)"
12-01-2023 11:41:43.333514,"(1.9, 2.3, 2.1359999999999997)","(2.4, 4.1, 3.169090909090909)","(5.5, 9.8, 6.2615384615384615)","(31.0, 130.0, 105.5)","(51.0, 380.0, 240.71428571428572)","(13.0, 32.0, 20.4375)","(31.0, 290.0, 83.6)"
12-01-2023 11:41:44.304773,"(1.9, 2.3, 2.1359999999999997)","(2.4, 4.1, 3.169090909090909)","(5.5, 9.8, 6.2615384615384615)","(31.0, 130.0, 105.5)","(51.0, 380.0, 240.71428571428572)","(13.0, 32.0, 20.4375)","(31.0, 290.0, 83.6)"
12-01-2023 11:41:45.178155,"(1.9, 2.3, 2.1359999999999997)","(2.4, 4.1, 3.169090909090909)","(5.5, 9.8, 6.2615384615384615)","(31.0, 130.0, 105.5)","(51.0, 380.0, 240.71428571428572)","(13.0, 32.0, 20.4375)","(31.0, 290.0, 83.6)"
12-01-2023 11:41:46.148204,"(1.9, 2.3, 2.1359999999999997)","(2.4, 4.1, 3.169090909090909)","(5.5, 9.8, 6.2615384615384615)","(31.0, 130.0, 105.5)","(51.0, 380.0, 240.71428571428572)","(13.0, 32.0, 20.4375)","(31.0, 290.0, 83.6)"
12-01-2023 11:41:47.089803,"(1.9, 2.3, 2.1359999999999997)","(2.4, 4.1, 3.169090909090909)","(5.5, 9.8, 6.2615384615384615)","(31.0, 130.0, 105.5)","(51.0, 380.0, 240.71428571428572)","(13.0, 32.0, 20.4375)","(31.0, 290.0, 83.6)"
12-01-2023 11:41:48.092996,"(1.9, 2.3, 2.1359999999999997)","(2.4, 4.1, 3.169090909090909)","(5.5, 9.8, 6.2615384615384615)","(31.0, 130.0, 105.5)","(51.0, 380.0, 240.71428571428572)","(13.0, 32.0, 20.4375)","(31.0, 290.0, 83.6)"
12-01-2023 11:41:49.098435,"(1.9, 2.3, 2.1359999999999997)","(2.4, 4.1, 3.169090909090909)","(5.5, 9.8, 6.2615384615384615)","(31.0, 130.0, 105.5)","(51.0, 380.0, 240.71428571428572)","(13.0, 32.0, 20.4375)","(31.0, 290.0, 83.6)"
12-01-2023 11:41:50.133553,"(1.9, 2.3, 2.1359999999999997)","(2.4, 4.1, 3.169090909090909)","(5.5, 9.8, 6.2615384615384615)","(31.0, 130.0, 105.5)","(51.0, 380.0, 240.71428571428572)","(13.0, 32.0, 20.4375)","(31.0, 290.0, 83.6)"
12-01-2023 11:41:51.120544,"(1.9, 2.3, 2.1359999999999997)","(2.4, 4.1, 3.169090909090909)","(5.5, 9.8, 6.2615384615384615)","(31.0, 130.0, 105.5)","(51.0, 380.0, 240.71428571428572)","(13.0, 32.0, 20.4375)","(31.0, 290.0, 83.6)"
12-01-2023 11:41:52.076124,"(1.9, 2.3, 2.1359999999999997)","(2.4, 4.1, 3.169090909090909)","(5.5, 9.8, 6.2615384615384615)","(31.0, 130.0, 105.5)","(51.0, 380.0, 240.71428571428572)","(13.0, 32.0, 20.4375)","(31.0, 290.0, 83.6)"
12-01-2023 11:41:52.972672,"(1.9, 2.3, 2.1359999999999997)","(2.4, 4.1, 3.169090909090909)","(5.5, 9.8, 6.2615384615384615)","(31.0, 130.0, 105.5)","(51.0, 380.0, 240.71428571428572)","(13.0, 32.0, 20.4375)","(31.0, 290.0, 83.6)"
12-01-2023 11:41:53.909281,"(1.9, 2.3, 2.1359999999999997)","(2.4, 4.1, 3.169090909090909)","(5.5, 9.8, 6.2615384615384615)","(31.0, 130.0, 105.5)","(51.0, 380.0, 240.71428571428572)","(13.0, 32.0, 20.4375)","(31.0, 290.0, 83.6)"
