,Tahi Tama,Wind In My Wings,Perfect Turn,My Bibby,Dublin Castle,Triathlete,Derryaire,Our Mate Reg,Sneeze,Mcdreamy,Unscripted
12-01-2023 12:25:56.820024,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 30.416666666666664)","(31.0, 220.0, 188.66666666666666)","(2.0, 2.26, 2.157142857142857)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.25)","(12.0, 27.0, 18.0)"
12-01-2023 12:25:58.137969,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 30.416666666666664)","(31.0, 220.0, 188.66666666666666)","(2.0, 2.26, 2.157142857142857)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.25)","(12.0, 27.0, 18.0)"
12-01-2023 12:25:59.611235,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 30.416666666666664)","(31.0, 220.0, 188.66666666666666)","(2.0, 2.26, 2.083720930232558)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.25)","(12.0, 27.0, 18.0)"
12-01-2023 12:26:00.979777,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 30.416666666666664)","(31.0, 220.0, 188.66666666666666)","(2.0, 2.3, 2.083720930232558)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.25)","(12.0, 27.0, 18.0)"
12-01-2023 12:26:02.240193,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 30.416666666666664)","(31.0, 220.0, 188.66666666666666)","(2.0, 2.3, 2.1695238095238096)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.25)","(12.0, 27.0, 18.0)"
12-01-2023 12:26:03.497261,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 30.416666666666664)","(31.0, 220.0, 188.66666666666666)","(2.0, 2.28, 2.157142857142857)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.25)","(12.0, 27.0, 18.0)"
12-01-2023 12:26:05.029987,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 30.416666666666664)","(31.0, 220.0, 188.66666666666666)","(2.0, 2.26, 2.157142857142857)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.25)","(12.0, 27.0, 18.0)"
12-01-2023 12:26:06.351477,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 30.416666666666664)","(31.0, 220.0, 188.66666666666666)","(2.0, 2.26, 2.157142857142857)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.25)","(12.0, 27.0, 18.0)"
12-01-2023 12:26:07.598138,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 30.416666666666664)","(31.0, 220.0, 188.66666666666666)","(2.0, 2.26, 2.157142857142857)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.25)","(12.0, 27.0, 18.0)"
12-01-2023 12:26:08.827737,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 30.416666666666664)","(31.0, 220.0, 188.66666666666666)","(2.0, 2.26, 2.157142857142857)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.25)","(12.0, 27.0, 18.0)"
12-01-2023 12:26:10.022010,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 30.416666666666664)","(31.0, 220.0, 188.66666666666666)","(2.0, 2.26, 2.157142857142857)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.25)","(12.0, 27.0, 18.0)"
12-01-2023 12:26:11.249529,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 30.416666666666664)","(31.0, 220.0, 188.66666666666666)","(2.0, 2.26, 2.157142857142857)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.25)","(12.0, 27.0, 18.0)"
12-01-2023 12:26:12.519168,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 30.416666666666664)","(31.0, 220.0, 188.66666666666666)","(2.0, 2.26, 2.157142857142857)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.25)","(12.0, 27.0, 18.0)"
12-01-2023 12:26:13.742932,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 30.416666666666664)","(31.0, 220.0, 173.0)","(2.0, 2.32, 2.277333333333333)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.25)","(12.0, 27.0, 18.0)"
12-01-2023 12:26:14.934977,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 30.416666666666664)","(31.0, 220.0, 188.66666666666666)","(2.0, 2.32, 2.277333333333333)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.25)","(12.0, 27.0, 18.0)"
12-01-2023 12:26:16.229418,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 30.416666666666664)","(31.0, 220.0, 188.66666666666666)","(2.0, 2.32, 2.277333333333333)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.25)","(12.0, 27.0, 18.0)"
12-01-2023 12:26:17.472893,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 30.416666666666664)","(31.0, 220.0, 188.66666666666666)","(2.0, 2.32, 2.2381818181818183)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.25)","(12.0, 27.0, 18.0)"
12-01-2023 12:26:18.688399,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 30.416666666666664)","(31.0, 220.0, 188.66666666666666)","(2.0, 2.32, 2.2381818181818183)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.25)","(12.0, 27.0, 18.0)"
12-01-2023 12:26:19.953565,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.814814814814815)","(19.0, 90.0, 67.5)","(31.0, 220.0, 188.66666666666666)","(2.0, 2.32, 2.2381818181818183)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.25)","(12.0, 27.0, 18.0)"
12-01-2023 12:26:21.554176,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 30.416666666666664)","(31.0, 220.0, 188.66666666666666)","(2.0, 2.32, 2.1999999999999997)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.25)","(12.0, 27.0, 18.0)"
12-01-2023 12:26:22.920824,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 30.416666666666664)","(31.0, 220.0, 188.66666666666666)","(1.95, 2.32, 2.1999999999999997)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.25)","(12.0, 27.0, 18.0)"
12-01-2023 12:26:24.275968,"(6.5, 13.0, 8.41)","(11.0, 99999, 99990)","(8.5, 16.0, 10.899999999999999)","(10.0, 11.0, 9.857142857142858)","(19.0, 90.0, 30.416666666666664)","(31.0, 220.0, 188.66666666666666)","(1.95, 2.32, 2.1999999999999997)","(18.0, 90.0, 36.375)","(21.0, 100.0, 72.83333333333334)","(10.0, 21.0, 16.25)","(12.0, 27.0, 18.333333333333332)"
