,Ozarch,Sequoia Chieftain,Think Im Ready,Tiger For Life,Baguio,Bantamweight,Baby Run,Princess Pollyanna,Calathiel,Carlie Eksplodes,Reg N Kath,Social Dame
12-01-2023 12:26:34.158573,"(6.5, 8.4, 8.065116279069768)","(6.5, 9.2, 8.5)","(11.0, 19.5, 16.666666666666664)","(2.8, 4.2, 3.8)","(8.5, 11.5, 9.475000000000001)","(9.0, 19.0, 14.3125)","(5.5, 10.5, 9.012500000000001)","(81.0, 190.0, 166.25)","(51.0, 95.0, 72.14285714285714)","(14.0, 23.0, 16.75)","(31.0, 60.0, 40.0)","(91.0, 190.0, 164.28571428571428)"
12-01-2023 12:26:35.567243,"(6.5, 8.4, 8.065116279069768)","(6.5, 9.2, 8.5)","(11.0, 19.5, 16.666666666666664)","(2.8, 4.2, 3.8)","(8.5, 11.5, 9.475000000000001)","(9.0, 19.0, 14.3125)","(5.5, 10.5, 9.012500000000001)","(81.0, 190.0, 166.25)","(51.0, 95.0, 72.14285714285714)","(14.0, 23.0, 16.75)","(31.0, 60.0, 40.0)","(91.0, 190.0, 164.28571428571428)"
12-01-2023 12:26:36.939980,"(6.5, 8.4, 8.065116279069768)","(6.5, 9.2, 8.5)","(11.0, 19.5, 16.666666666666664)","(2.8, 4.2, 3.8)","(8.5, 11.5, 9.475000000000001)","(9.0, 19.0, 14.3125)","(5.5, 10.5, 9.012500000000001)","(81.0, 190.0, 166.25)","(51.0, 95.0, 72.14285714285714)","(14.0, 23.0, 16.75)","(31.0, 60.0, 40.0)","(91.0, 190.0, 164.28571428571428)"
12-01-2023 12:26:38.360486,"(6.5, 8.4, 8.065116279069768)","(6.5, 9.2, 8.5)","(11.0, 19.5, 16.666666666666664)","(2.8, 4.2, 3.8)","(8.5, 11.5, 9.475000000000001)","(9.0, 19.0, 14.3125)","(5.5, 10.5, 9.012500000000001)","(81.0, 190.0, 166.25)","(51.0, 95.0, 72.14285714285714)","(14.0, 23.0, 16.75)","(31.0, 60.0, 40.0)","(91.0, 190.0, 164.28571428571428)"
12-01-2023 12:26:39.728070,"(6.5, 8.4, 8.065116279069768)","(6.5, 9.2, 8.5)","(11.0, 19.5, 16.666666666666664)","(2.8, 4.2, 3.8)","(8.5, 11.5, 9.475000000000001)","(9.0, 19.0, 14.3125)","(5.5, 10.5, 9.012500000000001)","(81.0, 190.0, 166.25)","(51.0, 95.0, 72.14285714285714)","(14.0, 23.0, 16.75)","(31.0, 60.0, 40.0)","(91.0, 190.0, 164.28571428571428)"
12-01-2023 12:26:41.078564,"(6.5, 8.4, 8.065116279069768)","(6.5, 9.2, 8.5)","(11.0, 19.5, 16.666666666666664)","(2.8, 4.2, 3.8)","(8.5, 11.5, 9.475000000000001)","(9.0, 19.0, 14.3125)","(5.5, 10.5, 9.012500000000001)","(81.0, 190.0, 166.25)","(51.0, 95.0, 72.14285714285714)","(14.0, 23.0, 16.75)","(31.0, 60.0, 40.0)","(91.0, 190.0, 164.28571428571428)"
12-01-2023 12:26:42.485181,"(6.5, 8.4, 8.065116279069768)","(6.5, 9.2, 8.5)","(11.0, 19.5, 16.666666666666664)","(2.8, 4.2, 3.8)","(8.5, 11.5, 9.475000000000001)","(9.0, 19.0, 14.3125)","(5.5, 10.5, 9.012500000000001)","(81.0, 190.0, 166.25)","(51.0, 95.0, 72.14285714285714)","(14.0, 23.0, 16.75)","(31.0, 60.0, 40.0)","(91.0, 190.0, 164.28571428571428)"
12-01-2023 12:26:43.836754,"(6.5, 8.4, 8.065116279069768)","(6.5, 9.2, 8.5)","(11.0, 19.5, 16.666666666666664)","(2.8, 4.2, 3.8)","(8.5, 11.5, 9.475000000000001)","(9.0, 19.0, 14.3125)","(5.5, 10.5, 9.012500000000001)","(81.0, 190.0, 126.66666666666667)","(51.0, 95.0, 72.14285714285714)","(14.0, 23.0, 16.75)","(31.0, 60.0, 40.0)","(91.0, 190.0, 164.28571428571428)"
12-01-2023 12:26:45.189061,"(6.5, 8.4, 8.065116279069768)","(6.5, 9.2, 8.5)","(11.0, 19.5, 16.666666666666664)","(2.8, 4.2, 3.8)","(8.5, 11.5, 9.475000000000001)","(9.0, 19.0, 14.3125)","(5.5, 10.5, 9.012500000000001)","(81.0, 190.0, 164.28571428571428)","(51.0, 95.0, 72.14285714285714)","(14.0, 23.0, 16.75)","(31.0, 60.0, 40.0)","(91.0, 190.0, 164.28571428571428)"
12-01-2023 12:26:46.582668,"(6.5, 8.4, 8.065116279069768)","(6.5, 9.2, 8.5)","(11.0, 19.5, 16.666666666666664)","(2.8, 4.2, 3.8)","(8.5, 11.5, 9.475000000000001)","(9.0, 19.0, 14.3125)","(5.5, 10.5, 9.012500000000001)","(81.0, 190.0, 164.28571428571428)","(51.0, 95.0, 72.14285714285714)","(14.0, 23.0, 16.75)","(31.0, 60.0, 40.0)","(91.0, 190.0, 164.28571428571428)"
12-01-2023 12:26:48.048727,"(6.5, 8.4, 8.065116279069768)","(6.5, 9.2, 8.5)","(11.0, 19.5, 16.666666666666664)","(2.8, 4.2, 3.875)","(8.5, 11.5, 9.475000000000001)","(9.0, 19.0, 14.3125)","(5.5, 10.5, 9.012500000000001)","(81.0, 190.0, 164.28571428571428)","(51.0, 95.0, 72.14285714285714)","(14.0, 23.0, 16.75)","(31.0, 60.0, 40.0)","(91.0, 190.0, 164.28571428571428)"
12-01-2023 12:26:49.467516,"(6.5, 8.4, 8.065116279069768)","(6.5, 9.2, 8.5)","(11.0, 19.5, 16.666666666666664)","(2.8, 4.2, 3.8533333333333335)","(8.5, 11.5, 9.475000000000001)","(9.0, 19.0, 14.3125)","(5.5, 10.5, 9.012500000000001)","(81.0, 190.0, 164.28571428571428)","(51.0, 95.0, 72.14285714285714)","(14.0, 23.0, 16.75)","(31.0, 60.0, 40.0)","(91.0, 190.0, 164.28571428571428)"
12-01-2023 12:26:50.877558,"(6.5, 8.4, 8.065116279069768)","(6.5, 9.2, 8.5)","(11.0, 19.5, 16.666666666666664)","(2.8, 4.2, 3.8533333333333335)","(8.5, 11.5, 9.475000000000001)","(9.0, 19.0, 14.3125)","(5.5, 10.5, 9.012500000000001)","(81.0, 190.0, 164.28571428571428)","(51.0, 95.0, 72.14285714285714)","(14.0, 23.0, 16.75)","(31.0, 60.0, 40.0)","(91.0, 190.0, 164.28571428571428)"
12-01-2023 12:26:52.276976,"(6.5, 8.4, 8.065116279069768)","(6.5, 9.2, 8.5)","(11.0, 19.5, 16.666666666666664)","(2.8, 4.2, 3.8)","(8.5, 11.5, 9.475000000000001)","(9.0, 19.0, 14.3125)","(5.5, 10.5, 9.012500000000001)","(81.0, 190.0, 164.28571428571428)","(51.0, 95.0, 72.14285714285714)","(14.0, 23.0, 16.75)","(31.0, 60.0, 40.0)","(91.0, 190.0, 164.28571428571428)"
12-01-2023 12:26:53.734781,"(6.5, 8.4, 8.065116279069768)","(6.5, 9.2, 8.5)","(11.0, 19.5, 16.666666666666664)","(2.8, 4.2, 3.830769230769231)","(8.5, 11.5, 9.475000000000001)","(9.0, 19.0, 14.3125)","(5.5, 10.5, 9.012500000000001)","(81.0, 190.0, 164.28571428571428)","(51.0, 95.0, 72.14285714285714)","(14.0, 23.0, 16.75)","(31.0, 60.0, 40.0)","(91.0, 190.0, 164.28571428571428)"
12-01-2023 12:26:55.080457,"(6.5, 8.4, 8.065116279069768)","(6.5, 9.2, 8.5)","(11.0, 19.5, 16.666666666666664)","(2.8, 4.2, 3.830769230769231)","(8.5, 11.5, 9.475000000000001)","(9.0, 19.0, 14.3125)","(5.5, 10.5, 9.012500000000001)","(81.0, 190.0, 158.57142857142856)","(51.0, 95.0, 81.25)","(14.0, 23.0, 16.75)","(31.0, 60.0, 40.0)","(91.0, 190.0, 164.28571428571428)"
12-01-2023 12:26:56.470869,"(6.5, 8.4, 8.065116279069768)","(6.5, 9.2, 8.5)","(11.0, 19.5, 16.666666666666664)","(2.8, 4.2, 3.830769230769231)","(8.5, 11.5, 9.475000000000001)","(9.0, 19.0, 14.3125)","(5.5, 10.5, 9.012500000000001)","(81.0, 190.0, 158.57142857142856)","(51.0, 90.0, 81.25)","(14.0, 23.0, 16.75)","(31.0, 60.0, 40.0)","(91.0, 190.0, 164.28571428571428)"
12-01-2023 12:26:57.774215,"(6.5, 8.4, 8.065116279069768)","(6.5, 9.2, 8.5)","(11.0, 19.5, 16.666666666666664)","(2.8, 4.2, 3.830769230769231)","(8.5, 11.5, 9.475000000000001)","(9.0, 19.0, 14.3125)","(5.5, 10.5, 9.012500000000001)","(81.0, 190.0, 158.57142857142856)","(51.0, 90.0, 81.25)","(14.0, 23.0, 16.75)","(31.0, 60.0, 40.0)","(91.0, 190.0, 164.28571428571428)"
