,Its Smudgy,Sir Benjamin,Spring Harbour,Harry,Finniss Flash,Dutch Impact
12-01-2023 18:11:41.076997,"(3.3, 7.2, 6.165)","(9.0, 18.0, 16.955555555555556)","(10.0, 19.5, 15.17142857142857)","(1.9, 2.32, 2.249433962264151)","(31.0, 260.0, 59.14285714285714)","(4.8, 17.0, 9.64)"
12-01-2023 18:11:42.128098,"(3.3, 7.2, 6.165)","(9.0, 18.0, 16.955555555555556)","(10.0, 19.5, 15.17142857142857)","(1.9, 2.32, 2.249433962264151)","(31.0, 240.0, 163.0)","(4.8, 17.0, 9.64)"
12-01-2023 18:11:43.279967,"(3.3, 7.2, 6.165)","(9.0, 18.0, 16.955555555555556)","(10.0, 19.5, 15.17142857142857)","(1.9, 2.32, 2.249433962264151)","(31.0, 230.0, 163.0)","(4.8, 17.0, 9.64)"
12-01-2023 18:11:44.466295,"(3.3, 7.0, 6.59375)","(9.0, 18.0, 16.955555555555556)","(10.0, 19.5, 15.17142857142857)","(1.9, 2.32, 2.249433962264151)","(31.0, 230.0, 163.0)","(4.8, 17.0, 13.733333333333334)"
12-01-2023 18:11:45.587407,"(3.3, 7.0, 6.4264705882352935)","(9.0, 18.0, 13.4)","(10.0, 19.5, 15.17142857142857)","(1.9, 2.32, 2.249433962264151)","(31.0, 230.0, 163.0)","(4.8, 17.0, 13.733333333333334)"
12-01-2023 18:11:46.544632,"(3.3, 7.0, 6.4264705882352935)","(9.0, 18.0, 13.4)","(10.0, 19.5, 15.17142857142857)","(1.9, 2.32, 2.249433962264151)","(31.0, 230.0, 163.0)","(4.8, 17.0, 13.733333333333334)"
12-01-2023 18:11:47.479839,"(3.3, 7.0, 6.144736842105264)","(9.0, 18.0, 13.4)","(10.0, 19.5, 15.17142857142857)","(1.9, 2.32, 2.249433962264151)","(31.0, 230.0, 163.0)","(4.8, 16.5, 12.25)"
12-01-2023 18:11:48.529193,"(3.3, 7.0, 6.144736842105264)","(9.0, 18.0, 13.4)","(10.0, 19.5, 15.17142857142857)","(1.9, 2.32, 2.249433962264151)","(31.0, 230.0, 163.0)","(4.8, 16.0, 12.0)"
12-01-2023 18:11:49.556772,"(3.3, 7.0, 6.144736842105264)","(9.0, 18.0, 13.4)","(10.0, 19.5, 15.17142857142857)","(1.9, 2.32, 2.249433962264151)","(31.0, 230.0, 163.0)","(4.8, 16.0, 12.0)"
12-01-2023 18:11:50.680890,"(3.3, 6.6, 6.41)","(9.0, 18.0, 13.4)","(10.0, 19.5, 15.17142857142857)","(1.9, 2.32, 2.249433962264151)","(31.0, 230.0, 163.0)","(4.8, 16.0, 12.0)"
12-01-2023 18:11:51.995716,"(3.3, 6.6, 6.41)","(9.0, 18.0, 13.4)","(10.0, 19.5, 15.17142857142857)","(1.9, 2.32, 2.249433962264151)","(31.0, 230.0, 163.0)","(4.8, 16.0, 12.0)"
12-01-2023 18:11:53.041762,"(3.3, 6.6, 6.41)","(9.0, 18.0, 13.4)","(10.0, 19.5, 15.17142857142857)","(1.9, 2.32, 2.249433962264151)","(31.0, 230.0, 163.0)","(4.8, 16.0, 12.0)"
12-01-2023 18:11:54.132488,"(3.3, 6.6, 6.41)","(9.0, 18.0, 13.4)","(10.0, 19.5, 15.17142857142857)","(1.9, 2.32, 2.249433962264151)","(31.0, 230.0, 163.0)","(4.8, 16.0, 12.0)"
12-01-2023 18:11:55.170463,"(3.3, 6.6, 6.41)","(9.0, 18.0, 13.4)","(10.0, 19.5, 15.17142857142857)","(1.9, 2.32, 2.249433962264151)","(31.0, 230.0, 163.0)","(4.8, 16.0, 12.0)"
12-01-2023 18:11:56.283070,"(3.3, 6.6, 6.41)","(9.0, 18.0, 13.4)","(10.0, 19.5, 15.17142857142857)","(1.9, 2.32, 2.249433962264151)","(31.0, 230.0, 59.14285714285714)","(4.8, 16.0, 8.44)"
12-01-2023 18:11:57.412415,"(3.3, 6.6, 6.41)","(9.0, 18.0, 13.4)","(10.0, 19.5, 15.17142857142857)","(1.9, 2.32, 2.249433962264151)","(31.0, 240.0, 59.14285714285714)","(4.8, 16.0, 8.8)"
12-01-2023 18:11:58.490104,"(3.3, 6.6, 6.41)","(9.0, 18.0, 13.4)","(10.0, 19.5, 15.17142857142857)","(1.9, 2.32, 2.249433962264151)","(31.0, 240.0, 163.0)","(4.8, 16.0, 9.333333333333334)"
12-01-2023 18:11:59.624745,"(3.3, 6.6, 6.41)","(9.0, 18.0, 13.4)","(10.0, 19.5, 15.17142857142857)","(1.9, 2.32, 2.249433962264151)","(31.0, 230.0, 163.0)","(4.8, 16.0, 9.333333333333334)"
12-01-2023 18:12:00.855704,"(3.3, 6.6, 6.41)","(9.0, 18.0, 13.4)","(10.0, 19.5, 15.17142857142857)","(1.9, 2.32, 2.249433962264151)","(31.0, 230.0, 163.0)","(4.8, 16.0, 9.333333333333334)"
12-01-2023 18:12:01.946078,"(3.3, 6.6, 6.41)","(9.0, 18.0, 13.4)","(10.0, 19.5, 15.17142857142857)","(1.9, 2.32, 2.249433962264151)","(31.0, 230.0, 163.0)","(4.8, 16.0, 9.333333333333334)"
12-01-2023 18:12:02.881158,"(3.3, 6.6, 6.41)","(9.0, 18.0, 13.4)","(10.0, 19.5, 15.17142857142857)","(1.9, 2.32, 2.249433962264151)","(31.0, 230.0, 163.0)","(4.8, 16.0, 8.344827586206897)"
12-01-2023 18:12:03.848834,"(3.3, 6.6, 6.41)","(9.0, 18.0, 13.4)","(10.0, 19.5, 15.17142857142857)","(1.9, 2.32, 2.249433962264151)","(31.0, 230.0, 163.0)","(4.8, 18.0, 9.9)"
12-01-2023 18:12:04.864569,"(3.3, 6.6, 6.41)","(9.0, 18.0, 13.4)","(10.0, 19.5, 15.17142857142857)","(1.9, 2.32, 2.249433962264151)","(31.0, 230.0, 163.0)","(4.8, 17.5, 9.9)"
12-01-2023 18:12:05.848112,"(3.3, 6.6, 6.41)","(9.0, 18.0, 13.4)","(10.0, 19.5, 15.17142857142857)","(1.9, 2.32, 2.249433962264151)","(31.0, 230.0, 163.0)","(4.8, 17.5, 15.200000000000001)"
12-01-2023 18:12:06.985723,"(3.3, 6.6, 6.41)","(9.0, 18.0, 13.4)","(10.0, 19.5, 15.17142857142857)","(1.9, 2.32, 2.249433962264151)","(31.0, 230.0, 163.0)","(4.8, 16.5, 15.200000000000001)"
12-01-2023 18:12:08.029824,"(3.3, 6.6, 6.41)","(9.0, 18.0, 13.4)","(10.0, 19.5, 15.17142857142857)","(1.9, 2.32, 2.249433962264151)","(31.0, 230.0, 163.0)","(4.8, 16.5, 12.25)"
12-01-2023 18:12:09.004398,"(3.3, 6.6, 6.41)","(9.0, 18.0, 13.4)","(10.0, 19.5, 15.17142857142857)","(1.9, 2.32, 2.249433962264151)","(31.0, 230.0, 163.0)","(4.8, 16.5, 12.25)"
12-01-2023 18:12:09.962890,"(3.3, 6.6, 6.41)","(9.0, 18.0, 13.4)","(10.0, 19.5, 15.17142857142857)","(1.9, 2.32, 2.249433962264151)","(31.0, 230.0, 63.72727272727273)","(4.8, 16.5, 12.25)"
12-01-2023 18:12:11.009821,"(3.3, 6.6, 6.41)","(9.0, 18.0, 13.4)","(10.0, 19.5, 15.17142857142857)","(1.9, 2.32, 2.249433962264151)","(31.0, 220.0, 74.25)","(4.8, 16.5, 12.25)"
12-01-2023 18:12:11.900289,"(3.3, 6.6, 6.41)","(9.0, 18.0, 13.4)","(10.0, 19.5, 15.17142857142857)","(1.9, 2.32, 2.249433962264151)","(31.0, 210.0, 74.25)","(4.8, 16.5, 12.25)"
12-01-2023 18:12:12.957488,"(3.3, 6.6, 6.41)","(9.0, 18.0, 13.4)","(10.0, 19.5, 15.17142857142857)","(1.9, 2.32, 2.249433962264151)","(31.0, 210.0, 74.25)","(4.8, 16.5, 12.25)"
12-01-2023 18:12:14.171161,"(3.3, 6.6, 6.41)","(9.0, 18.0, 13.4)","(10.0, 19.5, 15.17142857142857)","(1.9, 2.32, 2.249433962264151)","(31.0, 210.0, 74.25)","(4.8, 16.5, 12.25)"
12-01-2023 18:12:15.234812,"(3.3, 6.6, 6.41)","(9.0, 18.0, 13.4)","(10.0, 19.5, 15.17142857142857)","(1.9, 2.32, 2.249433962264151)","(31.0, 210.0, 74.25)","(4.8, 16.5, 8.85)"
12-01-2023 18:12:16.283865,"(3.3, 6.6, 6.41)","(9.0, 18.0, 13.4)","(10.0, 19.5, 15.17142857142857)","(1.9, 2.32, 2.249433962264151)","(31.0, 210.0, 74.25)","(4.8, 16.5, 11.576470588235296)"
12-01-2023 18:12:17.475193,"(3.3, 6.6, 6.41)","(9.0, 18.0, 13.4)","(10.0, 19.5, 15.17142857142857)","(1.9, 2.32, 2.249433962264151)","(31.0, 210.0, 74.25)","(4.8, 16.5, 11.576470588235296)"
12-01-2023 18:12:18.614724,"(3.3, 6.6, 6.41)","(9.0, 18.0, 13.4)","(10.0, 19.5, 15.17142857142857)","(1.9, 2.32, 2.249433962264151)","(31.0, 210.0, 74.25)","(4.8, 16.5, 9.583333333333332)"
12-01-2023 18:12:19.553259,"(3.3, 6.6, 6.41)","(9.0, 18.0, 13.4)","(10.0, 19.5, 15.17142857142857)","(1.9, 2.32, 2.249433962264151)","(31.0, 210.0, 74.25)","(4.8, 16.5, 9.583333333333332)"
