,Cobblestone Way,Crown Crusher,Dodi,Eight Decades,Electrocube,Expect Magic,Go To Hollywood,I Am Antaios,Manic Light,Mi Scusi,Ortega,Scarface
12-01-2023 17:55:37.544385,"(11.0, 16.0, 15.428571428571429)","(81.0, 140.0, 122.5)","(7.0, 9.6, 9.247619047619047)","(6.0, 7.0, 6.872727272727273)","(20.0, 28.0, 26.36842105263158)","(51.0, 110.0, 101.0)","(21.0, 34.0, 32.59090909090909)","(21.0, 40.0, 36.57142857142857)","(7.0, 11.0, 10.072727272727274)","(5.5, 7.0, 6.8433566433566435)","(2.7, 3.15, 3.1034883720930235)","(61.0, 140.0, 112.5)"
12-01-2023 17:55:39.348523,"(11.0, 16.0, 15.428571428571429)","(81.0, 140.0, 122.5)","(7.0, 9.4, 9.247619047619047)","(6.0, 7.0, 6.872727272727273)","(20.0, 27.0, 26.36842105263158)","(51.0, 110.0, 98.75)","(21.0, 34.0, 32.59090909090909)","(21.0, 40.0, 36.57142857142857)","(7.0, 11.0, 10.072727272727274)","(5.5, 7.0, 6.8433566433566435)","(2.7, 3.15, 3.1034883720930235)","(61.0, 140.0, 120.0)"
12-01-2023 17:55:41.103218,"(11.0, 16.0, 15.529411764705882)","(81.0, 140.0, 122.5)","(7.0, 9.4, 9.247619047619047)","(6.0, 7.0, 6.872727272727273)","(20.0, 27.0, 26.36842105263158)","(51.0, 110.0, 98.75)","(21.0, 34.0, 32.59090909090909)","(21.0, 40.0, 36.57142857142857)","(7.0, 11.0, 10.072727272727274)","(5.5, 7.0, 6.8433566433566435)","(2.7, 3.15, 3.1034883720930235)","(61.0, 140.0, 120.0)"
12-01-2023 17:55:42.777860,"(11.0, 16.0, 15.529411764705882)","(81.0, 140.0, 122.5)","(7.0, 9.4, 9.235714285714286)","(6.0, 7.0, 6.872727272727273)","(20.0, 27.0, 26.36842105263158)","(51.0, 110.0, 98.75)","(21.0, 34.0, 32.59090909090909)","(21.0, 40.0, 36.57142857142857)","(7.0, 11.0, 10.072727272727274)","(5.5, 7.0, 6.8433566433566435)","(2.7, 3.15, 3.1034883720930235)","(61.0, 140.0, 120.0)"
12-01-2023 17:55:44.397310,"(11.0, 16.0, 15.75)","(81.0, 140.0, 122.5)","(7.0, 9.4, 9.235714285714286)","(6.0, 7.0, 6.872727272727273)","(20.0, 27.0, 26.36842105263158)","(51.0, 110.0, 98.75)","(21.0, 34.0, 32.59090909090909)","(21.0, 40.0, 36.57142857142857)","(7.0, 11.0, 10.072727272727274)","(5.5, 7.0, 6.8433566433566435)","(2.7, 3.15, 3.1034883720930235)","(61.0, 140.0, 120.0)"
12-01-2023 17:55:45.925042,"(11.0, 15.5, 15.411764705882353)","(81.0, 140.0, 122.5)","(7.0, 9.4, 9.066666666666666)","(6.0, 7.0, 6.872727272727273)","(20.0, 27.0, 26.36842105263158)","(51.0, 110.0, 98.75)","(21.0, 34.0, 32.734693877551024)","(21.0, 40.0, 36.8)","(7.0, 11.0, 10.072727272727274)","(5.5, 7.0, 6.8433566433566435)","(2.7, 3.15, 3.1034883720930235)","(61.0, 140.0, 120.0)"
12-01-2023 17:55:47.419107,"(11.0, 16.0, 15.703703703703704)","(81.0, 140.0, 122.5)","(7.0, 9.2, 9.066666666666666)","(6.0, 7.0, 6.872727272727273)","(20.0, 27.0, 26.36842105263158)","(51.0, 110.0, 98.75)","(21.0, 34.0, 32.734693877551024)","(21.0, 38.0, 36.8)","(7.0, 11.0, 10.133333333333335)","(5.5, 7.0, 6.8433566433566435)","(2.7, 3.15, 3.107142857142857)","(61.0, 140.0, 120.0)"
12-01-2023 17:55:49.004016,"(11.0, 16.0, 15.703703703703704)","(81.0, 140.0, 122.5)","(7.0, 9.2, 9.0)","(6.0, 7.0, 6.872727272727273)","(20.0, 27.0, 26.36842105263158)","(51.0, 110.0, 98.75)","(21.0, 34.0, 32.734693877551024)","(21.0, 38.0, 36.8)","(7.0, 11.0, 10.072727272727274)","(5.5, 7.0, 6.8433566433566435)","(2.7, 3.15, 3.107142857142857)","(61.0, 140.0, 120.0)"
12-01-2023 17:55:50.591661,"(11.0, 17.0, 16.67391304347826)","(81.0, 140.0, 122.5)","(7.0, 9.2, 9.0)","(6.0, 7.0, 6.872727272727273)","(20.0, 27.0, 26.142857142857142)","(51.0, 110.0, 98.75)","(21.0, 34.0, 32.734693877551024)","(21.0, 38.0, 36.8)","(7.0, 11.0, 10.072727272727274)","(5.5, 7.0, 6.84551724137931)","(2.7, 3.15, 3.107142857142857)","(61.0, 140.0, 120.0)"
12-01-2023 17:55:52.125730,"(11.0, 17.0, 16.4)","(81.0, 140.0, 122.5)","(7.0, 9.2, 9.0)","(6.0, 7.0, 6.872727272727273)","(20.0, 27.0, 26.142857142857142)","(51.0, 110.0, 98.75)","(21.0, 34.0, 32.765957446808514)","(21.0, 38.0, 36.8)","(7.0, 11.0, 10.072727272727274)","(5.5, 7.0, 6.84551724137931)","(2.7, 3.15, 3.107142857142857)","(61.0, 140.0, 120.0)"
12-01-2023 17:55:53.639692,"(11.0, 17.0, 16.4)","(81.0, 140.0, 122.5)","(7.0, 9.2, 9.0)","(6.0, 7.0, 6.872727272727273)","(20.0, 27.0, 26.142857142857142)","(51.0, 110.0, 98.75)","(21.0, 34.0, 32.61904761904762)","(21.0, 38.0, 36.8)","(7.0, 11.0, 10.133333333333335)","(5.5, 7.0, 6.84551724137931)","(2.7, 3.15, 3.08030303030303)","(61.0, 140.0, 120.0)"
12-01-2023 17:55:55.256994,"(11.0, 17.0, 16.4)","(81.0, 140.0, 122.5)","(7.0, 9.2, 9.0)","(6.0, 7.0, 6.872727272727273)","(20.0, 27.0, 26.142857142857142)","(51.0, 110.0, 98.75)","(21.0, 34.0, 32.61904761904762)","(21.0, 38.0, 36.8)","(7.0, 11.0, 10.133333333333335)","(5.5, 7.0, 6.84551724137931)","(2.7, 3.15, 3.08030303030303)","(61.0, 140.0, 120.0)"
12-01-2023 17:55:56.791183,"(11.0, 17.0, 16.7)","(81.0, 140.0, 122.5)","(7.0, 9.2, 8.892307692307693)","(6.0, 7.0, 6.872727272727273)","(20.0, 27.0, 26.142857142857142)","(51.0, 110.0, 98.75)","(21.0, 34.0, 32.61904761904762)","(21.0, 38.0, 36.8)","(7.0, 11.0, 10.133333333333335)","(5.5, 7.0, 6.84551724137931)","(2.7, 3.15, 3.08030303030303)","(61.0, 140.0, 120.0)"
12-01-2023 17:55:58.321940,"(11.0, 17.0, 16.7)","(81.0, 140.0, 122.5)","(7.0, 9.2, 8.892307692307693)","(6.0, 7.0, 6.872727272727273)","(20.0, 27.0, 26.142857142857142)","(51.0, 110.0, 98.75)","(21.0, 34.0, 32.61904761904762)","(21.0, 38.0, 36.8)","(7.0, 11.0, 10.133333333333335)","(5.5, 7.0, 6.84551724137931)","(2.7, 3.15, 3.08030303030303)","(61.0, 140.0, 120.0)"
12-01-2023 17:55:59.804059,"(11.0, 17.0, 16.7)","(81.0, 140.0, 122.5)","(7.0, 9.2, 8.892307692307693)","(6.0, 7.0, 6.872727272727273)","(20.0, 27.0, 26.142857142857142)","(51.0, 110.0, 98.75)","(21.0, 34.0, 32.61904761904762)","(21.0, 38.0, 36.8)","(7.0, 11.0, 10.133333333333335)","(5.5, 7.0, 6.84551724137931)","(2.7, 3.15, 3.08030303030303)","(61.0, 140.0, 120.0)"
12-01-2023 17:56:01.356358,"(11.0, 17.0, 16.7)","(81.0, 140.0, 122.5)","(7.0, 9.2, 8.892307692307693)","(6.0, 7.0, 6.872727272727273)","(20.0, 27.0, 26.142857142857142)","(51.0, 110.0, 98.75)","(21.0, 34.0, 32.61904761904762)","(21.0, 38.0, 36.8)","(7.0, 11.0, 10.133333333333335)","(5.5, 7.0, 6.84551724137931)","(2.7, 3.15, 3.08030303030303)","(61.0, 140.0, 120.0)"
12-01-2023 17:56:02.951010,"(11.0, 17.0, 16.7)","(81.0, 140.0, 122.5)","(7.0, 9.2, 8.892307692307693)","(6.0, 7.0, 6.872727272727273)","(20.0, 27.0, 26.142857142857142)","(51.0, 110.0, 98.75)","(21.0, 34.0, 32.61904761904762)","(21.0, 38.0, 36.8)","(7.0, 11.0, 10.133333333333335)","(5.5, 7.0, 6.84551724137931)","(2.7, 3.15, 3.08030303030303)","(61.0, 140.0, 120.0)"
12-01-2023 17:56:04.486321,"(11.0, 17.0, 16.7)","(81.0, 140.0, 122.5)","(7.0, 9.2, 8.892307692307693)","(6.0, 7.0, 6.872727272727273)","(20.0, 27.0, 26.142857142857142)","(51.0, 110.0, 98.75)","(21.0, 34.0, 32.61904761904762)","(21.0, 38.0, 36.8)","(7.0, 11.0, 10.133333333333335)","(5.5, 7.0, 6.84551724137931)","(2.7, 3.15, 3.08030303030303)","(61.0, 140.0, 120.0)"
12-01-2023 17:56:06.070430,"(11.0, 17.0, 16.7)","(81.0, 140.0, 122.5)","(7.0, 9.2, 8.892307692307693)","(6.0, 7.0, 6.872727272727273)","(20.0, 27.0, 26.142857142857142)","(51.0, 110.0, 101.0)","(21.0, 34.0, 32.61904761904762)","(21.0, 38.0, 36.8)","(7.0, 11.0, 10.133333333333335)","(5.5, 7.0, 6.84551724137931)","(2.7, 3.15, 3.08030303030303)","(61.0, 140.0, 120.0)"
12-01-2023 17:56:07.640604,"(11.0, 17.0, 16.7)","(81.0, 140.0, 122.5)","(7.0, 9.2, 8.892307692307693)","(6.0, 7.0, 6.872727272727273)","(20.0, 27.0, 26.142857142857142)","(51.0, 110.0, 101.0)","(21.0, 34.0, 32.61904761904762)","(21.0, 38.0, 36.8)","(7.0, 11.0, 10.133333333333335)","(5.5, 7.0, 6.84551724137931)","(2.7, 3.15, 3.08030303030303)","(61.0, 140.0, 120.0)"
12-01-2023 17:56:09.091343,"(11.0, 17.0, 16.7)","(81.0, 140.0, 122.5)","(7.0, 9.2, 8.892307692307693)","(6.0, 7.0, 6.872727272727273)","(20.0, 27.0, 26.142857142857142)","(51.0, 110.0, 101.0)","(21.0, 34.0, 32.61904761904762)","(21.0, 38.0, 36.8)","(7.0, 11.0, 10.133333333333335)","(5.5, 7.0, 6.84551724137931)","(2.7, 3.15, 3.08030303030303)","(61.0, 140.0, 120.0)"
