,Lord Donovan,Trigger Happy,Bocage,Autarchy,Minnie Mouse,Waipapa,Love Nesst,Cocktail Lad,Pay Wave
12-01-2023 13:45:39.858555,"(7.0, 11.0, 9.799999999999999)","(4.6, 5.9, 5.7250000000000005)","(41.0, 200.0, 147.33333333333331)","(4.2, 6.4, 5.84)","(4.8, 7.2, 6.1375)","(5.0, 8.0, 7.36)","(5.0, 5.9, 5.7)","(31.0, 160.0, 118.66666666666667)","(21.0, 100.0, 84.4)"
12-01-2023 13:45:41.287875,"(7.0, 11.0, 9.799999999999999)","(4.6, 5.9, 5.7250000000000005)","(41.0, 200.0, 147.33333333333331)","(4.2, 6.4, 5.84)","(4.8, 7.2, 6.1375)","(5.0, 8.0, 7.6)","(5.0, 5.9, 5.672727272727273)","(31.0, 160.0, 118.66666666666667)","(21.0, 100.0, 84.4)"
12-01-2023 13:45:42.700129,"(7.0, 11.0, 9.799999999999999)","(4.6, 5.9, 5.7250000000000005)","(41.0, 200.0, 147.33333333333331)","(4.2, 6.4, 5.84)","(4.8, 7.2, 6.1375)","(5.0, 7.8, 7.6)","(5.0, 5.8, 5.672727272727273)","(31.0, 160.0, 118.66666666666667)","(21.0, 100.0, 84.4)"
12-01-2023 13:45:43.985920,"(7.0, 11.0, 9.799999999999999)","(4.6, 5.9, 5.7250000000000005)","(41.0, 200.0, 147.33333333333331)","(4.2, 6.4, 5.84)","(4.8, 7.2, 6.1375)","(5.0, 7.8, 7.6)","(5.0, 5.8, 5.672727272727273)","(31.0, 160.0, 118.66666666666667)","(21.0, 100.0, 84.4)"
12-01-2023 13:45:45.211672,"(7.0, 11.0, 9.799999999999999)","(4.6, 5.9, 5.7250000000000005)","(41.0, 200.0, 147.33333333333331)","(4.2, 6.4, 5.84)","(4.8, 7.2, 6.1375)","(5.0, 7.8, 7.6)","(5.0, 5.8, 5.672727272727273)","(31.0, 160.0, 118.66666666666667)","(21.0, 100.0, 84.4)"
12-01-2023 13:45:46.445617,"(7.0, 11.0, 9.799999999999999)","(4.6, 5.9, 5.7250000000000005)","(41.0, 200.0, 147.33333333333331)","(4.2, 6.4, 5.84)","(4.8, 7.2, 6.1375)","(5.0, 7.8, 7.6)","(5.0, 5.8, 5.672727272727273)","(31.0, 160.0, 118.66666666666667)","(21.0, 100.0, 84.4)"
12-01-2023 13:45:47.711489,"(7.0, 11.0, 9.799999999999999)","(4.6, 5.9, 5.7250000000000005)","(41.0, 200.0, 147.33333333333331)","(4.2, 6.4, 5.84)","(4.8, 7.2, 6.1375)","(5.0, 7.8, 7.6)","(5.0, 5.8, 5.672727272727273)","(31.0, 160.0, 118.66666666666667)","(21.0, 100.0, 84.4)"
12-01-2023 13:45:49.066052,"(7.0, 11.0, 9.799999999999999)","(4.6, 5.9, 5.7250000000000005)","(41.0, 200.0, 147.33333333333331)","(4.2, 6.4, 5.84)","(4.8, 7.2, 6.1375)","(5.0, 7.8, 7.36)","(5.0, 5.8, 5.7)","(31.0, 160.0, 118.66666666666667)","(21.0, 100.0, 84.4)"
12-01-2023 13:45:50.314956,"(7.0, 11.0, 9.799999999999999)","(4.6, 5.9, 5.7250000000000005)","(41.0, 200.0, 147.33333333333331)","(4.2, 6.4, 5.84)","(4.8, 7.2, 6.25)","(5.0, 8.0, 7.36)","(5.0, 5.9, 5.7)","(31.0, 160.0, 118.66666666666667)","(21.0, 100.0, 84.4)"
12-01-2023 13:45:51.633784,"(7.0, 11.0, 9.799999999999999)","(4.6, 5.9, 5.7250000000000005)","(41.0, 200.0, 147.33333333333331)","(4.2, 6.4, 5.84)","(4.8, 7.0, 6.25)","(5.0, 8.0, 7.36)","(5.0, 5.9, 5.7)","(31.0, 160.0, 118.66666666666667)","(21.0, 100.0, 84.4)"
