,Sutter Man,Childers Road,Bettor Beontoit Nz,Celestial Daybreak,Damysus,Bayonet Soldier,Ammicchi,Whoee Johnson,Our Major Jack Nz,Barney Fella
12-01-2023 16:36:59.528135,"(8.0, 12.0, 10.538461538461538)","(5.5, 7.6, 7.225)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 19.0, 20.625)","(91.0, 160.0, 130.0)","(7.5, 8.4, 8.133333333333333)","(13.0, 28.0, 23.666666666666668)","(2.4, 99999, 99990)","(11.0, 17.0, 15.909090909090908)"
12-01-2023 16:37:01.089115,"(8.0, 11.0, 10.538461538461538)","(5.5, 7.6, 7.225)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 21.0, 19.166666666666668)","(91.0, 160.0, 130.0)","(7.5, 8.4, 8.133333333333333)","(13.0, 29.0, 23.666666666666668)","(2.4, 99999, 99990)","(11.0, 17.0, 15.909090909090908)"
12-01-2023 16:37:02.565497,"(8.0, 11.0, 10.75)","(5.5, 7.6, 7.090322580645162)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 19.5, 19.166666666666668)","(91.0, 160.0, 170.0)","(7.5, 8.4, 8.133333333333333)","(13.0, 29.0, 22.6)","(2.4, 99999, 99990)","(11.0, 17.0, 16.076923076923077)"
12-01-2023 16:37:03.868964,"(8.0, 11.0, 10.75)","(5.5, 7.4, 7.090322580645162)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 19.5, 19.166666666666668)","(91.0, 190.0, 158.0)","(7.5, 8.4, 8.133333333333333)","(13.0, 29.0, 22.6)","(2.4, 99999, 99990)","(11.0, 17.0, 16.076923076923077)"
12-01-2023 16:37:05.302309,"(8.0, 11.0, 10.75)","(5.5, 7.2, 6.872727272727273)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 19.5, 20.625)","(91.0, 190.0, 162.5)","(7.5, 8.4, 8.258823529411766)","(13.0, 29.0, 22.6)","(2.4, 99999, 99990)","(11.0, 17.0, 16.076923076923077)"
12-01-2023 16:37:06.559777,"(8.0, 11.0, 10.9375)","(5.5, 7.0, 6.947368421052632)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 21.0, 19.555555555555557)","(91.0, 180.0, 162.5)","(7.5, 8.4, 8.24)","(13.0, 29.0, 22.6)","(2.4, 99999, 99990)","(11.0, 17.0, 16.076923076923077)"
12-01-2023 16:37:07.881309,"(8.0, 11.0, 10.75)","(5.5, 7.0, 6.907692307692308)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 20.0, 19.25)","(91.0, 180.0, 162.5)","(7.5, 8.4, 8.24)","(13.0, 29.0, 22.6)","(2.4, 99999, 99990)","(11.0, 17.0, 16.076923076923077)"
12-01-2023 16:37:09.203667,"(8.0, 11.0, 10.75)","(5.5, 7.0, 6.808)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 20.0, 19.25)","(91.0, 180.0, 133.33333333333334)","(7.5, 8.4, 8.24)","(13.0, 29.0, 22.6)","(2.4, 99999, 99990)","(11.0, 17.0, 16.076923076923077)"
12-01-2023 16:37:10.626614,"(8.0, 11.0, 10.75)","(5.5, 7.0, 6.808)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 20.0, 20.166666666666668)","(91.0, 180.0, 155.0)","(7.5, 8.4, 8.24)","(13.0, 29.0, 22.6)","(2.4, 99999, 99990)","(11.0, 17.0, 15.333333333333334)"
12-01-2023 16:37:11.863461,"(8.0, 11.0, 10.75)","(5.5, 7.0, 6.808)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 21.0, 20.166666666666668)","(91.0, 170.0, 155.0)","(7.5, 8.4, 8.24)","(13.0, 29.0, 22.6)","(2.4, 99999, 99990)","(11.0, 17.0, 15.333333333333334)"
12-01-2023 16:37:13.093271,"(8.0, 11.0, 10.75)","(5.5, 7.0, 6.808)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 21.0, 19.5)","(91.0, 170.0, 140.0)","(7.5, 8.4, 8.24)","(13.0, 29.0, 22.6)","(2.4, 99999, 99990)","(11.0, 17.0, 15.75)"
12-01-2023 16:37:14.338258,"(8.0, 11.0, 10.9375)","(5.5, 7.0, 6.888888888888888)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 20.0, 19.32758620689655)","(91.0, 190.0, 145.0)","(7.5, 8.4, 8.24)","(13.0, 29.0, 22.6)","(2.4, 99999, 99990)","(11.0, 17.0, 15.75)"
12-01-2023 16:37:15.561471,"(8.0, 11.0, 10.9375)","(5.5, 7.0, 6.904761904761905)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 19.5, 19.32758620689655)","(91.0, 180.0, 145.0)","(7.5, 8.4, 8.24)","(13.0, 29.0, 22.6)","(2.4, 99999, 99990)","(11.0, 17.0, 15.75)"
12-01-2023 16:37:16.763398,"(8.0, 11.0, 10.9375)","(5.5, 7.0, 6.904761904761905)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 19.0, 19.25)","(91.0, 180.0, 145.0)","(7.5, 8.4, 8.24)","(13.0, 29.0, 21.636363636363637)","(2.4, 99999, 99990)","(11.0, 17.0, 15.75)"
12-01-2023 16:37:18.376272,"(8.0, 11.0, 10.9375)","(5.5, 7.0, 6.904761904761905)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 19.5, 19.25)","(91.0, 180.0, 162.5)","(7.5, 8.4, 8.24)","(13.0, 28.0, 21.636363636363637)","(2.4, 99999, 99990)","(11.0, 17.0, 15.75)"
12-01-2023 16:37:19.739508,"(8.0, 11.0, 10.9375)","(5.5, 7.0, 6.904761904761905)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 19.5, 18.636363636363637)","(91.0, 180.0, 162.5)","(7.5, 8.4, 8.24)","(13.0, 28.0, 21.7)","(2.4, 99999, 99990)","(11.0, 17.0, 15.444444444444445)"
12-01-2023 16:37:21.052299,"(8.0, 11.0, 10.9375)","(5.5, 7.0, 6.904761904761905)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 19.0, 18.77777777777778)","(91.0, 180.0, 162.5)","(7.5, 8.4, 8.24)","(13.0, 28.0, 23.333333333333332)","(2.4, 99999, 99990)","(11.0, 17.0, 16.454545454545453)"
12-01-2023 16:37:22.537352,"(8.0, 11.0, 10.9375)","(5.5, 7.0, 6.904761904761905)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 19.0, 18.77777777777778)","(91.0, 180.0, 166.0)","(7.5, 8.4, 8.24)","(13.0, 28.0, 21.666666666666668)","(2.4, 99999, 99990)","(11.0, 17.0, 16.764705882352942)"
12-01-2023 16:37:23.777130,"(8.0, 11.0, 10.9375)","(5.5, 7.0, 6.904761904761905)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 19.0, 18.77777777777778)","(91.0, 180.0, 166.0)","(7.5, 8.4, 8.24)","(13.0, 29.0, 21.666666666666668)","(2.4, 99999, 99990)","(11.0, 17.5, 17.142857142857142)"
12-01-2023 16:37:25.051332,"(8.0, 11.0, 10.9375)","(5.5, 7.0, 6.904761904761905)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 19.0, 19.25)","(91.0, 180.0, 138.0)","(7.5, 8.4, 8.24)","(13.0, 29.0, 21.666666666666668)","(2.4, 99999, 99990)","(11.0, 17.5, 16.5)"
12-01-2023 16:37:26.273348,"(8.0, 11.5, 11.1)","(5.5, 7.0, 6.904761904761905)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 20.0, 18.833333333333332)","(91.0, 180.0, 150.0)","(7.5, 8.4, 8.24)","(13.0, 29.0, 21.666666666666668)","(2.4, 99999, 99990)","(11.0, 17.5, 16.928571428571427)"
12-01-2023 16:37:27.585109,"(8.0, 11.5, 11.1)","(5.5, 7.0, 6.904761904761905)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 20.0, 18.833333333333332)","(91.0, 170.0, 150.0)","(7.5, 8.4, 8.24)","(13.0, 29.0, 23.333333333333332)","(2.4, 99999, 99990)","(11.0, 17.5, 16.928571428571427)"
12-01-2023 16:37:28.884177,"(8.0, 11.5, 11.083333333333334)","(5.5, 7.0, 6.904761904761905)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 20.0, 18.928571428571427)","(91.0, 170.0, 174.0)","(7.5, 8.4, 8.24)","(13.0, 28.0, 22.333333333333332)","(2.4, 99999, 99990)","(11.0, 17.5, 16.7)"
12-01-2023 16:37:30.255760,"(8.0, 11.5, 11.083333333333334)","(5.5, 7.0, 6.904761904761905)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 20.0, 18.928571428571427)","(91.0, 190.0, 174.0)","(7.5, 8.4, 8.24)","(13.0, 29.0, 22.333333333333332)","(2.4, 99999, 99990)","(11.0, 17.5, 16.7)"
12-01-2023 16:37:31.581628,"(8.0, 11.5, 11.041666666666666)","(5.5, 7.0, 6.828571428571428)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 20.0, 19.166666666666668)","(91.0, 190.0, 174.0)","(7.5, 8.4, 8.1)","(13.0, 29.0, 22.333333333333332)","(2.4, 99999, 99990)","(11.0, 17.5, 16.1)"
12-01-2023 16:37:32.810711,"(8.0, 11.5, 11.041666666666666)","(5.5, 7.0, 6.828571428571428)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 19.5, 19.166666666666668)","(91.0, 190.0, 174.0)","(7.5, 8.4, 8.1)","(13.0, 29.0, 22.333333333333332)","(2.4, 99999, 99990)","(11.0, 17.5, 16.25)"
12-01-2023 16:37:34.035842,"(8.0, 11.5, 11.041666666666666)","(5.5, 7.0, 6.828571428571428)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 19.5, 19.166666666666668)","(91.0, 190.0, 174.0)","(7.5, 8.4, 8.1)","(13.0, 29.0, 22.333333333333332)","(2.4, 99999, 99990)","(11.0, 17.5, 16.166666666666668)"
12-01-2023 16:37:35.373230,"(8.0, 11.5, 11.041666666666666)","(5.5, 7.0, 6.828571428571428)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 19.5, 19.0)","(91.0, 190.0, 174.0)","(7.5, 8.4, 8.1)","(13.0, 29.0, 23.333333333333332)","(2.4, 99999, 99990)","(11.0, 17.5, 16.333333333333332)"
12-01-2023 16:37:36.655878,"(8.0, 11.5, 11.041666666666666)","(5.5, 7.0, 6.828571428571428)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 20.0, 19.166666666666668)","(91.0, 190.0, 174.0)","(7.5, 8.4, 8.1)","(13.0, 28.0, 23.333333333333332)","(2.4, 99999, 99990)","(11.0, 17.5, 16.333333333333332)"
12-01-2023 16:37:37.983401,"(8.0, 11.5, 11.041666666666666)","(5.5, 7.0, 6.828571428571428)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 19.5, 19.166666666666668)","(91.0, 190.0, 174.0)","(7.5, 8.4, 8.1)","(13.0, 28.0, 23.333333333333332)","(2.4, 99999, 99990)","(11.0, 17.5, 16.333333333333332)"
12-01-2023 16:37:39.488510,"(8.0, 11.5, 11.035714285714286)","(5.5, 7.0, 6.828571428571428)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 19.5, 19.166666666666668)","(91.0, 190.0, 174.0)","(7.5, 8.4, 8.042105263157895)","(13.0, 28.0, 23.333333333333332)","(2.4, 99999, 99990)","(11.0, 17.5, 16.333333333333332)"
12-01-2023 16:37:40.881706,"(8.0, 11.5, 11.035714285714286)","(5.5, 7.0, 6.828571428571428)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 19.5, 19.0)","(91.0, 190.0, 163.33333333333334)","(7.5, 8.8, 8.042105263157895)","(13.0, 28.0, 23.0)","(2.4, 99999, 99990)","(11.0, 17.5, 16.333333333333332)"
12-01-2023 16:37:42.248865,"(8.0, 12.5, 11.166666666666666)","(5.5, 7.0, 6.828571428571428)","(8.0, 99999, 99990)","(41.0, 70.0, 59.73684210526316)","(15.0, 19.5, 19.166666666666668)","(91.0, 190.0, 150.0)","(7.5, 8.8, 8.075)","(13.0, 27.0, 25.0)","(2.4, 99999, 99990)","(11.0, 17.5, 16.704545454545453)"
