,Our Little Skipper,Spice Boy,Dipped In Silver,Cold Star Scooter,Boom Boom Boy,Mistique,Surfer Joe
12-01-2023 12:31:43.009200,"(31.0, 65.0, 54.0)","(61.0, 210.0, 164.28571428571428)","(3.3, 5.0, 4.588888888888889)","(4.8, 7.8, 6.942857142857143)","(31.0, 65.0, 54.0)","(1.8, 2.62, 2.5242857142857145)","(6.0, 11.0, 10.066666666666666)"
12-01-2023 12:31:44.161170,"(31.0, 65.0, 54.0)","(61.0, 210.0, 164.28571428571428)","(3.3, 5.0, 4.588888888888889)","(4.8, 7.8, 6.942857142857143)","(31.0, 65.0, 54.0)","(1.8, 2.62, 2.5242857142857145)","(6.0, 11.0, 10.066666666666666)"
12-01-2023 12:31:45.433303,"(31.0, 65.0, 54.0)","(61.0, 210.0, 164.28571428571428)","(3.3, 5.0, 4.588888888888889)","(4.8, 7.8, 6.942857142857143)","(31.0, 65.0, 54.0)","(1.8, 2.62, 2.5242857142857145)","(6.0, 11.0, 10.066666666666666)"
12-01-2023 12:31:46.696692,"(31.0, 65.0, 54.0)","(61.0, 210.0, 164.28571428571428)","(3.3, 5.0, 4.588888888888889)","(4.8, 7.8, 6.942857142857143)","(31.0, 65.0, 54.0)","(1.8, 2.62, 2.5242857142857145)","(6.0, 11.0, 10.066666666666666)"
12-01-2023 12:31:47.866827,"(31.0, 65.0, 54.0)","(61.0, 210.0, 164.28571428571428)","(3.3, 5.0, 4.588888888888889)","(4.8, 7.8, 6.942857142857143)","(31.0, 65.0, 54.0)","(1.8, 2.62, 2.5242857142857145)","(6.0, 11.0, 10.066666666666666)"
12-01-2023 12:31:49.055482,"(31.0, 65.0, 54.0)","(61.0, 210.0, 164.28571428571428)","(3.3, 5.0, 4.588888888888889)","(4.8, 7.8, 6.942857142857143)","(31.0, 65.0, 54.0)","(1.8, 2.62, 2.5242857142857145)","(6.0, 11.0, 10.066666666666666)"
12-01-2023 12:31:50.273254,"(31.0, 65.0, 54.0)","(61.0, 210.0, 164.28571428571428)","(3.3, 5.0, 4.588888888888889)","(4.8, 7.8, 6.942857142857143)","(31.0, 65.0, 54.0)","(1.8, 2.62, 2.5242857142857145)","(6.0, 11.0, 10.066666666666666)"
12-01-2023 12:31:51.439386,"(31.0, 65.0, 54.0)","(61.0, 210.0, 164.28571428571428)","(3.3, 5.0, 4.588888888888889)","(4.8, 7.8, 6.942857142857143)","(31.0, 65.0, 54.0)","(1.8, 2.62, 2.5242857142857145)","(6.0, 11.0, 10.066666666666666)"
12-01-2023 12:31:52.598809,"(31.0, 65.0, 54.0)","(61.0, 210.0, 164.28571428571428)","(3.3, 5.0, 4.588888888888889)","(4.8, 7.8, 6.942857142857143)","(31.0, 65.0, 54.0)","(1.8, 2.62, 2.5242857142857145)","(6.0, 11.0, 10.066666666666666)"
12-01-2023 12:31:53.789193,"(31.0, 65.0, 54.0)","(61.0, 210.0, 164.28571428571428)","(3.3, 5.0, 4.588888888888889)","(4.8, 7.8, 6.942857142857143)","(31.0, 65.0, 54.0)","(1.8, 2.62, 2.5242857142857145)","(6.0, 11.0, 10.066666666666666)"
12-01-2023 12:31:54.965855,"(31.0, 65.0, 54.0)","(61.0, 210.0, 164.28571428571428)","(3.3, 5.0, 4.588888888888889)","(4.8, 7.8, 6.942857142857143)","(31.0, 65.0, 54.0)","(1.8, 2.62, 2.5242857142857145)","(6.0, 11.0, 10.066666666666666)"
12-01-2023 12:31:56.084476,"(31.0, 65.0, 54.0)","(61.0, 210.0, 164.28571428571428)","(3.3, 5.0, 4.588888888888889)","(4.8, 7.8, 6.942857142857143)","(31.0, 65.0, 54.0)","(1.8, 2.62, 2.5242857142857145)","(6.0, 11.0, 10.066666666666666)"
12-01-2023 12:31:57.271535,"(31.0, 65.0, 54.0)","(61.0, 210.0, 164.28571428571428)","(3.3, 5.0, 4.588888888888889)","(4.8, 7.8, 6.942857142857143)","(31.0, 65.0, 54.0)","(1.8, 2.62, 2.5242857142857145)","(6.0, 11.0, 10.066666666666666)"
12-01-2023 12:31:58.496534,"(31.0, 65.0, 54.0)","(61.0, 210.0, 164.28571428571428)","(3.3, 5.0, 4.588888888888889)","(4.8, 7.8, 6.942857142857143)","(31.0, 65.0, 54.0)","(1.8, 2.62, 2.5242857142857145)","(6.0, 11.0, 10.066666666666666)"
12-01-2023 12:31:59.671972,"(31.0, 65.0, 54.0)","(61.0, 210.0, 164.28571428571428)","(3.3, 5.0, 4.588888888888889)","(4.8, 7.8, 6.942857142857143)","(31.0, 65.0, 54.0)","(1.8, 2.62, 2.5242857142857145)","(6.0, 11.0, 10.066666666666666)"
12-01-2023 12:32:00.831715,"(31.0, 65.0, 54.0)","(61.0, 210.0, 164.28571428571428)","(3.3, 5.0, 4.588888888888889)","(4.8, 7.8, 6.942857142857143)","(31.0, 65.0, 54.0)","(1.8, 2.62, 2.5242857142857145)","(6.0, 11.0, 10.066666666666666)"
12-01-2023 12:32:01.990284,"(31.0, 65.0, 54.0)","(61.0, 210.0, 164.28571428571428)","(3.3, 5.0, 4.588888888888889)","(4.8, 7.8, 6.942857142857143)","(31.0, 65.0, 54.0)","(1.8, 2.62, 2.5242857142857145)","(6.0, 11.0, 10.066666666666666)"
12-01-2023 12:32:03.153029,"(31.0, 65.0, 54.0)","(61.0, 210.0, 164.28571428571428)","(3.3, 5.0, 4.588888888888889)","(4.8, 7.8, 6.942857142857143)","(31.0, 65.0, 54.0)","(1.8, 2.62, 2.5242857142857145)","(6.0, 11.0, 10.066666666666666)"
12-01-2023 12:32:04.378871,"(31.0, 65.0, 54.0)","(61.0, 210.0, 164.28571428571428)","(3.3, 5.0, 4.588888888888889)","(4.8, 7.8, 6.942857142857143)","(31.0, 65.0, 54.0)","(1.8, 2.62, 2.5242857142857145)","(6.0, 11.0, 10.066666666666666)"
12-01-2023 12:32:05.545298,"(31.0, 65.0, 54.0)","(61.0, 210.0, 164.28571428571428)","(3.3, 5.0, 4.588888888888889)","(4.8, 7.8, 6.942857142857143)","(31.0, 65.0, 54.0)","(1.8, 2.62, 2.5242857142857145)","(6.0, 11.0, 10.066666666666666)"
12-01-2023 12:32:06.842015,"(31.0, 65.0, 54.0)","(61.0, 210.0, 164.28571428571428)","(3.3, 5.0, 4.588888888888889)","(4.8, 7.8, 6.942857142857143)","(31.0, 65.0, 54.0)","(1.8, 2.62, 2.5242857142857145)","(6.0, 11.0, 10.066666666666666)"
12-01-2023 12:32:07.983661,"(31.0, 65.0, 54.0)","(61.0, 210.0, 164.28571428571428)","(3.3, 5.0, 4.588888888888889)","(4.8, 7.8, 6.942857142857143)","(31.0, 65.0, 54.0)","(1.8, 2.62, 2.5242857142857145)","(6.0, 11.0, 10.066666666666666)"
12-01-2023 12:32:09.052392,"(31.0, 65.0, 54.0)","(61.0, 210.0, 164.28571428571428)","(3.3, 5.0, 4.588888888888889)","(4.8, 7.8, 6.942857142857143)","(31.0, 65.0, 54.0)","(1.8, 2.62, 2.5242857142857145)","(6.0, 11.0, 10.066666666666666)"
12-01-2023 12:32:10.233660,"(31.0, 65.0, 54.0)","(61.0, 210.0, 164.28571428571428)","(3.3, 5.0, 4.588888888888889)","(4.8, 7.8, 6.942857142857143)","(31.0, 65.0, 54.0)","(1.8, 2.62, 2.5242857142857145)","(6.0, 11.0, 10.066666666666666)"
12-01-2023 12:32:11.459290,"(31.0, 65.0, 54.0)","(61.0, 210.0, 164.28571428571428)","(3.3, 5.0, 4.588888888888889)","(4.8, 7.8, 6.942857142857143)","(31.0, 65.0, 54.0)","(1.8, 2.62, 2.5242857142857145)","(6.0, 11.0, 10.066666666666666)"
12-01-2023 12:32:12.653831,"(31.0, 65.0, 54.0)","(61.0, 210.0, 164.28571428571428)","(3.3, 5.0, 4.588888888888889)","(4.8, 7.8, 6.942857142857143)","(31.0, 65.0, 54.0)","(1.8, 2.62, 2.5242857142857145)","(6.0, 11.0, 10.066666666666666)"
12-01-2023 12:32:13.806624,"(31.0, 65.0, 54.0)","(61.0, 210.0, 164.28571428571428)","(3.3, 5.0, 4.588888888888889)","(4.8, 7.8, 6.942857142857143)","(31.0, 65.0, 54.0)","(1.8, 2.62, 2.5242857142857145)","(6.0, 11.0, 10.066666666666666)"
12-01-2023 12:32:14.995140,"(31.0, 65.0, 54.0)","(61.0, 210.0, 164.28571428571428)","(3.3, 5.0, 4.588888888888889)","(4.8, 7.8, 6.942857142857143)","(31.0, 65.0, 54.0)","(1.8, 2.62, 2.5242857142857145)","(6.0, 11.0, 10.066666666666666)"
12-01-2023 12:32:16.178186,"(31.0, 65.0, 54.0)","(61.0, 210.0, 164.28571428571428)","(3.3, 5.0, 4.588888888888889)","(4.8, 7.8, 6.942857142857143)","(31.0, 65.0, 54.0)","(1.8, 2.62, 2.5242857142857145)","(6.0, 11.0, 10.066666666666666)"
12-01-2023 12:32:17.237656,"(31.0, 65.0, 54.0)","(61.0, 210.0, 164.28571428571428)","(3.3, 5.0, 4.588888888888889)","(4.8, 7.8, 6.942857142857143)","(31.0, 65.0, 54.0)","(1.8, 2.62, 2.5242857142857145)","(6.0, 11.0, 10.066666666666666)"
12-01-2023 12:32:18.359795,"(31.0, 65.0, 54.0)","(61.0, 210.0, 164.28571428571428)","(3.3, 5.0, 4.588888888888889)","(4.8, 7.8, 6.942857142857143)","(31.0, 65.0, 54.0)","(1.8, 2.62, 2.5242857142857145)","(6.0, 11.0, 10.066666666666666)"
12-01-2023 12:32:19.491995,"(31.0, 65.0, 54.0)","(61.0, 210.0, 164.28571428571428)","(3.3, 5.0, 4.588888888888889)","(4.8, 7.8, 6.942857142857143)","(31.0, 65.0, 54.0)","(1.8, 2.62, 2.5242857142857145)","(6.0, 11.0, 10.066666666666666)"
12-01-2023 12:32:20.617055,"(31.0, 65.0, 54.0)","(61.0, 210.0, 164.28571428571428)","(3.3, 5.0, 4.588888888888889)","(4.8, 7.8, 6.942857142857143)","(31.0, 65.0, 54.0)","(1.8, 2.62, 2.5242857142857145)","(6.0, 11.0, 10.066666666666666)"
12-01-2023 12:32:21.823336,"(31.0, 65.0, 54.0)","(61.0, 210.0, 164.28571428571428)","(3.3, 5.0, 4.588888888888889)","(4.8, 7.8, 6.942857142857143)","(31.0, 65.0, 54.0)","(1.8, 2.62, 2.5242857142857145)","(6.0, 11.0, 10.066666666666666)"
12-01-2023 12:32:22.958351,"(31.0, 65.0, 54.0)","(61.0, 210.0, 164.28571428571428)","(3.3, 5.0, 4.588888888888889)","(4.8, 7.8, 6.942857142857143)","(31.0, 65.0, 54.0)","(1.8, 2.62, 2.5242857142857145)","(6.0, 11.0, 10.066666666666666)"
12-01-2023 12:32:24.162117,"(31.0, 65.0, 54.0)","(61.0, 210.0, 164.28571428571428)","(3.3, 5.0, 4.588888888888889)","(4.8, 7.8, 6.942857142857143)","(31.0, 65.0, 54.0)","(1.8, 2.62, 2.5242857142857145)","(6.0, 11.0, 10.066666666666666)"
12-01-2023 12:32:25.515368,"(31.0, 65.0, 54.0)","(61.0, 210.0, 164.28571428571428)","(3.3, 5.0, 4.588888888888889)","(4.8, 7.8, 6.942857142857143)","(31.0, 65.0, 54.0)","(1.8, 2.62, 2.5242857142857145)","(6.0, 11.0, 10.066666666666666)"
12-01-2023 12:32:26.827040,"(31.0, 65.0, 54.0)","(61.0, 210.0, 164.28571428571428)","(3.3, 5.0, 4.588888888888889)","(4.8, 7.8, 6.942857142857143)","(31.0, 65.0, 54.0)","(1.8, 2.62, 2.5242857142857145)","(6.0, 11.0, 10.066666666666666)"
