,Evanlee,Mechanics Kismet,Lamont Bale,Our Watto,Forcefully,Sonic Sammy
12-01-2023 15:21:03.860656,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:21:04.899810,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:21:06.020559,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:21:07.005354,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:21:08.011365,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:21:09.066645,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:21:09.970589,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:21:10.920788,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:21:11.958933,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:21:12.923461,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
