,Real Cute,Good Grab,Tecoma Street,Yakutsk,Spirit Of Luck,Baba Vanga,Hedonie,Heros Trinket,Lively Lass,Say Goodbye,Angels Voice
12-01-2023 14:20:25.752489,"(15.0, 23.0, 21.0)","(4.6, 6.2, 6.127272727272727)","(21.0, 38.0, 33.0)","(4.0, 4.7, 4.640000000000001)","(51.0, 140.0, 102.5)","(101.0, 180.0, 140.0)","(2.9, 3.4, 3.307142857142857)","(4.4, 6.8, 6.4483516483516485)","(26.0, 60.0, 56.470588235294116)","(51.0, 130.0, 86.66666666666667)","(20.0, 26.0, 25.4)"
12-01-2023 14:20:27.547370,"(15.0, 23.0, 21.0)","(4.6, 6.2, 6.127272727272727)","(21.0, 38.0, 30.5)","(4.0, 4.7, 4.640000000000001)","(51.0, 140.0, 102.5)","(101.0, 180.0, 140.0)","(2.9, 3.4, 3.307142857142857)","(4.4, 6.8, 6.4483516483516485)","(26.0, 60.0, 54.23076923076923)","(51.0, 130.0, 86.66666666666667)","(20.0, 26.0, 25.4)"
12-01-2023 14:20:29.315594,"(15.0, 23.0, 21.0)","(4.6, 6.2, 6.127272727272727)","(21.0, 38.0, 30.5)","(4.0, 4.7, 4.640000000000001)","(51.0, 140.0, 102.5)","(101.0, 180.0, 140.0)","(2.9, 3.4, 3.307142857142857)","(4.4, 6.8, 6.4483516483516485)","(26.0, 55.0, 54.23076923076923)","(51.0, 130.0, 86.66666666666667)","(20.0, 26.0, 25.4)"
12-01-2023 14:20:31.035791,"(15.0, 23.0, 21.0)","(4.6, 6.2, 6.127272727272727)","(21.0, 38.0, 30.5)","(4.0, 4.7, 4.640000000000001)","(51.0, 140.0, 102.5)","(101.0, 180.0, 140.0)","(2.9, 3.4, 3.307142857142857)","(4.4, 6.8, 6.4483516483516485)","(26.0, 55.0, 63.75)","(51.0, 130.0, 86.66666666666667)","(20.0, 26.0, 25.4)"
12-01-2023 14:20:32.823216,"(15.0, 23.0, 21.0)","(4.6, 6.2, 6.127272727272727)","(21.0, 38.0, 30.5)","(4.0, 4.7, 4.640000000000001)","(51.0, 140.0, 102.5)","(101.0, 180.0, 140.0)","(2.9, 3.4, 3.307142857142857)","(4.4, 6.8, 6.4483516483516485)","(26.0, 65.0, 63.75)","(51.0, 130.0, 86.66666666666667)","(20.0, 26.0, 25.4)"
12-01-2023 14:20:34.634303,"(15.0, 23.0, 21.0)","(4.6, 6.2, 6.127272727272727)","(21.0, 38.0, 30.5)","(4.0, 4.7, 4.606896551724138)","(51.0, 140.0, 102.5)","(101.0, 180.0, 140.0)","(2.9, 3.4, 3.307142857142857)","(4.4, 6.8, 6.4483516483516485)","(26.0, 65.0, 58.46153846153846)","(51.0, 130.0, 86.66666666666667)","(20.0, 26.0, 25.4)"
12-01-2023 14:20:36.415712,"(15.0, 23.0, 20.692307692307693)","(4.6, 6.2, 6.2250000000000005)","(21.0, 38.0, 32.285714285714285)","(4.0, 4.7, 4.606896551724138)","(51.0, 140.0, 102.5)","(101.0, 180.0, 140.0)","(2.9, 3.4, 3.2838028169014084)","(4.4, 6.8, 6.644897959183673)","(26.0, 60.0, 54.23076923076923)","(51.0, 130.0, 86.66666666666667)","(20.0, 26.0, 25.4)"
12-01-2023 14:20:38.194642,"(15.0, 23.0, 20.692307692307693)","(4.6, 6.4, 6.278260869565218)","(21.0, 38.0, 32.285714285714285)","(4.0, 4.7, 4.606896551724138)","(51.0, 140.0, 102.5)","(101.0, 180.0, 140.0)","(2.9, 3.35, 3.276760563380282)","(4.4, 6.8, 6.646808510638298)","(26.0, 55.0, 54.23076923076923)","(51.0, 130.0, 86.66666666666667)","(20.0, 26.0, 25.4)"
12-01-2023 14:20:40.034210,"(15.0, 23.0, 20.692307692307693)","(4.6, 6.4, 6.278260869565218)","(21.0, 38.0, 32.285714285714285)","(4.0, 4.7, 4.606896551724138)","(51.0, 140.0, 102.5)","(101.0, 180.0, 140.0)","(2.9, 3.35, 3.276760563380282)","(4.4, 6.8, 6.646808510638298)","(26.0, 55.0, 54.23076923076923)","(51.0, 130.0, 86.66666666666667)","(20.0, 26.0, 25.4)"
12-01-2023 14:20:41.737953,"(15.0, 23.0, 20.692307692307693)","(4.6, 6.4, 6.278260869565218)","(21.0, 38.0, 32.285714285714285)","(4.0, 4.7, 4.606896551724138)","(51.0, 140.0, 102.5)","(101.0, 180.0, 140.0)","(2.9, 3.35, 3.276760563380282)","(4.4, 6.8, 6.646808510638298)","(26.0, 55.0, 54.23076923076923)","(51.0, 130.0, 86.66666666666667)","(20.0, 26.0, 25.4)"
