,Jax Bale,Impress Us,Jackey Moon,Southbound,Express Black,Fifty Eight,Razzle Darryl
12-01-2023 18:47:34.478693,"(3.0, 4.2, 4.09)","(2.15, 2.86, 2.392)","(91.0, 650.0, 568.5714285714286)","(9.0, 18.0, 11.866666666666667)","(18.0, 70.0, 42.0)","(12.0, 36.0, 18.0)","(4.0, 6.2, 4.3999999999999995)"
12-01-2023 18:47:35.491810,"(3.0, 4.2, 4.09)","(2.15, 2.86, 2.392)","(91.0, 650.0, 568.5714285714286)","(9.0, 18.0, 11.866666666666667)","(18.0, 70.0, 42.0)","(12.0, 36.0, 18.0)","(4.0, 6.2, 4.3999999999999995)"
12-01-2023 18:47:36.444903,"(3.0, 4.2, 4.09)","(2.15, 2.86, 2.392)","(91.0, 650.0, 568.5714285714286)","(9.0, 18.0, 11.866666666666667)","(18.0, 70.0, 42.0)","(12.0, 36.0, 18.0)","(4.0, 6.2, 4.3999999999999995)"
12-01-2023 18:47:37.554850,"(3.0, 4.2, 4.09)","(2.15, 2.86, 2.392)","(91.0, 650.0, 568.5714285714286)","(9.0, 18.0, 11.866666666666667)","(18.0, 70.0, 42.0)","(12.0, 36.0, 18.0)","(4.0, 6.2, 4.3999999999999995)"
12-01-2023 18:47:38.501699,"(3.0, 4.2, 4.09)","(2.15, 2.86, 2.392)","(91.0, 650.0, 568.5714285714286)","(9.0, 18.0, 11.866666666666667)","(18.0, 70.0, 42.0)","(12.0, 36.0, 18.0)","(4.0, 6.2, 4.3999999999999995)"
12-01-2023 18:47:39.470483,"(3.0, 4.2, 4.09)","(2.15, 2.86, 2.392)","(91.0, 650.0, 568.5714285714286)","(9.0, 18.0, 11.866666666666667)","(18.0, 70.0, 42.0)","(12.0, 36.0, 18.0)","(4.0, 6.2, 4.3999999999999995)"
12-01-2023 18:47:40.443477,"(3.0, 4.2, 4.09)","(2.15, 2.86, 2.392)","(91.0, 650.0, 568.5714285714286)","(9.0, 18.0, 11.866666666666667)","(18.0, 70.0, 42.0)","(12.0, 36.0, 18.0)","(4.0, 6.2, 4.3999999999999995)"
12-01-2023 18:47:41.444355,"(3.0, 4.2, 4.09)","(2.15, 2.86, 2.392)","(91.0, 650.0, 568.5714285714286)","(9.0, 18.0, 11.866666666666667)","(18.0, 70.0, 42.0)","(12.0, 36.0, 18.0)","(4.0, 6.2, 4.3999999999999995)"
12-01-2023 18:47:42.429855,"(3.0, 4.2, 4.09)","(2.15, 2.86, 2.392)","(91.0, 650.0, 568.5714285714286)","(9.0, 18.0, 11.866666666666667)","(18.0, 70.0, 42.0)","(12.0, 36.0, 18.0)","(4.0, 6.2, 4.3999999999999995)"
12-01-2023 18:47:43.414453,"(3.0, 4.2, 4.09)","(2.15, 2.86, 2.392)","(91.0, 650.0, 568.5714285714286)","(9.0, 18.0, 11.866666666666667)","(18.0, 70.0, 42.0)","(12.0, 36.0, 18.0)","(4.0, 6.2, 4.3999999999999995)"
12-01-2023 18:47:44.359313,"(3.0, 4.2, 4.09)","(2.15, 2.86, 2.392)","(91.0, 650.0, 568.5714285714286)","(9.0, 18.0, 11.866666666666667)","(18.0, 70.0, 42.0)","(12.0, 36.0, 18.0)","(4.0, 6.2, 4.3999999999999995)"
12-01-2023 18:47:45.334617,"(3.0, 4.2, 4.09)","(2.15, 2.86, 2.392)","(91.0, 650.0, 568.5714285714286)","(9.0, 18.0, 11.866666666666667)","(18.0, 70.0, 42.0)","(12.0, 36.0, 18.0)","(4.0, 6.2, 4.3999999999999995)"
12-01-2023 18:47:46.293345,"(3.0, 4.2, 4.09)","(2.15, 2.86, 2.392)","(91.0, 650.0, 568.5714285714286)","(9.0, 18.0, 11.866666666666667)","(18.0, 70.0, 42.0)","(12.0, 36.0, 18.0)","(4.0, 6.2, 4.3999999999999995)"
12-01-2023 18:47:47.273209,"(3.0, 4.2, 4.09)","(2.15, 2.86, 2.392)","(91.0, 650.0, 568.5714285714286)","(9.0, 18.0, 11.866666666666667)","(18.0, 70.0, 42.0)","(12.0, 36.0, 18.0)","(4.0, 6.2, 4.3999999999999995)"
12-01-2023 18:47:48.252597,"(3.0, 4.2, 4.09)","(2.15, 2.86, 2.392)","(91.0, 650.0, 568.5714285714286)","(9.0, 18.0, 11.866666666666667)","(18.0, 70.0, 42.0)","(12.0, 36.0, 18.0)","(4.0, 6.2, 4.3999999999999995)"
12-01-2023 18:47:49.199704,"(3.0, 4.2, 4.09)","(2.15, 2.86, 2.392)","(91.0, 650.0, 568.5714285714286)","(9.0, 18.0, 11.866666666666667)","(18.0, 70.0, 42.0)","(12.0, 36.0, 18.0)","(4.0, 6.2, 4.3999999999999995)"
12-01-2023 18:47:50.214093,"(3.0, 4.2, 4.09)","(2.15, 2.86, 2.392)","(91.0, 650.0, 568.5714285714286)","(9.0, 18.0, 11.866666666666667)","(18.0, 70.0, 42.0)","(12.0, 36.0, 18.0)","(4.0, 6.2, 4.3999999999999995)"
12-01-2023 18:47:51.196669,"(3.0, 4.2, 4.09)","(2.15, 2.86, 2.392)","(91.0, 650.0, 568.5714285714286)","(9.0, 18.0, 11.866666666666667)","(18.0, 70.0, 42.0)","(12.0, 36.0, 18.0)","(4.0, 6.2, 4.3999999999999995)"
12-01-2023 18:47:52.211126,"(3.0, 4.2, 4.09)","(2.15, 2.86, 2.392)","(91.0, 650.0, 568.5714285714286)","(9.0, 18.0, 11.866666666666667)","(18.0, 70.0, 42.0)","(12.0, 36.0, 18.0)","(4.0, 6.2, 4.3999999999999995)"
12-01-2023 18:47:53.151646,"(3.0, 4.2, 4.09)","(2.15, 2.86, 2.392)","(91.0, 650.0, 568.5714285714286)","(9.0, 18.0, 11.866666666666667)","(18.0, 70.0, 42.0)","(12.0, 36.0, 18.0)","(4.0, 6.2, 4.3999999999999995)"
