,Taking A Toll,Zamboras Girl,Kouta Marjen,Dance Mode,Mr Larson,Long Way Home
12-01-2023 14:38:02.785014,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.390625)","(6.0, 14.0, 11.427272727272726)","(5.0, 8.6, 5.886666666666667)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:03.774613,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.390625)","(6.0, 12.5, 11.427272727272726)","(5.0, 8.6, 5.886666666666667)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:04.881472,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.390625)","(6.0, 12.5, 11.427272727272726)","(5.0, 8.6, 5.886666666666667)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:05.956838,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.390625)","(6.0, 12.5, 11.427272727272726)","(5.0, 8.6, 5.886666666666667)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:07.038515,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.390625)","(6.0, 12.5, 10.6)","(5.0, 8.6, 5.886666666666667)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:08.162203,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.390625)","(6.0, 12.5, 10.6)","(5.0, 8.6, 5.886666666666667)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:09.220898,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.390625)","(6.0, 12.5, 10.6)","(5.0, 8.6, 5.886666666666667)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:10.312686,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.390625)","(6.0, 12.5, 11.5)","(5.0, 8.6, 5.886666666666667)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:11.417863,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.390625)","(6.0, 12.5, 11.5)","(5.0, 8.6, 5.886666666666667)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:12.374852,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.390625)","(6.0, 12.5, 11.5)","(5.0, 8.6, 5.886666666666667)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:13.350877,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 12.5, 11.5)","(5.0, 8.6, 5.886666666666667)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:14.444247,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 12.5, 10.733333333333334)","(5.0, 8.6, 5.886666666666667)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:15.485188,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 12.5, 10.733333333333334)","(5.0, 8.6, 5.886666666666667)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:16.512487,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 12.5, 10.733333333333334)","(5.0, 8.6, 5.886666666666667)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:17.572958,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 14.0, 11.733333333333334)","(5.0, 8.6, 5.886666666666667)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:18.596405,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 14.0, 11.733333333333334)","(5.0, 8.6, 5.886666666666667)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:19.493978,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 14.0, 11.733333333333334)","(5.0, 8.6, 5.886666666666667)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:20.509915,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 14.0, 11.733333333333334)","(5.0, 8.6, 5.886666666666667)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:21.591095,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 14.0, 11.733333333333334)","(5.0, 8.6, 5.886666666666667)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:22.670168,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 14.0, 11.733333333333334)","(5.0, 8.6, 5.886666666666667)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:23.804763,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 14.0, 11.733333333333334)","(5.0, 8.6, 5.886666666666667)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:24.753933,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 14.0, 11.733333333333334)","(5.0, 8.6, 5.886666666666667)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:25.663579,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 14.0, 11.733333333333334)","(5.0, 8.6, 5.886666666666667)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:26.688387,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 14.0, 13.84)","(5.0, 8.6, 5.886666666666667)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:27.725046,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 13.84)","(5.0, 8.6, 5.886666666666667)","(4.4, 8.4, 4.74375)"
