,Nixon Bale,Zhenye Bale,Zipping Pip,Love A Collision,Mt View Bee,Under His Spell,Black Power
12-01-2023 15:47:58.320507,"(3.8, 6.8, 5.275)","(2.9, 4.6, 3.142857142857143)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 34.54545454545455)","(15.0, 32.0, 30.0)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:47:59.415540,"(3.8, 6.8, 5.275)","(2.9, 4.6, 3.142857142857143)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 34.54545454545455)","(15.0, 32.0, 30.0)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:00.588855,"(3.8, 6.8, 5.275)","(2.9, 4.6, 3.142857142857143)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 34.54545454545455)","(15.0, 32.0, 30.0)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:01.789813,"(3.8, 6.8, 5.275)","(2.9, 4.6, 3.142857142857143)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 34.54545454545455)","(15.0, 32.0, 30.0)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:02.950798,"(3.8, 6.8, 5.275)","(2.9, 4.6, 3.142857142857143)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 34.54545454545455)","(15.0, 32.0, 30.0)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:04.151805,"(3.8, 6.8, 5.275)","(2.9, 4.6, 3.142857142857143)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 34.54545454545455)","(15.0, 32.0, 30.0)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:05.187935,"(3.8, 6.8, 5.275)","(2.9, 4.6, 3.142857142857143)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 34.54545454545455)","(15.0, 32.0, 30.0)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:06.175198,"(3.8, 6.8, 5.275)","(2.9, 4.6, 3.142857142857143)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 34.54545454545455)","(15.0, 32.0, 30.0)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:07.278492,"(3.8, 6.8, 5.275)","(2.9, 4.6, 3.142857142857143)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 34.54545454545455)","(15.0, 32.0, 30.0)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:08.286798,"(3.8, 6.8, 5.275)","(2.9, 4.6, 3.142857142857143)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 34.54545454545455)","(15.0, 32.0, 30.0)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
