,Know Grizzles,Opawa Anita,Goldstar Carlito,Centurion,Humbling,Opawa Chrissy
12-01-2023 15:16:59.463287,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:00.591817,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:01.692255,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:02.842322,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:03.897873,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:04.853704,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:05.901334,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:06.929718,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:07.835164,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:08.980169,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:10.033553,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:11.136589,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:12.223734,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:13.164996,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:14.232956,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:15.256111,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:16.262194,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:17.213677,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:18.192450,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:19.161439,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:20.111864,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:21.110646,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:22.100339,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
