,Knobiesmagicsonde,Swiss Horizon,Bank Card,Warriorinthehouse,Gattolottasparkle,Little O Little E,Weavinyouinthedust,Lauras Grand,Iminchargenow,Vegas Princess
12-01-2023 13:26:40.156574,"(7.5, 8.2, 7.6)","(4.6, 9.8, 9.05)","(31.0, 180.0, 76.66666666666666)","(8.5, 15.0, 13.666666666666666)","(31.0, 180.0, 78.0)","(10.0, 23.0, 19.333333333333332)","(7.5, 9.0, 8.77142857142857)","(31.0, 180.0, 77.33333333333334)","(5.5, 8.6, 8.0)","(2.8, 3.3, 3.0557142857142856)"
12-01-2023 13:26:41.507448,"(7.5, 8.2, 7.6)","(4.6, 9.4, 9.05)","(31.0, 180.0, 76.66666666666666)","(8.5, 15.0, 13.666666666666666)","(31.0, 180.0, 78.0)","(10.0, 25.0, 19.333333333333332)","(7.5, 9.0, 8.77142857142857)","(31.0, 180.0, 78.0)","(5.5, 8.6, 8.0)","(2.8, 3.3, 3.0557142857142856)"
12-01-2023 13:26:42.869396,"(7.5, 8.2, 7.6)","(4.6, 9.4, 9.05)","(31.0, 180.0, 76.66666666666666)","(8.5, 15.0, 13.666666666666666)","(31.0, 180.0, 78.0)","(10.0, 25.0, 21.5)","(7.5, 9.0, 8.77142857142857)","(31.0, 180.0, 118.4)","(5.5, 8.6, 8.0)","(2.8, 3.3, 3.1262499999999998)"
12-01-2023 13:26:44.110797,"(7.5, 8.2, 7.6)","(4.6, 9.2, 8.899999999999999)","(31.0, 180.0, 77.33333333333334)","(8.5, 15.0, 13.666666666666666)","(31.0, 180.0, 78.0)","(10.0, 24.0, 21.5)","(7.5, 9.0, 8.77142857142857)","(31.0, 180.0, 118.4)","(5.5, 8.6, 8.0)","(2.8, 3.25, 3.1262499999999998)"
12-01-2023 13:26:45.428480,"(7.5, 8.2, 7.6)","(4.6, 9.2, 8.75)","(31.0, 180.0, 103.0)","(8.5, 15.0, 13.666666666666666)","(31.0, 180.0, 78.0)","(10.0, 24.0, 20.833333333333332)","(7.5, 9.0, 8.885714285714286)","(31.0, 180.0, 118.4)","(5.5, 8.6, 8.0)","(2.8, 3.25, 3.2005)"
12-01-2023 13:26:46.710084,"(7.5, 8.2, 7.6)","(4.6, 9.0, 8.75)","(31.0, 180.0, 103.0)","(8.5, 15.0, 13.666666666666666)","(31.0, 180.0, 78.0)","(10.0, 23.0, 20.833333333333332)","(7.5, 9.0, 8.885714285714286)","(31.0, 180.0, 118.4)","(5.5, 8.6, 8.0)","(2.8, 3.25, 3.2005)"
12-01-2023 13:26:47.954507,"(7.5, 8.2, 7.6)","(4.6, 9.0, 8.75)","(31.0, 180.0, 103.0)","(8.5, 15.0, 13.666666666666666)","(31.0, 180.0, 78.0)","(10.0, 23.0, 20.833333333333332)","(7.5, 9.0, 8.885714285714286)","(31.0, 180.0, 118.4)","(5.5, 8.6, 8.0)","(2.8, 3.25, 3.2005)"
12-01-2023 13:26:49.127630,"(7.5, 8.2, 7.6)","(4.6, 9.0, 8.75)","(31.0, 180.0, 103.0)","(8.5, 15.0, 13.666666666666666)","(31.0, 180.0, 78.0)","(10.0, 23.0, 20.833333333333332)","(7.5, 9.0, 8.885714285714286)","(31.0, 180.0, 118.4)","(5.5, 8.6, 8.0)","(2.8, 3.25, 3.2005)"
12-01-2023 13:26:50.292902,"(7.5, 8.2, 7.6)","(4.6, 8.8, 8.600000000000001)","(31.0, 180.0, 103.0)","(8.5, 15.0, 13.666666666666666)","(31.0, 180.0, 78.0)","(10.0, 23.0, 21.555555555555557)","(7.5, 9.0, 8.885714285714286)","(31.0, 180.0, 118.4)","(5.5, 8.6, 8.0)","(2.8, 3.25, 3.064)"
12-01-2023 13:26:51.511825,"(7.5, 8.2, 7.6)","(4.6, 8.8, 8.600000000000001)","(31.0, 180.0, 103.0)","(8.5, 15.0, 13.666666666666666)","(31.0, 180.0, 78.0)","(10.0, 23.0, 20.0)","(7.5, 9.0, 8.885714285714286)","(31.0, 180.0, 118.4)","(5.5, 8.6, 7.778947368421052)","(2.8, 3.25, 3.2128)"
12-01-2023 13:26:52.807485,"(7.5, 8.2, 7.6)","(4.6, 8.8, 8.600000000000001)","(31.0, 180.0, 103.0)","(8.5, 15.0, 13.666666666666666)","(31.0, 180.0, 78.0)","(10.0, 23.0, 20.0)","(7.5, 9.0, 8.885714285714286)","(31.0, 180.0, 118.4)","(5.5, 8.6, 8.0)","(2.8, 3.25, 3.2128)"
12-01-2023 13:26:54.114725,"(7.5, 8.2, 7.6)","(4.6, 8.8, 8.600000000000001)","(31.0, 180.0, 103.0)","(8.5, 15.0, 13.666666666666666)","(31.0, 180.0, 78.0)","(10.0, 23.0, 20.0)","(7.5, 9.0, 8.885714285714286)","(31.0, 180.0, 118.4)","(5.5, 8.6, 8.0)","(2.8, 3.25, 3.2128)"
12-01-2023 13:26:55.394867,"(7.5, 8.2, 7.6)","(4.6, 8.8, 8.600000000000001)","(31.0, 180.0, 103.0)","(8.5, 15.0, 13.666666666666666)","(31.0, 180.0, 78.0)","(10.0, 23.0, 20.0)","(7.5, 9.0, 8.885714285714286)","(31.0, 180.0, 118.4)","(5.5, 8.6, 8.0)","(2.8, 3.25, 3.2128)"
12-01-2023 13:26:56.813509,"(7.5, 8.2, 7.6)","(4.6, 8.8, 8.600000000000001)","(31.0, 180.0, 103.0)","(8.5, 15.0, 13.666666666666666)","(31.0, 180.0, 78.0)","(10.0, 23.0, 20.0)","(7.5, 9.0, 8.885714285714286)","(31.0, 180.0, 118.4)","(5.5, 8.6, 8.0)","(2.8, 3.25, 3.2128)"
12-01-2023 13:26:58.280517,"(7.5, 8.2, 7.6)","(4.6, 8.8, 8.600000000000001)","(31.0, 180.0, 78.0)","(8.5, 15.0, 13.666666666666666)","(31.0, 180.0, 78.0)","(10.0, 23.0, 20.0)","(7.5, 9.0, 8.885714285714286)","(31.0, 180.0, 118.4)","(5.5, 8.6, 7.778947368421052)","(2.8, 3.25, 3.2128)"
12-01-2023 13:26:59.588502,"(7.5, 8.2, 7.6)","(4.6, 8.8, 8.600000000000001)","(31.0, 180.0, 78.0)","(8.5, 15.0, 13.666666666666666)","(31.0, 180.0, 78.0)","(10.0, 23.0, 21.5)","(7.5, 9.0, 8.885714285714286)","(31.0, 180.0, 118.4)","(5.5, 8.6, 7.5600000000000005)","(2.8, 3.25, 3.224864864864865)"
12-01-2023 13:27:00.821690,"(7.5, 8.2, 7.6)","(4.6, 8.8, 8.600000000000001)","(31.0, 180.0, 78.0)","(8.5, 15.0, 13.666666666666666)","(31.0, 180.0, 78.0)","(10.0, 23.0, 20.25)","(7.5, 9.0, 8.885714285714286)","(31.0, 180.0, 118.4)","(5.5, 7.8, 7.5600000000000005)","(2.8, 3.25, 3.224864864864865)"
12-01-2023 13:27:02.043198,"(7.5, 8.2, 7.6)","(4.6, 8.8, 8.600000000000001)","(31.0, 180.0, 78.0)","(8.5, 15.0, 13.666666666666666)","(31.0, 180.0, 78.0)","(10.0, 23.0, 20.25)","(7.5, 9.0, 8.885714285714286)","(31.0, 180.0, 118.4)","(5.5, 7.8, 7.5)","(2.8, 3.25, 3.224864864864865)"
12-01-2023 13:27:03.331472,"(7.5, 8.2, 7.6)","(4.6, 8.8, 8.600000000000001)","(31.0, 180.0, 78.0)","(8.5, 15.0, 14.166666666666666)","(31.0, 180.0, 78.0)","(10.0, 23.0, 19.0)","(7.5, 9.0, 8.866666666666667)","(31.0, 180.0, 103.0)","(5.5, 7.8, 7.5)","(2.8, 3.25, 3.1691304347826086)"
12-01-2023 13:27:04.632565,"(7.5, 8.2, 7.6)","(4.6, 8.8, 8.600000000000001)","(31.0, 180.0, 78.0)","(8.5, 15.0, 13.666666666666666)","(31.0, 180.0, 78.66666666666666)","(10.0, 23.0, 20.0)","(7.5, 9.0, 8.885714285714286)","(31.0, 180.0, 77.33333333333334)","(5.5, 7.8, 7.31764705882353)","(2.8, 3.25, 3.098695652173913)"
12-01-2023 13:27:05.933579,"(7.5, 8.2, 7.6)","(4.6, 8.8, 8.600000000000001)","(31.0, 180.0, 78.0)","(8.5, 15.0, 13.666666666666666)","(31.0, 180.0, 78.0)","(10.0, 23.0, 20.0)","(7.5, 9.0, 8.885714285714286)","(31.0, 180.0, 77.33333333333334)","(5.5, 7.4, 7.31764705882353)","(2.8, 3.25, 3.098695652173913)"
12-01-2023 13:27:07.187728,"(7.5, 8.2, 7.6)","(4.6, 8.8, 8.600000000000001)","(31.0, 180.0, 78.0)","(8.5, 15.0, 13.666666666666666)","(31.0, 180.0, 77.33333333333334)","(10.0, 23.0, 20.0)","(7.5, 9.0, 8.885714285714286)","(31.0, 180.0, 77.33333333333334)","(5.5, 7.4, 7.31764705882353)","(2.8, 3.25, 3.1878571428571427)"
12-01-2023 13:27:08.464242,"(7.5, 8.2, 7.6)","(4.6, 8.8, 8.600000000000001)","(31.0, 180.0, 78.0)","(8.5, 15.0, 13.666666666666666)","(31.0, 180.0, 77.33333333333334)","(10.0, 23.0, 20.0)","(7.5, 9.0, 8.885714285714286)","(31.0, 180.0, 77.33333333333334)","(5.5, 7.4, 7.31764705882353)","(2.8, 3.25, 3.1878571428571427)"
12-01-2023 13:27:09.687531,"(7.5, 8.2, 7.6)","(4.6, 8.8, 8.600000000000001)","(31.0, 180.0, 78.0)","(8.5, 15.0, 13.666666666666666)","(31.0, 180.0, 77.33333333333334)","(10.0, 23.0, 20.0)","(7.5, 9.0, 8.885714285714286)","(31.0, 180.0, 77.33333333333334)","(5.5, 7.4, 7.31764705882353)","(2.8, 3.25, 3.2244117647058825)"
12-01-2023 13:27:10.817618,"(7.5, 8.2, 7.6)","(4.6, 8.8, 8.600000000000001)","(31.0, 180.0, 78.0)","(8.5, 15.0, 13.25)","(31.0, 180.0, 77.33333333333334)","(10.0, 23.0, 20.0)","(7.5, 9.0, 8.885714285714286)","(31.0, 180.0, 77.33333333333334)","(5.5, 7.4, 7.31764705882353)","(2.8, 3.25, 3.4223529411764706)"
12-01-2023 13:27:11.965994,"(7.5, 8.2, 7.6)","(4.6, 8.8, 8.600000000000001)","(31.0, 180.0, 78.0)","(8.5, 15.0, 13.25)","(31.0, 180.0, 78.0)","(10.0, 23.0, 20.0)","(7.5, 9.0, 8.885714285714286)","(31.0, 180.0, 77.33333333333334)","(5.5, 7.4, 7.31764705882353)","(2.8, 3.45, 3.3000000000000003)"
12-01-2023 13:27:13.160159,"(7.5, 8.2, 7.6)","(4.6, 8.8, 8.57777777777778)","(31.0, 180.0, 78.0)","(8.5, 15.0, 13.25)","(31.0, 180.0, 78.0)","(10.0, 23.0, 20.0)","(7.5, 9.0, 8.885714285714286)","(31.0, 180.0, 77.33333333333334)","(5.5, 7.4, 6.616666666666666)","(2.8, 3.45, 3.4153846153846157)"
12-01-2023 13:27:14.351647,"(7.5, 8.2, 7.6)","(4.6, 8.8, 8.600000000000001)","(31.0, 180.0, 78.0)","(8.5, 15.0, 13.666666666666666)","(31.0, 180.0, 77.33333333333334)","(10.0, 23.0, 20.0)","(7.5, 9.0, 8.885714285714286)","(31.0, 180.0, 77.33333333333334)","(5.5, 6.8, 6.3999999999999995)","(2.8, 3.45, 3.4153846153846157)"
12-01-2023 13:27:15.634359,"(7.5, 8.2, 7.6)","(4.6, 8.8, 8.600000000000001)","(31.0, 180.0, 78.0)","(8.5, 15.0, 13.666666666666666)","(31.0, 180.0, 77.33333333333334)","(10.0, 23.0, 20.0)","(7.5, 9.0, 8.885714285714286)","(31.0, 180.0, 77.33333333333334)","(5.5, 6.6, 6.2444444444444445)","(2.8, 3.45, 3.4153846153846157)"
