,Uri Bale,Miss Rowdy,Homebush Shadow,Impressive Sonic,Iced Mocha,Diamond Warrior,Goldstar Ricky,Yoshi Moon
12-01-2023 14:53:03.015341,"(3.8, 6.0, 5.62439024390244)","(5.5, 9.0, 8.327272727272728)","(8.0, 14.5, 13.523529411764706)","(8.5, 16.0, 14.666666666666666)","(5.5, 9.2, 8.25)","(6.0, 9.2, 7.0285714285714285)","(9.0, 18.5, 16.816666666666666)","(5.5, 9.0, 6.942857142857143)"
12-01-2023 14:53:04.299380,"(3.8, 6.0, 5.62439024390244)","(5.5, 9.0, 8.327272727272728)","(8.0, 14.5, 13.523529411764706)","(8.5, 16.0, 14.666666666666666)","(5.5, 9.2, 8.25)","(6.0, 9.2, 7.0285714285714285)","(9.0, 18.5, 16.816666666666666)","(5.5, 9.0, 6.942857142857143)"
12-01-2023 14:53:05.617767,"(3.8, 6.0, 5.62439024390244)","(5.5, 9.0, 8.327272727272728)","(8.0, 14.5, 13.523529411764706)","(8.5, 16.0, 14.666666666666666)","(5.5, 9.2, 8.25)","(6.0, 9.2, 7.0285714285714285)","(9.0, 18.5, 16.816666666666666)","(5.5, 9.0, 8.327272727272728)"
12-01-2023 14:53:06.922434,"(3.8, 6.0, 5.632926829268293)","(5.5, 9.0, 8.327272727272728)","(8.0, 14.5, 13.523529411764706)","(8.5, 16.0, 14.666666666666666)","(5.5, 9.2, 8.25)","(6.0, 9.2, 7.0285714285714285)","(9.0, 18.5, 16.816666666666666)","(5.5, 9.0, 8.327272727272728)"
12-01-2023 14:53:08.336858,"(3.8, 6.0, 5.632926829268293)","(5.5, 9.0, 6.942857142857143)","(8.0, 14.5, 13.523529411764706)","(8.5, 16.0, 14.666666666666666)","(5.5, 9.2, 8.25)","(6.0, 9.2, 7.0285714285714285)","(9.0, 18.5, 16.816666666666666)","(5.5, 9.0, 8.327272727272728)"
12-01-2023 14:53:09.588987,"(3.8, 6.0, 5.632926829268293)","(5.5, 9.0, 6.942857142857143)","(8.0, 14.5, 13.523529411764706)","(8.5, 16.0, 14.666666666666666)","(5.5, 9.2, 8.25)","(6.0, 9.2, 7.0285714285714285)","(9.0, 18.5, 16.816666666666666)","(5.5, 9.0, 8.327272727272728)"
12-01-2023 14:53:10.922683,"(3.8, 6.0, 5.632926829268293)","(5.5, 9.0, 6.942857142857143)","(8.0, 14.5, 13.523529411764706)","(8.5, 16.0, 14.666666666666666)","(5.5, 9.2, 8.25)","(6.0, 9.2, 7.0285714285714285)","(9.0, 18.5, 16.816666666666666)","(5.5, 9.0, 8.327272727272728)"
12-01-2023 14:53:12.115075,"(3.8, 6.0, 5.771333333333333)","(5.5, 9.0, 6.942857142857143)","(8.0, 14.5, 13.523529411764706)","(8.5, 16.0, 14.666666666666666)","(5.5, 9.2, 8.25)","(6.0, 9.2, 7.0285714285714285)","(9.0, 18.5, 16.816666666666666)","(5.5, 9.0, 8.327272727272728)"
12-01-2023 14:53:13.418552,"(3.8, 6.0, 5.771333333333333)","(5.5, 9.0, 6.942857142857143)","(8.0, 14.5, 13.523529411764706)","(8.5, 16.0, 14.666666666666666)","(5.5, 9.2, 8.25)","(6.0, 9.2, 7.0285714285714285)","(9.0, 18.5, 16.816666666666666)","(5.5, 9.0, 8.327272727272728)"
12-01-2023 14:53:14.743092,"(3.8, 6.0, 5.609302325581396)","(5.5, 9.0, 6.942857142857143)","(8.0, 14.5, 13.523529411764706)","(8.5, 16.0, 14.666666666666666)","(5.5, 9.2, 8.25)","(6.0, 9.2, 7.0285714285714285)","(9.0, 18.5, 16.816666666666666)","(5.5, 9.0, 8.327272727272728)"
12-01-2023 14:53:15.937209,"(3.8, 6.0, 5.609302325581396)","(5.5, 9.0, 6.942857142857143)","(8.0, 14.5, 13.523529411764706)","(8.5, 16.0, 14.666666666666666)","(5.5, 9.2, 8.25)","(6.0, 9.2, 7.0285714285714285)","(9.0, 18.5, 16.816666666666666)","(5.5, 9.0, 8.327272727272728)"
12-01-2023 14:53:17.260647,"(3.8, 6.0, 5.609302325581396)","(5.5, 9.0, 6.942857142857143)","(8.0, 14.5, 13.523529411764706)","(8.5, 16.0, 14.666666666666666)","(5.5, 9.2, 8.25)","(6.0, 9.2, 7.0285714285714285)","(9.0, 18.5, 16.816666666666666)","(5.5, 9.0, 8.327272727272728)"
12-01-2023 14:53:18.576042,"(3.8, 6.0, 5.609302325581396)","(5.5, 9.0, 6.942857142857143)","(8.0, 14.5, 13.523529411764706)","(8.5, 16.0, 14.666666666666666)","(5.5, 9.2, 8.25)","(6.0, 9.2, 7.0285714285714285)","(9.0, 18.5, 16.816666666666666)","(5.5, 9.0, 6.942857142857143)"
12-01-2023 14:53:20.034044,"(3.8, 6.0, 5.609302325581396)","(5.5, 9.0, 6.942857142857143)","(8.0, 14.5, 13.523529411764706)","(8.5, 16.0, 14.666666666666666)","(5.5, 9.2, 8.25)","(6.0, 9.2, 7.0285714285714285)","(9.0, 18.5, 16.816666666666666)","(5.5, 9.0, 6.942857142857143)"
12-01-2023 14:53:21.304068,"(3.8, 6.0, 5.609302325581396)","(5.5, 9.0, 6.942857142857143)","(8.0, 14.5, 13.523529411764706)","(8.5, 16.0, 14.666666666666666)","(5.5, 9.2, 8.25)","(6.0, 9.2, 7.0285714285714285)","(9.0, 18.5, 16.816666666666666)","(5.5, 9.0, 6.942857142857143)"
12-01-2023 14:53:22.614310,"(3.8, 6.0, 5.609302325581396)","(5.5, 9.0, 6.942857142857143)","(8.0, 14.5, 13.523529411764706)","(8.5, 16.0, 14.666666666666666)","(5.5, 9.2, 8.25)","(6.0, 9.2, 7.0285714285714285)","(9.0, 18.5, 16.816666666666666)","(5.5, 9.0, 6.942857142857143)"
12-01-2023 14:53:23.818772,"(3.8, 6.0, 5.609302325581396)","(5.5, 9.0, 6.942857142857143)","(8.0, 14.5, 13.523529411764706)","(8.5, 16.0, 14.666666666666666)","(5.5, 9.2, 8.25)","(6.0, 9.2, 7.0285714285714285)","(9.0, 18.5, 16.816666666666666)","(5.5, 9.0, 6.942857142857143)"
12-01-2023 14:53:25.162640,"(3.8, 6.0, 5.634782608695652)","(5.5, 9.0, 6.942857142857143)","(8.0, 14.5, 13.523529411764706)","(8.5, 16.0, 14.666666666666666)","(5.5, 9.2, 8.25)","(6.0, 9.2, 7.0285714285714285)","(9.0, 18.5, 16.816666666666666)","(5.5, 9.0, 6.942857142857143)"
12-01-2023 14:53:26.478414,"(3.8, 6.0, 5.642391304347826)","(5.5, 9.0, 6.942857142857143)","(8.0, 14.5, 13.523529411764706)","(8.5, 16.0, 14.666666666666666)","(5.5, 9.2, 8.25)","(6.0, 9.2, 7.0285714285714285)","(9.0, 18.5, 16.816666666666666)","(5.5, 9.0, 6.942857142857143)"
12-01-2023 14:53:27.805069,"(3.8, 6.0, 5.642391304347826)","(5.5, 9.0, 6.942857142857143)","(8.0, 14.5, 13.523529411764706)","(8.5, 16.0, 14.666666666666666)","(5.5, 9.2, 8.25)","(6.0, 9.2, 7.0285714285714285)","(9.0, 18.5, 16.816666666666666)","(5.5, 9.0, 6.942857142857143)"
