,King Of All,Honest Thief,Im Indigo,Lektra Sammy,Suntanned,Reel It In,Shanias Dream,Diva Dot
12-01-2023 11:00:02.686286,"(2.7, 4.1, 3.304081632653061)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 12.2)"
12-01-2023 11:00:03.743173,"(2.7, 4.1, 3.304081632653061)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 12.2)"
12-01-2023 11:00:04.844526,"(2.7, 4.1, 3.304081632653061)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 12.2)"
12-01-2023 11:00:05.922142,"(2.7, 4.1, 3.304081632653061)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 12.2)"
12-01-2023 11:00:06.943810,"(2.7, 4.1, 3.304081632653061)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 12.2)"
12-01-2023 11:00:08.018393,"(2.7, 4.1, 3.304081632653061)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 12.2)"
12-01-2023 11:00:09.018248,"(2.7, 4.1, 3.304081632653061)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 12.2)"
12-01-2023 11:00:10.056857,"(2.7, 4.1, 3.304081632653061)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 12.2)"
12-01-2023 11:00:11.075055,"(2.7, 4.1, 3.304081632653061)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 12.2)"
12-01-2023 11:00:12.082858,"(2.7, 4.1, 3.304081632653061)","(17.0, 48.0, 38.41666666666667)","(5.5, 8.4, 7.986666666666666)","(5.0, 8.0, 5.3999999999999995)","(5.0, 8.4, 7.0125)","(17.0, 55.0, 35.25)","(15.0, 36.0, 25.153846153846153)","(5.0, 15.0, 12.2)"
