,Aston Hamrun,Fletcher Flash,Molly Cruiser,Drop Fifty,Grumpy Sailor,Osprey Warrior,Ibrox Goram
12-01-2023 17:13:45.657073,"(8.0, 12.5, 12.333333333333334)","(5.5, 8.8, 8.16470588235294)","(31.0, 90.0, 79.0)","(10.0, 20.0, 18.653846153846153)","(11.0, 32.0, 29.0)","(2.2, 2.42, 2.3423529411764705)","(3.0, 3.65, 3.476086956521739)"
12-01-2023 17:13:46.769193,"(8.0, 14.0, 13.423076923076923)","(5.5, 8.8, 8.16470588235294)","(31.0, 95.0, 79.0)","(10.0, 20.0, 18.653846153846153)","(11.0, 32.0, 29.0)","(2.2, 2.36, 2.3423529411764705)","(3.0, 3.65, 3.476086956521739)"
12-01-2023 17:13:47.749875,"(8.0, 13.5, 12.5)","(5.5, 8.8, 8.16470588235294)","(31.0, 95.0, 79.0)","(10.0, 20.0, 18.653846153846153)","(11.0, 32.0, 29.0)","(2.2, 2.36, 2.3423529411764705)","(3.0, 3.65, 3.476086956521739)"
12-01-2023 17:13:48.724838,"(8.0, 13.5, 12.166666666666666)","(5.5, 8.8, 8.16470588235294)","(31.0, 95.0, 79.0)","(10.0, 20.0, 18.653846153846153)","(11.0, 32.0, 29.0)","(2.2, 2.36, 2.3423529411764705)","(3.0, 3.65, 3.476086956521739)"
12-01-2023 17:13:49.671975,"(8.0, 13.5, 12.5)","(5.5, 8.8, 8.16470588235294)","(31.0, 95.0, 79.0)","(10.0, 20.0, 18.653846153846153)","(11.0, 32.0, 29.0)","(2.2, 2.36, 2.3423529411764705)","(3.0, 3.65, 3.476086956521739)"
12-01-2023 17:13:50.739261,"(8.0, 13.5, 12.5)","(5.5, 8.8, 8.16470588235294)","(31.0, 95.0, 79.0)","(10.0, 20.0, 18.653846153846153)","(11.0, 32.0, 29.0)","(2.2, 2.36, 2.408)","(3.0, 3.65, 3.4833333333333334)"
12-01-2023 17:13:51.838578,"(8.0, 13.5, 12.833333333333334)","(5.5, 8.8, 7.969230769230769)","(31.0, 95.0, 79.0)","(10.0, 20.0, 18.653846153846153)","(11.0, 32.0, 29.0)","(2.2, 2.42, 2.3857142857142857)","(3.0, 3.65, 3.4833333333333334)"
12-01-2023 17:13:52.970050,"(8.0, 13.5, 13.318181818181818)","(5.5, 8.8, 7.969230769230769)","(31.0, 95.0, 79.0)","(10.0, 20.0, 18.653846153846153)","(11.0, 32.0, 28.25)","(2.2, 2.4, 2.3857142857142857)","(3.0, 3.65, 3.4833333333333334)"
12-01-2023 17:13:54.454509,"(8.0, 13.5, 13.318181818181818)","(5.5, 8.8, 7.969230769230769)","(31.0, 95.0, 79.0)","(10.0, 20.0, 18.653846153846153)","(11.0, 32.0, 29.857142857142858)","(2.2, 2.4, 2.3857142857142857)","(3.0, 3.65, 3.4833333333333334)"
12-01-2023 17:13:55.570285,"(8.0, 13.5, 13.318181818181818)","(5.5, 8.8, 7.969230769230769)","(31.0, 95.0, 79.0)","(10.0, 20.0, 18.653846153846153)","(11.0, 32.0, 29.857142857142858)","(2.2, 2.4, 2.3857142857142857)","(3.0, 3.65, 3.4595238095238092)"
12-01-2023 17:13:56.533560,"(8.0, 13.5, 13.125)","(5.5, 8.8, 8.145454545454545)","(31.0, 95.0, 79.0)","(10.0, 20.0, 18.653846153846153)","(11.0, 32.0, 29.857142857142858)","(2.2, 2.4, 2.3857142857142857)","(3.0, 3.65, 3.4595238095238092)"
12-01-2023 17:13:57.614955,"(8.0, 13.5, 13.3125)","(5.5, 8.8, 8.5)","(31.0, 95.0, 79.0)","(10.0, 20.0, 18.653846153846153)","(11.0, 32.0, 29.857142857142858)","(2.2, 2.4, 2.3428571428571425)","(3.0, 3.65, 3.4595238095238092)"
12-01-2023 17:13:58.792244,"(8.0, 13.5, 13.3125)","(5.5, 8.8, 8.5)","(31.0, 95.0, 79.0)","(10.0, 20.0, 18.653846153846153)","(11.0, 32.0, 29.857142857142858)","(2.2, 2.4, 2.3428571428571425)","(3.0, 3.65, 3.4595238095238092)"
12-01-2023 17:13:59.812348,"(8.0, 13.5, 13.3125)","(5.5, 8.8, 8.5)","(31.0, 95.0, 79.0)","(10.0, 20.0, 18.653846153846153)","(11.0, 32.0, 29.857142857142858)","(2.2, 2.4, 2.3428571428571425)","(3.0, 3.65, 3.4595238095238092)"
12-01-2023 17:14:00.937796,"(8.0, 13.5, 13.3125)","(5.5, 8.8, 8.5)","(31.0, 95.0, 79.0)","(10.0, 20.0, 18.653846153846153)","(11.0, 32.0, 29.857142857142858)","(2.2, 2.4, 2.3428571428571425)","(3.0, 3.65, 3.4595238095238092)"
12-01-2023 17:14:02.064979,"(8.0, 13.5, 13.3125)","(5.5, 8.8, 8.5)","(31.0, 95.0, 79.0)","(10.0, 20.0, 18.653846153846153)","(11.0, 32.0, 29.857142857142858)","(2.2, 2.4, 2.3428571428571425)","(3.0, 3.65, 3.4595238095238092)"
12-01-2023 17:14:03.041274,"(8.0, 13.5, 13.3125)","(5.5, 8.8, 8.5)","(31.0, 95.0, 79.0)","(10.0, 20.0, 18.653846153846153)","(11.0, 32.0, 29.857142857142858)","(2.2, 2.4, 2.3428571428571425)","(3.0, 3.65, 3.4595238095238092)"
12-01-2023 17:14:04.037946,"(8.0, 13.5, 13.3125)","(5.5, 8.8, 8.2)","(31.0, 95.0, 79.0)","(10.0, 20.0, 18.653846153846153)","(11.0, 32.0, 29.857142857142858)","(2.2, 2.4, 2.3428571428571425)","(3.0, 3.65, 3.4595238095238092)"
12-01-2023 17:14:05.023677,"(8.0, 13.5, 13.3125)","(5.5, 8.8, 8.466666666666667)","(31.0, 95.0, 79.0)","(10.0, 20.0, 18.653846153846153)","(11.0, 32.0, 29.857142857142858)","(2.2, 2.4, 2.3347826086956522)","(3.0, 3.65, 3.4595238095238092)"
12-01-2023 17:14:06.042244,"(8.0, 13.5, 13.3125)","(5.5, 8.8, 8.466666666666667)","(31.0, 95.0, 79.0)","(10.0, 20.0, 18.653846153846153)","(11.0, 32.0, 29.857142857142858)","(2.2, 2.4, 2.3347826086956522)","(3.0, 3.65, 3.4595238095238092)"
12-01-2023 17:14:06.996581,"(8.0, 13.5, 13.3125)","(5.5, 8.8, 8.466666666666667)","(31.0, 95.0, 79.0)","(10.0, 20.0, 18.653846153846153)","(11.0, 32.0, 29.857142857142858)","(2.2, 2.4, 2.3692307692307693)","(3.0, 3.65, 3.4595238095238092)"
12-01-2023 17:14:07.949766,"(8.0, 13.5, 13.125)","(5.5, 8.8, 8.466666666666667)","(31.0, 95.0, 79.0)","(10.0, 20.0, 18.653846153846153)","(11.0, 32.0, 29.857142857142858)","(2.2, 2.42, 2.36)","(3.0, 3.65, 3.439473684210526)"
12-01-2023 17:14:08.993277,"(8.0, 13.5, 13.3)","(5.5, 8.8, 8.466666666666667)","(31.0, 95.0, 79.0)","(10.0, 20.0, 18.653846153846153)","(11.0, 32.0, 29.857142857142858)","(2.2, 2.4, 2.375)","(3.0, 3.65, 3.439473684210526)"
12-01-2023 17:14:10.050128,"(8.0, 13.5, 13.3)","(5.5, 8.8, 8.466666666666667)","(31.0, 95.0, 79.0)","(10.0, 20.0, 18.653846153846153)","(11.0, 32.0, 29.857142857142858)","(2.2, 2.4, 2.376190476190476)","(3.0, 3.65, 3.439473684210526)"
12-01-2023 17:14:11.068834,"(8.0, 13.5, 13.366666666666667)","(5.5, 8.8, 8.466666666666667)","(31.0, 95.0, 79.0)","(10.0, 20.0, 18.653846153846153)","(11.0, 32.0, 29.857142857142858)","(2.2, 2.4, 2.376190476190476)","(3.0, 3.65, 3.439473684210526)"
12-01-2023 17:14:12.002311,"(8.0, 13.5, 13.366666666666667)","(5.5, 8.8, 8.466666666666667)","(31.0, 95.0, 79.0)","(10.0, 20.0, 18.653846153846153)","(11.0, 32.0, 29.857142857142858)","(2.2, 2.4, 2.376190476190476)","(3.0, 3.65, 3.439473684210526)"
12-01-2023 17:14:12.979272,"(8.0, 13.5, 13.366666666666667)","(5.5, 8.8, 8.466666666666667)","(31.0, 95.0, 79.0)","(10.0, 20.0, 18.653846153846153)","(11.0, 32.0, 29.857142857142858)","(2.2, 2.4, 2.376190476190476)","(3.0, 3.65, 3.439473684210526)"
12-01-2023 17:14:13.932378,"(8.0, 13.5, 13.333333333333334)","(5.5, 8.8, 8.466666666666667)","(31.0, 95.0, 79.0)","(10.0, 20.0, 18.653846153846153)","(11.0, 32.0, 30.5)","(2.2, 2.4, 2.4066666666666667)","(3.0, 3.65, 3.439473684210526)"
12-01-2023 17:14:14.814714,"(8.0, 13.5, 13.333333333333334)","(5.5, 8.8, 8.466666666666667)","(31.0, 95.0, 79.0)","(10.0, 20.0, 18.653846153846153)","(11.0, 32.0, 30.5)","(2.2, 2.42, 2.4066666666666667)","(3.0, 3.65, 3.439473684210526)"
12-01-2023 17:14:15.790385,"(8.0, 13.5, 13.318181818181818)","(5.5, 8.8, 8.466666666666667)","(31.0, 95.0, 79.0)","(10.0, 20.0, 18.653846153846153)","(11.0, 32.0, 30.5)","(2.2, 2.38, 2.3657142857142857)","(3.0, 3.6, 3.5124999999999997)"
12-01-2023 17:14:16.835952,"(8.0, 13.5, 13.318181818181818)","(5.5, 8.8, 8.466666666666667)","(31.0, 95.0, 79.0)","(10.0, 20.0, 18.653846153846153)","(11.0, 32.0, 31.375)","(2.2, 2.38, 2.364)","(3.0, 3.55, 3.4611111111111112)"
12-01-2023 17:14:17.848248,"(8.0, 13.5, 13.166666666666666)","(5.5, 8.8, 8.466666666666667)","(31.0, 95.0, 79.0)","(10.0, 20.0, 18.653846153846153)","(11.0, 32.0, 31.375)","(2.2, 2.38, 2.364)","(3.0, 3.55, 3.4055555555555554)"
12-01-2023 17:14:18.852851,"(8.0, 13.5, 13.166666666666666)","(5.5, 8.8, 8.466666666666667)","(31.0, 95.0, 79.0)","(10.0, 20.0, 18.653846153846153)","(11.0, 32.0, 31.375)","(2.2, 2.38, 2.364)","(3.0, 3.55, 3.4055555555555554)"
12-01-2023 17:14:19.894789,"(8.0, 13.5, 13.318181818181818)","(5.5, 8.8, 8.466666666666667)","(31.0, 95.0, 79.0)","(10.0, 20.0, 18.653846153846153)","(11.0, 32.0, 31.375)","(2.2, 2.38, 2.364)","(3.0, 3.55, 3.4055555555555554)"
12-01-2023 17:14:20.931796,"(8.0, 13.5, 13.214285714285714)","(5.5, 8.8, 8.466666666666667)","(31.0, 95.0, 79.0)","(10.0, 20.0, 18.653846153846153)","(11.0, 32.0, 31.375)","(2.2, 2.38, 2.414285714285714)","(3.0, 3.55, 3.4055555555555554)"
12-01-2023 17:14:21.948978,"(8.0, 13.5, 13.214285714285714)","(5.5, 8.8, 8.152941176470588)","(31.0, 95.0, 79.0)","(10.0, 20.0, 18.653846153846153)","(11.0, 32.0, 31.375)","(2.2, 2.42, 2.416875)","(3.0, 3.55, 3.45)"
12-01-2023 17:14:22.930025,"(8.0, 13.5, 13.214285714285714)","(5.5, 8.8, 8.152941176470588)","(31.0, 95.0, 79.0)","(10.0, 20.0, 18.653846153846153)","(11.0, 32.0, 31.375)","(2.2, 2.4, 2.329230769230769)","(3.0, 3.55, 3.485)"
12-01-2023 17:14:23.920389,"(8.0, 13.5, 13.382352941176471)","(5.5, 8.8, 8.152941176470588)","(31.0, 95.0, 79.0)","(10.0, 20.0, 18.653846153846153)","(11.0, 32.0, 31.375)","(2.2, 2.44, 2.3476923076923075)","(3.0, 3.5, 3.485)"
12-01-2023 17:14:24.891030,"(8.0, 13.5, 13.382352941176471)","(5.5, 8.8, 8.022222222222222)","(31.0, 95.0, 79.0)","(10.0, 20.0, 19.23913043478261)","(11.0, 32.0, 31.375)","(2.2, 2.44, 2.3476923076923075)","(3.0, 3.5, 3.485)"
12-01-2023 17:14:25.817529,"(8.0, 13.5, 13.333333333333334)","(5.5, 8.8, 8.022222222222222)","(31.0, 95.0, 79.0)","(10.0, 20.0, 19.23913043478261)","(11.0, 32.0, 28.842105263157894)","(2.2, 2.44, 2.3476923076923075)","(3.0, 3.5, 3.402941176470588)"
12-01-2023 17:14:26.742305,"(8.0, 13.5, 13.333333333333334)","(5.5, 8.8, 8.133333333333333)","(31.0, 95.0, 79.0)","(10.0, 20.0, 19.125)","(11.0, 32.0, 28.842105263157894)","(2.2, 2.48, 2.430344827586207)","(3.0, 3.5, 3.402941176470588)"
12-01-2023 17:14:27.713287,"(8.0, 13.5, 13.333333333333334)","(5.5, 8.8, 7.933333333333334)","(31.0, 95.0, 79.0)","(10.0, 20.0, 19.125)","(11.0, 32.0, 28.842105263157894)","(2.2, 2.42, 2.4063636363636363)","(3.0, 3.5, 3.373076923076923)"
12-01-2023 17:14:28.677016,"(8.0, 13.5, 13.333333333333334)","(5.5, 8.8, 7.933333333333334)","(31.0, 95.0, 79.0)","(10.0, 20.0, 19.125)","(11.0, 32.0, 28.842105263157894)","(2.2, 2.42, 2.4063636363636363)","(3.0, 3.5, 3.373076923076923)"
12-01-2023 17:14:29.675985,"(8.0, 13.5, 13.333333333333334)","(5.5, 8.8, 7.933333333333334)","(31.0, 95.0, 79.0)","(10.0, 20.0, 19.125)","(11.0, 32.0, 28.842105263157894)","(2.2, 2.42, 2.4063636363636363)","(3.0, 3.5, 3.373076923076923)"
12-01-2023 17:14:30.658314,"(8.0, 13.5, 13.333333333333334)","(5.5, 8.8, 7.933333333333334)","(31.0, 95.0, 79.0)","(10.0, 20.0, 19.125)","(11.0, 32.0, 28.842105263157894)","(2.2, 2.42, 2.4063636363636363)","(3.0, 3.5, 3.373076923076923)"
12-01-2023 17:14:31.683278,"(8.0, 13.5, 13.333333333333334)","(5.5, 8.8, 8.022222222222222)","(31.0, 95.0, 79.0)","(10.0, 20.0, 19.125)","(11.0, 32.0, 28.842105263157894)","(2.2, 2.42, 2.4063636363636363)","(3.0, 3.5, 3.373076923076923)"
12-01-2023 17:14:32.707290,"(8.0, 13.5, 13.333333333333334)","(5.5, 8.8, 8.216666666666667)","(31.0, 95.0, 79.0)","(10.0, 20.0, 19.125)","(11.0, 32.0, 28.842105263157894)","(2.2, 2.42, 2.4063636363636363)","(3.0, 3.5, 3.373076923076923)"
12-01-2023 17:14:33.747416,"(8.0, 13.5, 13.333333333333334)","(5.5, 8.8, 8.216666666666667)","(31.0, 95.0, 79.0)","(10.0, 20.0, 19.125)","(11.0, 32.0, 28.842105263157894)","(2.2, 2.42, 2.4766666666666666)","(3.0, 3.5, 3.3499999999999996)"
12-01-2023 17:14:35.094545,"(8.0, 13.5, 13.333333333333334)","(5.5, 8.8, 8.216666666666667)","(31.0, 95.0, 79.0)","(10.0, 20.0, 19.5625)","(11.0, 32.0, 29.23076923076923)","(2.2, 2.5, 2.284406779661017)","(3.0, 3.5, 3.481666666666667)"
12-01-2023 17:14:36.125005,"(8.0, 13.5, 13.375)","(5.5, 8.8, 8.644444444444444)","(31.0, 95.0, 79.0)","(10.0, 20.0, 19.5625)","(11.0, 32.0, 29.23076923076923)","(2.2, 2.3, 2.3485714285714283)","(3.0, 3.5, 3.4833333333333334)"
12-01-2023 17:14:37.187747,"(8.0, 13.5, 13.25)","(5.5, 9.2, 8.75)","(31.0, 95.0, 78.63636363636364)","(10.0, 20.0, 18.25)","(11.0, 32.0, 28.842105263157894)","(2.2, 2.52, 2.3317647058823527)","(3.0, 3.55, 3.4833333333333334)"
12-01-2023 17:14:38.256610,"(8.0, 13.5, 13.428571428571429)","(5.5, 9.2, 8.45)","(31.0, 95.0, 78.63636363636364)","(10.0, 20.0, 18.25)","(11.0, 32.0, 28.842105263157894)","(2.2, 2.52, 2.425)","(3.0, 3.55, 3.4681818181818183)"
12-01-2023 17:14:39.293497,"(8.0, 14.0, 13.475)","(5.5, 7.4, 7.220000000000001)","(31.0, 95.0, 78.63636363636364)","(10.0, 20.0, 18.285714285714285)","(11.0, 32.0, 28.944444444444443)","(2.2, 2.5, 2.36625)","(3.0, 3.55, 3.55625)"
