,Willsintown,Destiny Blues,Fortyfive Rock,Handsome Harry Nz,Tulhurst Cuddles,Taleggio,Jaydes Terror,Darby Brights,Whata Reactor
12-01-2023 14:54:06.605467,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:54:07.966303,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:54:09.329665,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:54:10.672400,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:54:11.935331,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:54:13.127863,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:54:14.457376,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:54:15.848441,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:54:17.221220,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:54:18.637730,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:54:20.011403,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:54:21.371802,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:54:22.805949,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:54:24.239111,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:54:25.675631,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:54:27.000866,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
