,Azure Pride,Sarsen,Hello Newman,I Am Pearl,Leisure Games,Outa Taormina,Rosato,Whats Up Honey
14-12-2022 13:19:04.615679,"(4.0, 5.6, 5.06)","(5.5, 7.2, 6.933333333333334)","(2.35, 3.05, 2.9816216216216214)","(14.0, 21.0, 19.428571428571427)","(20.0, 50.0, 34.666666666666664)","(101.0, 300.0, 116.66666666666666)","(6.0, 8.0, 7.533333333333333)","(11.0, 15.5, 15.0625)"
14-12-2022 13:19:06.045022,"(4.0, 5.6, 5.06)","(5.5, 7.2, 6.933333333333334)","(2.35, 3.05, 2.9816216216216214)","(14.0, 21.0, 19.428571428571427)","(20.0, 50.0, 34.666666666666664)","(101.0, 300.0, 116.66666666666666)","(6.0, 8.0, 7.533333333333333)","(11.0, 15.5, 15.0625)"
14-12-2022 13:19:07.489313,"(4.0, 5.6, 5.06)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 21.0, 19.428571428571427)","(20.0, 50.0, 34.666666666666664)","(101.0, 300.0, 150.0)","(6.0, 8.0, 7.533333333333333)","(11.0, 15.5, 15.0625)"
14-12-2022 13:19:08.869674,"(4.0, 5.6, 5.06)","(5.5, 7.2, 6.933333333333334)","(2.35, 3.05, 2.9816216216216214)","(14.0, 21.0, 19.428571428571427)","(20.0, 50.0, 34.666666666666664)","(101.0, 290.0, 146.66666666666669)","(6.0, 8.0, 7.533333333333333)","(11.0, 15.5, 15.0625)"
14-12-2022 13:19:10.266451,"(4.0, 5.6, 5.06)","(5.5, 7.2, 6.933333333333334)","(2.35, 3.05, 2.9816216216216214)","(14.0, 21.0, 19.428571428571427)","(20.0, 50.0, 34.666666666666664)","(101.0, 280.0, 146.66666666666669)","(6.0, 8.0, 7.533333333333333)","(11.0, 15.5, 15.0625)"
14-12-2022 13:19:11.620539,"(4.0, 5.6, 5.06)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 21.0, 19.428571428571427)","(20.0, 50.0, 34.666666666666664)","(101.0, 280.0, 146.66666666666669)","(6.0, 8.0, 7.533333333333333)","(11.0, 15.5, 15.0625)"
14-12-2022 13:19:12.929818,"(4.0, 5.6, 5.06)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 21.0, 19.428571428571427)","(20.0, 50.0, 34.666666666666664)","(101.0, 280.0, 146.66666666666669)","(6.0, 8.0, 7.533333333333333)","(11.0, 15.5, 15.0625)"
14-12-2022 13:19:14.214272,"(4.0, 5.6, 5.06)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 21.0, 19.428571428571427)","(20.0, 50.0, 34.666666666666664)","(101.0, 280.0, 146.66666666666669)","(6.0, 8.0, 7.533333333333333)","(11.0, 15.5, 15.0625)"
14-12-2022 13:19:15.512801,"(4.0, 5.6, 5.06)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 21.0, 19.428571428571427)","(20.0, 50.0, 34.666666666666664)","(101.0, 280.0, 146.66666666666669)","(6.0, 8.0, 7.533333333333333)","(11.0, 15.5, 15.0625)"
14-12-2022 13:19:16.801051,"(4.0, 5.6, 5.415384615384615)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 21.0, 19.428571428571427)","(20.0, 50.0, 34.666666666666664)","(101.0, 280.0, 146.66666666666669)","(6.0, 8.0, 7.533333333333333)","(11.0, 15.5, 15.0625)"
