,Mr Wallace,The Heavyweight,Skylon,Our Kinsmen,Wild Irish Rover,Promise The Moon,Ultron,Loniesha,Nullify,Raging Climax
14-12-2022 13:41:10.165230,"(2.3, 2.68, 2.6413402061855673)","(101.0, 730.0, 650.0)","(19.0, 24.0, 21.689655172413794)","(41.0, 60.0, 50.0)","(2.7, 3.55, 3.4863636363636363)","(14.0, 21.0, 20.285714285714285)","(51.0, 70.0, 68.84615384615384)","(61.0, 240.0, 150.0)","(4.8, 7.4, 7.25)","(31.0, 140.0, 124.54545454545455)"
14-12-2022 13:41:12.131409,"(2.3, 2.68, 2.6413402061855673)","(101.0, 730.0, 582.5)","(19.0, 25.0, 21.689655172413794)","(41.0, 60.0, 50.0)","(2.7, 3.55, 3.38)","(14.0, 21.0, 20.285714285714285)","(51.0, 70.0, 68.84615384615384)","(61.0, 240.0, 210.0)","(4.8, 7.4, 7.25)","(31.0, 140.0, 124.54545454545455)"
14-12-2022 13:41:13.896556,"(2.3, 2.68, 2.6413402061855673)","(101.0, 720.0, 582.5)","(19.0, 25.0, 22.23076923076923)","(41.0, 60.0, 50.666666666666664)","(2.7, 3.55, 3.3312500000000003)","(14.0, 21.0, 20.285714285714285)","(51.0, 70.0, 68.84615384615384)","(61.0, 260.0, 210.0)","(4.8, 7.4, 7.333333333333334)","(31.0, 140.0, 124.54545454545455)"
14-12-2022 13:41:15.860436,"(2.3, 2.68, 2.6413402061855673)","(101.0, 720.0, 582.5)","(19.0, 25.0, 22.23076923076923)","(41.0, 55.0, 50.666666666666664)","(2.7, 3.5, 3.3312500000000003)","(14.0, 21.0, 20.285714285714285)","(51.0, 70.0, 68.84615384615384)","(61.0, 260.0, 202.5)","(4.8, 7.4, 7.333333333333334)","(31.0, 140.0, 124.54545454545455)"
14-12-2022 13:41:17.785629,"(2.3, 2.68, 2.6413402061855673)","(101.0, 720.0, 582.5)","(19.0, 25.0, 22.23076923076923)","(41.0, 55.0, 50.666666666666664)","(2.7, 3.5, 3.3312500000000003)","(14.0, 21.0, 20.285714285714285)","(51.0, 70.0, 68.84615384615384)","(61.0, 250.0, 160.0)","(4.8, 7.4, 7.366666666666667)","(31.0, 140.0, 124.54545454545455)"
14-12-2022 13:41:19.486236,"(2.3, 2.68, 2.6413402061855673)","(101.0, 720.0, 582.5)","(19.0, 25.0, 22.23076923076923)","(41.0, 55.0, 50.666666666666664)","(2.7, 3.5, 3.3312500000000003)","(14.0, 21.0, 20.285714285714285)","(51.0, 70.0, 68.84615384615384)","(61.0, 260.0, 160.0)","(4.8, 7.4, 7.366666666666667)","(31.0, 140.0, 124.54545454545455)"
14-12-2022 13:41:21.028561,"(2.3, 2.68, 2.6413402061855673)","(101.0, 720.0, 582.5)","(19.0, 25.0, 22.23076923076923)","(41.0, 55.0, 50.666666666666664)","(2.7, 3.5, 3.3312500000000003)","(14.0, 21.0, 20.285714285714285)","(51.0, 70.0, 68.84615384615384)","(61.0, 260.0, 160.0)","(4.8, 7.4, 7.366666666666667)","(31.0, 140.0, 124.54545454545455)"
14-12-2022 13:41:22.478781,"(2.3, 2.68, 2.6413402061855673)","(101.0, 720.0, 582.5)","(19.0, 25.0, 22.23076923076923)","(41.0, 55.0, 50.666666666666664)","(2.7, 3.5, 3.2954545454545454)","(14.0, 21.0, 20.444444444444443)","(51.0, 70.0, 68.84615384615384)","(61.0, 260.0, 160.0)","(4.8, 7.4, 7.366666666666667)","(31.0, 140.0, 117.14285714285714)"
14-12-2022 13:41:24.020468,"(2.3, 2.68, 2.6413402061855673)","(101.0, 720.0, 582.5)","(19.0, 25.0, 22.24)","(41.0, 55.0, 50.666666666666664)","(2.7, 3.5, 3.2954545454545454)","(14.0, 21.0, 20.444444444444443)","(51.0, 70.0, 68.84615384615384)","(61.0, 260.0, 160.0)","(4.8, 7.4, 7.366666666666667)","(31.0, 140.0, 117.14285714285714)"
14-12-2022 13:41:25.699766,"(2.3, 2.68, 2.6413402061855673)","(101.0, 720.0, 582.5)","(19.0, 25.0, 22.24)","(41.0, 55.0, 50.666666666666664)","(2.7, 3.5, 3.2954545454545454)","(14.0, 21.0, 20.444444444444443)","(51.0, 70.0, 68.84615384615384)","(61.0, 260.0, 160.0)","(4.8, 7.4, 7.366666666666667)","(31.0, 140.0, 117.14285714285714)"
