,What A Tart,Golden Lassie,Light Hearted,Jungle Goddess,Bend The Knee,Cascabria,Leading Indicator,Lil Sister Lou,Salt On The Rim,Westlodge Intrigue
14-12-2022 12:59:31.495061,"(21.0, 44.0, 38.333333333333336)","(5.0, 5.9, 5.713793103448276)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.0, 7.825)","(10.0, 14.0, 13.6)","(17.0, 48.0, 40.0)","(4.6, 5.8, 5.608695652173913)","(11.0, 19.5, 18.3)","(16.0, 34.0, 28.2)","(3.2, 3.7, 3.6333333333333333)"
14-12-2022 12:59:33.446921,"(21.0, 44.0, 31.2)","(5.0, 5.9, 5.532258064516129)","(31.0, 120.0, 83.0)","(6.5, 8.0, 7.7)","(10.0, 14.0, 13.5)","(17.0, 48.0, 40.0)","(4.6, 5.8, 5.640000000000001)","(11.0, 19.5, 18.75)","(16.0, 34.0, 28.2)","(3.2, 3.65, 3.6125)"
14-12-2022 12:59:35.055895,"(21.0, 44.0, 31.2)","(5.0, 5.9, 5.532258064516129)","(31.0, 120.0, 83.0)","(6.5, 8.0, 7.817391304347826)","(10.0, 15.0, 13.5)","(17.0, 48.0, 40.0)","(4.6, 5.7, 5.660869565217391)","(11.0, 20.0, 18.75)","(16.0, 34.0, 28.2)","(3.2, 3.65, 3.532142857142857)"
14-12-2022 12:59:36.774182,"(21.0, 44.0, 31.2)","(5.0, 5.9, 5.532258064516129)","(31.0, 120.0, 83.0)","(6.5, 8.0, 7.817391304347826)","(10.0, 15.0, 13.5)","(17.0, 48.0, 40.0)","(4.6, 5.7, 5.660869565217391)","(11.0, 20.0, 18.214285714285715)","(16.0, 34.0, 28.2)","(3.2, 3.65, 3.61)"
14-12-2022 12:59:38.630370,"(21.0, 44.0, 31.2)","(5.0, 5.9, 5.566666666666666)","(31.0, 120.0, 83.0)","(6.5, 8.0, 8.26896551724138)","(10.0, 15.0, 14.3125)","(17.0, 48.0, 44.44444444444444)","(4.6, 5.7, 5.655)","(11.0, 20.0, 18.90625)","(16.0, 34.0, 22.333333333333336)","(3.2, 3.7, 3.6142857142857143)"
14-12-2022 12:59:40.279077,"(21.0, 44.0, 31.2)","(5.0, 5.9, 5.566666666666666)","(31.0, 120.0, 83.0)","(6.5, 8.6, 8.529411764705882)","(10.0, 14.5, 14.3125)","(17.0, 48.0, 44.0)","(4.6, 5.7, 5.655)","(11.0, 20.0, 18.75)","(16.0, 34.0, 23.25)","(3.2, 3.7, 3.5595744680851062)"
14-12-2022 12:59:41.937033,"(21.0, 44.0, 30.77777777777778)","(5.0, 5.9, 5.55)","(31.0, 120.0, 83.0)","(6.5, 8.6, 8.466666666666667)","(10.0, 14.5, 14.3125)","(17.0, 48.0, 44.0)","(4.6, 5.7, 5.655)","(11.0, 20.0, 18.75)","(16.0, 32.0, 29.083333333333332)","(3.2, 3.7, 3.567307692307692)"
14-12-2022 12:59:43.409791,"(21.0, 44.0, 30.77777777777778)","(5.0, 5.9, 5.55)","(31.0, 120.0, 83.0)","(6.5, 8.6, 8.466666666666667)","(10.0, 14.5, 14.3125)","(17.0, 48.0, 44.0)","(4.6, 5.7, 5.655)","(11.0, 20.0, 18.75)","(16.0, 32.0, 29.083333333333332)","(3.2, 3.7, 3.567307692307692)"
14-12-2022 12:59:44.824960,"(21.0, 44.0, 31.25)","(5.0, 5.9, 5.55)","(31.0, 120.0, 83.0)","(6.5, 8.4, 8.0)","(10.0, 15.0, 14.4)","(17.0, 48.0, 44.0)","(4.6, 5.7, 5.618181818181818)","(11.0, 20.0, 18.75)","(16.0, 32.0, 21.846153846153847)","(3.2, 3.7, 3.604166666666667)"
14-12-2022 12:59:46.303755,"(21.0, 44.0, 31.25)","(5.0, 5.9, 5.55)","(31.0, 120.0, 83.0)","(6.5, 8.4, 8.0)","(10.0, 15.0, 14.4)","(17.0, 48.0, 44.0)","(4.6, 5.7, 5.618181818181818)","(11.0, 20.0, 18.75)","(16.0, 32.0, 21.846153846153847)","(3.2, 3.7, 3.604166666666667)"
14-12-2022 12:59:47.944678,"(21.0, 44.0, 31.25)","(5.0, 5.9, 5.55)","(31.0, 120.0, 83.0)","(6.5, 8.4, 8.0)","(10.0, 15.0, 14.4)","(17.0, 48.0, 44.0)","(4.6, 5.7, 5.618181818181818)","(11.0, 20.0, 18.75)","(16.0, 32.0, 21.846153846153847)","(3.2, 3.7, 3.604166666666667)"
14-12-2022 12:59:49.525837,"(21.0, 44.0, 31.25)","(5.0, 5.9, 5.55)","(31.0, 120.0, 83.0)","(6.5, 8.4, 8.0)","(10.0, 15.0, 14.0)","(17.0, 48.0, 44.0)","(4.6, 5.7, 5.660869565217391)","(11.0, 20.0, 17.857142857142858)","(16.0, 32.0, 24.8)","(3.2, 3.7, 3.562)"
14-12-2022 12:59:51.117602,"(21.0, 44.0, 31.25)","(5.0, 5.8, 5.666666666666666)","(31.0, 120.0, 83.0)","(6.5, 8.4, 8.0)","(10.0, 14.5, 14.5)","(17.0, 48.0, 44.8)","(4.6, 5.7, 5.670967741935484)","(11.0, 19.5, 18.5)","(16.0, 28.0, 21.333333333333332)","(3.2, 3.65, 3.6166666666666667)"
14-12-2022 12:59:52.669581,"(21.0, 44.0, 38.333333333333336)","(5.0, 5.8, 5.5115384615384615)","(31.0, 120.0, 83.0)","(6.5, 8.4, 7.777777777777778)","(10.0, 15.0, 14.5)","(17.0, 48.0, 44.8)","(4.6, 5.7, 5.670967741935484)","(11.0, 19.5, 18.5)","(16.0, 28.0, 21.333333333333332)","(3.2, 3.65, 3.4884615384615385)"
14-12-2022 12:59:54.158793,"(21.0, 42.0, 33.0)","(5.0, 5.8, 5.425)","(31.0, 120.0, 83.0)","(6.5, 8.4, 7.723076923076923)","(10.0, 15.0, 14.5)","(17.0, 48.0, 44.8)","(4.6, 5.7, 5.670967741935484)","(11.0, 19.5, 18.071428571428573)","(16.0, 28.0, 26.0)","(3.2, 3.65, 3.4884615384615385)"
14-12-2022 12:59:55.671648,"(21.0, 42.0, 33.0)","(5.0, 5.8, 5.425)","(31.0, 120.0, 83.0)","(6.5, 8.4, 7.723076923076923)","(10.0, 15.0, 14.5)","(17.0, 48.0, 44.8)","(4.6, 5.7, 5.670967741935484)","(11.0, 19.5, 18.071428571428573)","(16.0, 28.0, 21.666666666666668)","(3.2, 3.65, 3.4884615384615385)"
14-12-2022 12:59:57.171985,"(21.0, 42.0, 35.57142857142857)","(5.0, 5.8, 5.565625)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 7.723076923076923)","(10.0, 15.0, 14.73913043478261)","(17.0, 48.0, 44.44444444444444)","(4.6, 5.7, 6.11875)","(11.0, 19.5, 17.714285714285715)","(16.0, 28.0, 26.18181818181818)","(3.2, 3.65, 3.4806451612903224)"
14-12-2022 12:59:58.638302,"(21.0, 42.0, 35.14285714285714)","(5.0, 5.8, 5.565625)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 7.723076923076923)","(10.0, 15.0, 14.0)","(17.0, 48.0, 44.0)","(4.6, 6.4, 5.8)","(11.0, 19.5, 17.714285714285715)","(16.0, 28.0, 21.333333333333332)","(3.2, 3.65, 3.454651162790698)"
14-12-2022 13:00:00.243271,"(21.0, 40.0, 33.5)","(5.0, 5.8, 5.565625)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 7.723076923076923)","(10.0, 14.5, 14.0)","(17.0, 48.0, 44.0)","(4.6, 6.2, 5.72)","(11.0, 19.5, 18.25)","(16.0, 27.0, 21.333333333333332)","(3.2, 3.65, 3.454651162790698)"
14-12-2022 13:00:01.726859,"(21.0, 40.0, 29.88888888888889)","(5.0, 5.8, 5.6)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 7.688888888888888)","(10.0, 14.5, 14.0)","(18.0, 48.0, 44.0)","(4.6, 6.2, 5.96)","(11.0, 19.5, 19.045454545454547)","(16.0, 27.0, 23.90909090909091)","(3.2, 3.65, 3.466666666666667)"
