,Big Time Raider,Waiting Game,Hes Iconic,Big Time Foxy,Go Royce,Allegro Ticker
14-12-2022 11:56:47.079090,"(1.22, 1.35, 1.334318181818182)","(31.0, 330.0, 271.1666666666667)","(11.0, 25.0, 19.0)","(15.0, 130.0, 43.75)","(6.5, 9.8, 8.0)","(8.5, 32.0, 22.5)"
14-12-2022 11:56:48.069452,"(1.22, 1.34, 1.334318181818182)","(31.0, 320.0, 271.1666666666667)","(11.0, 25.0, 19.0)","(15.0, 130.0, 43.75)","(6.5, 9.8, 8.0)","(8.5, 32.0, 22.5)"
14-12-2022 11:56:49.082128,"(1.22, 1.34, 1.334318181818182)","(31.0, 320.0, 271.1666666666667)","(11.0, 25.0, 19.0)","(15.0, 130.0, 43.75)","(6.5, 9.8, 8.0)","(8.5, 32.0, 22.5)"
14-12-2022 11:56:50.065466,"(1.22, 1.34, 1.334318181818182)","(31.0, 320.0, 271.1666666666667)","(11.0, 25.0, 19.0)","(15.0, 130.0, 43.75)","(6.5, 9.8, 8.0)","(8.5, 32.0, 22.5)"
14-12-2022 11:56:50.983060,"(1.22, 1.34, 1.334318181818182)","(31.0, 320.0, 271.1666666666667)","(11.0, 25.0, 19.0)","(15.0, 130.0, 43.75)","(6.5, 9.8, 8.0)","(8.5, 32.0, 22.5)"
14-12-2022 11:56:51.879081,"(1.22, 1.34, 1.334318181818182)","(31.0, 320.0, 271.1666666666667)","(11.0, 25.0, 19.0)","(15.0, 130.0, 43.75)","(6.5, 9.8, 8.0)","(8.5, 32.0, 22.5)"
14-12-2022 11:56:52.916439,"(1.22, 1.34, 1.334318181818182)","(31.0, 320.0, 271.1666666666667)","(11.0, 25.0, 19.0)","(15.0, 130.0, 43.75)","(6.5, 9.8, 8.0)","(8.5, 32.0, 22.5)"
14-12-2022 11:56:53.978420,"(1.22, 1.34, 1.334318181818182)","(31.0, 320.0, 271.1666666666667)","(11.0, 25.0, 19.0)","(15.0, 130.0, 43.75)","(6.5, 9.8, 8.0)","(8.5, 32.0, 22.5)"
14-12-2022 11:56:54.990015,"(1.22, 1.34, 1.334318181818182)","(31.0, 320.0, 271.1666666666667)","(11.0, 25.0, 19.0)","(15.0, 130.0, 43.75)","(6.5, 9.8, 8.0)","(8.5, 32.0, 22.5)"
14-12-2022 11:56:55.970725,"(1.22, 1.34, 1.334318181818182)","(31.0, 320.0, 271.1666666666667)","(11.0, 25.0, 19.0)","(15.0, 130.0, 43.75)","(6.5, 9.8, 8.0)","(8.5, 32.0, 22.5)"
14-12-2022 11:56:56.925193,"(1.22, 1.34, 1.334318181818182)","(31.0, 320.0, 271.1666666666667)","(11.0, 25.0, 19.0)","(15.0, 130.0, 43.75)","(6.5, 9.8, 8.0)","(8.5, 32.0, 22.5)"
14-12-2022 11:56:57.798469,"(1.22, 1.34, 1.334318181818182)","(31.0, 320.0, 271.1666666666667)","(11.0, 25.0, 19.0)","(15.0, 130.0, 43.75)","(6.5, 9.8, 8.0)","(8.5, 32.0, 22.5)"
14-12-2022 11:56:58.717575,"(1.22, 1.34, 1.334318181818182)","(31.0, 320.0, 271.1666666666667)","(11.0, 25.0, 19.0)","(15.0, 130.0, 43.75)","(6.5, 9.8, 8.0)","(8.5, 32.0, 22.5)"
