,Barbara Ann,Ebony Riot,Aston Samba,Louie Zeus,Reinforcements,Town Rocker,Unleaded Diesel,Ida Nancy
14-12-2022 13:10:15.167920,"(21.0, 75.0, 47.25)","(4.6, 9.0, 5.007142857142857)","(3.2, 3.9, 3.442307692307692)","(51.0, 450.0, 247.0)","(2.15, 3.2, 2.595)","(7.0, 12.5, 10.384615384615385)","(51.0, 410.0, 248.22222222222223)","(14.0, 42.0, 25.75)"
14-12-2022 13:10:16.487041,"(21.0, 75.0, 47.25)","(4.6, 9.0, 5.007142857142857)","(3.2, 3.9, 3.442307692307692)","(51.0, 450.0, 247.0)","(2.15, 3.2, 2.595)","(7.0, 12.5, 10.384615384615385)","(51.0, 410.0, 248.22222222222223)","(14.0, 42.0, 25.75)"
14-12-2022 13:10:17.771202,"(21.0, 75.0, 47.25)","(4.6, 9.0, 5.007142857142857)","(3.2, 3.9, 3.442307692307692)","(51.0, 450.0, 247.0)","(2.15, 3.2, 2.595)","(7.0, 12.5, 10.384615384615385)","(51.0, 410.0, 248.22222222222223)","(14.0, 42.0, 25.75)"
14-12-2022 13:10:18.976741,"(21.0, 75.0, 47.25)","(4.6, 9.0, 5.5875)","(3.2, 3.9, 3.442307692307692)","(51.0, 450.0, 247.0)","(2.15, 3.2, 2.595)","(7.0, 12.5, 8.714285714285715)","(51.0, 410.0, 248.22222222222223)","(14.0, 42.0, 27.555555555555557)"
14-12-2022 13:10:20.139610,"(21.0, 75.0, 47.25)","(4.6, 9.0, 5.5875)","(3.2, 3.9, 3.442307692307692)","(51.0, 450.0, 247.0)","(2.15, 3.2, 2.595)","(7.0, 12.5, 8.714285714285715)","(51.0, 410.0, 248.22222222222223)","(14.0, 42.0, 27.555555555555557)"
14-12-2022 13:10:21.279679,"(21.0, 75.0, 47.25)","(4.6, 9.0, 5.5875)","(3.2, 3.9, 3.442307692307692)","(51.0, 450.0, 247.0)","(2.15, 3.2, 2.595)","(7.0, 12.5, 8.714285714285715)","(51.0, 410.0, 248.22222222222223)","(14.0, 42.0, 27.555555555555557)"
14-12-2022 13:10:22.470271,"(21.0, 75.0, 47.25)","(4.6, 9.0, 5.5875)","(3.2, 3.9, 3.442307692307692)","(51.0, 450.0, 247.0)","(2.15, 3.2, 2.595)","(7.0, 12.5, 8.714285714285715)","(51.0, 410.0, 248.22222222222223)","(14.0, 42.0, 27.555555555555557)"
14-12-2022 13:10:23.620307,"(21.0, 75.0, 47.25)","(4.6, 9.0, 6.27)","(3.2, 3.9, 3.442307692307692)","(51.0, 450.0, 247.0)","(2.15, 3.2, 2.595)","(7.0, 12.5, 8.714285714285715)","(51.0, 410.0, 248.22222222222223)","(14.0, 42.0, 27.555555555555557)"
14-12-2022 13:10:24.810954,"(21.0, 75.0, 47.25)","(4.6, 9.0, 6.27)","(3.2, 3.9, 3.442307692307692)","(51.0, 450.0, 247.0)","(2.15, 3.2, 2.595)","(7.0, 12.5, 8.714285714285715)","(51.0, 410.0, 248.22222222222223)","(14.0, 42.0, 27.555555555555557)"
14-12-2022 13:10:25.961732,"(21.0, 75.0, 47.25)","(4.6, 9.0, 6.27)","(3.2, 3.9, 3.442307692307692)","(51.0, 450.0, 247.0)","(2.15, 3.2, 2.595)","(7.0, 12.5, 8.714285714285715)","(51.0, 410.0, 248.22222222222223)","(14.0, 42.0, 27.555555555555557)"
