,Alcatraz Flash,Django Unleashed,Deceiving,Hooked On Sal,Prince Stimo,Three Putt Par,Cookie Cotton,Time For Tina
14-12-2022 11:54:28.637658,"(4.0, 7.6, 6.822222222222222)","(1.75, 2.34, 1.8723076923076922)","(26.0, 90.0, 45.529411764705884)","(5.5, 11.0, 7.571428571428571)","(21.0, 80.0, 49.44444444444444)","(10.0, 17.5, 13.785714285714285)","(17.0, 55.0, 23.444444444444443)","(13.0, 26.0, 18.8125)"
14-12-2022 11:54:29.726973,"(4.0, 7.6, 6.822222222222222)","(1.75, 2.34, 1.8723076923076922)","(26.0, 90.0, 45.529411764705884)","(5.5, 11.0, 7.571428571428571)","(21.0, 80.0, 49.44444444444444)","(10.0, 17.5, 13.785714285714285)","(17.0, 55.0, 23.444444444444443)","(13.0, 26.0, 18.8125)"
14-12-2022 11:54:30.901350,"(4.0, 7.6, 6.822222222222222)","(1.75, 2.34, 1.8723076923076922)","(26.0, 90.0, 45.529411764705884)","(5.5, 11.0, 7.571428571428571)","(21.0, 80.0, 49.44444444444444)","(10.0, 17.5, 13.785714285714285)","(17.0, 55.0, 23.444444444444443)","(13.0, 26.0, 18.8125)"
14-12-2022 11:54:31.983768,"(4.0, 7.6, 6.822222222222222)","(1.75, 2.34, 1.8723076923076922)","(26.0, 90.0, 45.529411764705884)","(5.5, 11.0, 7.571428571428571)","(21.0, 80.0, 49.44444444444444)","(10.0, 17.5, 13.785714285714285)","(17.0, 55.0, 23.444444444444443)","(13.0, 26.0, 18.8125)"
14-12-2022 11:54:33.027737,"(4.0, 7.6, 6.822222222222222)","(1.75, 2.34, 1.8723076923076922)","(26.0, 90.0, 45.529411764705884)","(5.5, 11.0, 7.571428571428571)","(21.0, 80.0, 49.44444444444444)","(10.0, 17.5, 13.785714285714285)","(17.0, 55.0, 23.444444444444443)","(13.0, 26.0, 18.8125)"
14-12-2022 11:54:34.059270,"(4.0, 7.6, 6.822222222222222)","(1.75, 2.34, 1.8723076923076922)","(26.0, 90.0, 45.529411764705884)","(5.5, 11.0, 7.571428571428571)","(21.0, 80.0, 49.44444444444444)","(10.0, 17.5, 13.785714285714285)","(17.0, 55.0, 23.444444444444443)","(13.0, 26.0, 18.8125)"
14-12-2022 11:54:35.088831,"(4.0, 7.6, 6.822222222222222)","(1.75, 2.34, 1.8723076923076922)","(26.0, 90.0, 45.529411764705884)","(5.5, 11.0, 7.571428571428571)","(21.0, 80.0, 49.44444444444444)","(10.0, 17.5, 13.785714285714285)","(17.0, 55.0, 23.444444444444443)","(13.0, 26.0, 18.8125)"
14-12-2022 11:54:36.118266,"(4.0, 7.6, 6.822222222222222)","(1.75, 2.34, 1.8723076923076922)","(26.0, 90.0, 45.529411764705884)","(5.5, 11.0, 7.571428571428571)","(21.0, 80.0, 49.44444444444444)","(10.0, 17.5, 13.785714285714285)","(17.0, 55.0, 23.444444444444443)","(13.0, 26.0, 18.8125)"
14-12-2022 11:54:37.130890,"(4.0, 7.6, 6.822222222222222)","(1.75, 2.34, 1.8723076923076922)","(26.0, 90.0, 45.529411764705884)","(5.5, 11.0, 7.571428571428571)","(21.0, 80.0, 49.44444444444444)","(10.0, 17.5, 13.785714285714285)","(17.0, 55.0, 23.444444444444443)","(13.0, 26.0, 18.8125)"
14-12-2022 11:54:38.434400,"(4.0, 7.6, 6.822222222222222)","(1.75, 2.34, 1.8723076923076922)","(26.0, 90.0, 45.529411764705884)","(5.5, 11.0, 7.571428571428571)","(21.0, 80.0, 49.44444444444444)","(10.0, 17.5, 13.785714285714285)","(17.0, 55.0, 23.444444444444443)","(13.0, 26.0, 18.8125)"
