,War Hammer,Banebridge,Bundy Bounce,Hooked On Prissy,Simply Orson,Sketchy In By,Nulas Girl,What A Knight
14-12-2022 12:37:46.248049,"(4.8, 6.8, 5.815384615384615)","(2.4, 3.75, 3.584)","(17.0, 48.0, 43.083333333333336)","(2.6, 2.94, 2.8392)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 7.188888888888889)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:37:47.358761,"(4.8, 6.8, 5.815384615384615)","(2.4, 3.75, 3.584)","(17.0, 48.0, 43.083333333333336)","(2.6, 2.94, 2.8392)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 7.188888888888889)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:37:48.515128,"(4.8, 6.8, 5.815384615384615)","(2.4, 3.75, 3.584)","(17.0, 48.0, 43.083333333333336)","(2.6, 2.94, 2.8392)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 7.188888888888889)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:37:49.710088,"(4.8, 6.8, 5.815384615384615)","(2.4, 3.75, 3.584)","(17.0, 48.0, 43.083333333333336)","(2.6, 2.94, 2.8392)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 7.188888888888889)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:37:50.757095,"(4.8, 6.8, 5.815384615384615)","(2.4, 3.75, 3.584)","(17.0, 48.0, 43.083333333333336)","(2.6, 2.94, 2.8392)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 7.188888888888889)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:37:51.835009,"(4.8, 6.8, 5.815384615384615)","(2.4, 3.75, 3.584)","(17.0, 48.0, 43.083333333333336)","(2.6, 2.94, 2.8392)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 7.188888888888889)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:37:52.900848,"(4.8, 6.8, 5.815384615384615)","(2.4, 3.75, 3.584)","(17.0, 48.0, 43.083333333333336)","(2.6, 2.94, 2.8392)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 7.188888888888889)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:37:54.051064,"(4.8, 6.8, 5.815384615384615)","(2.4, 3.75, 3.584)","(17.0, 48.0, 43.083333333333336)","(2.6, 2.94, 2.8392)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 7.188888888888889)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:37:55.279609,"(4.8, 6.8, 5.815384615384615)","(2.4, 3.75, 3.584)","(17.0, 48.0, 43.083333333333336)","(2.6, 2.94, 2.8392)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 7.188888888888889)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:37:56.407827,"(4.8, 6.8, 5.815384615384615)","(2.4, 3.75, 3.584)","(17.0, 48.0, 43.083333333333336)","(2.6, 2.94, 2.8392)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 7.188888888888889)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:37:57.621760,"(4.8, 6.8, 5.815384615384615)","(2.4, 3.75, 3.584)","(17.0, 48.0, 43.083333333333336)","(2.6, 2.94, 2.8392)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 7.188888888888889)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:37:58.823968,"(4.8, 6.8, 5.815384615384615)","(2.4, 3.75, 3.584)","(17.0, 48.0, 43.083333333333336)","(2.6, 2.94, 2.8392)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 7.188888888888889)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:37:59.981529,"(4.8, 6.6, 5.7384615384615385)","(2.4, 3.75, 3.5525)","(17.0, 48.0, 43.083333333333336)","(2.6, 2.94, 2.7857142857142856)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 7.188888888888889)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:01.226475,"(4.8, 6.6, 5.7384615384615385)","(2.4, 3.75, 3.5525)","(17.0, 48.0, 43.083333333333336)","(2.6, 2.94, 2.7857142857142856)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 7.188888888888889)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:02.375207,"(4.8, 6.6, 5.7384615384615385)","(2.4, 3.75, 3.5525)","(17.0, 48.0, 43.083333333333336)","(2.6, 2.94, 2.7857142857142856)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 7.188888888888889)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:03.441947,"(4.8, 6.6, 5.7384615384615385)","(2.4, 3.75, 3.5525)","(17.0, 48.0, 43.083333333333336)","(2.6, 2.94, 2.8499999999999996)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 7.188888888888889)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:04.525757,"(4.8, 6.6, 5.7384615384615385)","(2.4, 3.75, 3.5525)","(17.0, 48.0, 43.083333333333336)","(2.6, 2.94, 2.8499999999999996)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 6.766666666666667)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:05.541378,"(4.8, 6.6, 5.7384615384615385)","(2.4, 3.75, 3.6622222222222223)","(17.0, 48.0, 43.083333333333336)","(2.6, 2.94, 2.8499999999999996)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 6.766666666666667)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:06.598610,"(4.8, 6.6, 5.7384615384615385)","(2.4, 3.75, 3.6622222222222223)","(17.0, 48.0, 43.083333333333336)","(2.6, 2.94, 2.8499999999999996)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 6.766666666666667)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:07.721547,"(4.8, 6.6, 5.7384615384615385)","(2.4, 3.75, 3.6622222222222223)","(17.0, 48.0, 43.083333333333336)","(2.6, 2.94, 2.8499999999999996)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 6.314285714285714)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:08.738429,"(4.8, 6.6, 5.7384615384615385)","(2.4, 3.75, 3.6622222222222223)","(17.0, 48.0, 43.083333333333336)","(2.6, 2.94, 2.8499999999999996)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 6.5)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:09.917601,"(4.8, 6.6, 5.7384615384615385)","(2.4, 3.75, 3.6622222222222223)","(17.0, 48.0, 43.083333333333336)","(2.6, 2.94, 2.8499999999999996)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 5.825)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:11.309417,"(4.8, 6.6, 5.7384615384615385)","(2.4, 3.75, 3.6622222222222223)","(17.0, 48.0, 42.1)","(2.6, 2.94, 2.8499999999999996)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 6.430769230769231)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:12.533353,"(4.8, 6.6, 5.7384615384615385)","(2.4, 3.75, 3.6622222222222223)","(17.0, 48.0, 33.5)","(2.6, 2.94, 2.8499999999999996)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 6.430769230769231)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:13.709768,"(4.8, 6.6, 5.7384615384615385)","(2.4, 3.75, 3.6622222222222223)","(17.0, 48.0, 33.5)","(2.6, 2.94, 2.8499999999999996)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 5.975)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:14.990232,"(4.8, 6.6, 5.7384615384615385)","(2.4, 3.75, 3.6622222222222223)","(17.0, 48.0, 33.5)","(2.6, 2.94, 2.8499999999999996)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 6.133333333333334)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:16.029398,"(4.8, 6.6, 5.7384615384615385)","(2.4, 3.75, 3.6622222222222223)","(17.0, 48.0, 33.5)","(2.6, 2.94, 2.8499999999999996)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 6.133333333333334)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:17.027136,"(4.8, 6.6, 5.7384615384615385)","(2.4, 3.75, 3.6622222222222223)","(17.0, 48.0, 42.1)","(2.6, 2.94, 2.8499999999999996)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 6.257142857142857)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:18.017176,"(4.8, 6.6, 5.7384615384615385)","(2.4, 3.75, 3.6622222222222223)","(17.0, 48.0, 33.75)","(2.6, 2.94, 2.8499999999999996)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 6.257142857142857)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:19.050858,"(4.8, 6.6, 5.7384615384615385)","(2.4, 3.75, 3.6622222222222223)","(17.0, 48.0, 33.75)","(2.6, 2.94, 2.8499999999999996)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 6.257142857142857)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:20.048353,"(4.8, 6.6, 5.7384615384615385)","(2.4, 3.75, 3.6622222222222223)","(17.0, 48.0, 33.75)","(2.6, 2.94, 2.8499999999999996)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 6.257142857142857)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:21.071183,"(4.8, 6.6, 5.7384615384615385)","(2.4, 3.75, 3.6622222222222223)","(17.0, 48.0, 33.75)","(2.6, 2.94, 2.8499999999999996)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 6.257142857142857)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:22.132033,"(4.8, 6.4, 5.800000000000001)","(2.4, 3.75, 3.6666666666666665)","(17.0, 48.0, 33.75)","(2.6, 2.94, 2.8707692307692305)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 6.257142857142857)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:23.233761,"(4.8, 6.4, 5.800000000000001)","(2.4, 3.75, 3.6666666666666665)","(17.0, 48.0, 33.75)","(2.6, 2.94, 2.8707692307692305)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 6.7)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:24.389562,"(4.8, 6.4, 5.800000000000001)","(2.4, 3.75, 3.642857142857143)","(17.0, 48.0, 33.75)","(2.6, 2.94, 2.8971428571428572)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 6.7)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:25.590868,"(4.8, 6.4, 5.800000000000001)","(2.4, 3.75, 3.6)","(17.0, 48.0, 33.75)","(2.6, 2.94, 2.9066666666666667)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 6.257142857142857)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:26.660303,"(4.8, 6.4, 5.800000000000001)","(2.4, 3.75, 3.6)","(17.0, 48.0, 33.75)","(2.6, 2.94, 2.882857142857143)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 6.7)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:27.773664,"(4.8, 6.4, 5.800000000000001)","(2.4, 3.75, 3.6)","(17.0, 48.0, 33.75)","(2.6, 2.94, 2.882857142857143)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 6.257142857142857)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
14-12-2022 12:38:28.881819,"(4.8, 6.4, 5.800000000000001)","(2.4, 3.75, 3.6)","(17.0, 48.0, 33.75)","(2.6, 2.94, 2.7800000000000002)","(101.0, 650.0, 588.8888888888889)","(5.0, 7.4, 6.566666666666666)","(51.0, 390.0, 145.76470588235293)","(31.0, 110.0, 74.23529411764706)"
