,Krafty Boy,Kezzamac,The Hustler Nz,Tulhurst Writer,Bomani,Shanerra Star Nz,A Rocknroll Star Nz,Roll The Seven,Tulhurst Terror,Shannonsideal
14-12-2022 18:45:18.751161,"(71.0, 340.0, 210.0)","(4.4, 4.3, 4.126666666666666)","(3.4, 99999, 99990)","(21.0, 55.0, 32.5)","(16.0, 25.0, 23.5)","(3.7, 99999, 99990)","(15.0, 99999, 99990)","(9.0, 13.5, 11.35)","(8.5, 14.5, 13.657142857142857)","(12.0, 25.0, 21.09375)"
14-12-2022 18:45:20.402447,"(71.0, 330.0, 210.0)","(4.4, 4.5, 4.304651162790698)","(3.4, 99999, 99990)","(21.0, 55.0, 32.5)","(16.0, 25.0, 20.285714285714285)","(3.7, 99999, 99990)","(15.0, 99999, 99990)","(9.0, 13.5, 11.040000000000001)","(8.5, 14.5, 13.025)","(12.0, 25.0, 19.545454545454547)"
14-12-2022 18:45:21.637390,"(71.0, 330.0, 210.0)","(4.4, 4.5, 4.304651162790698)","(3.4, 99999, 99990)","(21.0, 55.0, 32.5)","(16.0, 25.0, 22.666666666666664)","(3.7, 99999, 99990)","(15.0, 99999, 99990)","(9.0, 13.5, 11.040000000000001)","(8.5, 14.5, 13.025)","(12.0, 25.0, 19.545454545454547)"
14-12-2022 18:45:22.755823,"(71.0, 320.0, 252.0)","(4.4, 4.5, 4.304651162790698)","(3.4, 99999, 99990)","(21.0, 55.0, 32.5)","(16.0, 24.0, 22.666666666666664)","(3.7, 99999, 99990)","(15.0, 99999, 99990)","(9.0, 13.5, 11.040000000000001)","(8.5, 14.5, 13.025)","(12.0, 25.0, 19.545454545454547)"
14-12-2022 18:45:23.944586,"(71.0, 310.0, 203.33333333333334)","(4.4, 4.5, 4.126666666666666)","(3.4, 99999, 99990)","(21.0, 55.0, 32.5)","(16.0, 22.0, 21.0)","(3.7, 99999, 99990)","(15.0, 99999, 99990)","(9.0, 13.5, 11.040000000000001)","(8.5, 14.5, 13.025)","(12.0, 25.0, 19.545454545454547)"
14-12-2022 18:45:25.109807,"(71.0, 300.0, 240.0)","(4.4, 4.5, 4.170588235294117)","(3.4, 99999, 99990)","(21.0, 55.0, 28.75)","(16.0, 22.0, 21.0)","(3.7, 99999, 99990)","(15.0, 99999, 99990)","(9.0, 13.5, 12.0375)","(8.5, 14.5, 12.871428571428572)","(12.0, 25.0, 19.25)"
14-12-2022 18:45:26.431490,"(71.0, 300.0, 240.0)","(4.4, 4.3, 4.135294117647058)","(3.4, 99999, 99990)","(21.0, 55.0, 28.75)","(16.0, 22.0, 21.0)","(3.7, 99999, 99990)","(15.0, 99999, 99990)","(9.0, 13.5, 12.123529411764705)","(8.5, 14.5, 12.871428571428572)","(12.0, 25.0, 20.208333333333336)"
14-12-2022 18:45:27.663371,"(71.0, 300.0, 240.0)","(4.4, 4.3, 4.113333333333333)","(3.4, 99999, 99990)","(21.0, 55.0, 28.75)","(16.0, 22.0, 21.0)","(3.7, 99999, 99990)","(15.0, 99999, 99990)","(9.0, 13.5, 12.123529411764705)","(8.5, 14.5, 12.666666666666666)","(12.0, 25.0, 20.208333333333336)"
14-12-2022 18:45:28.850009,"(71.0, 300.0, 240.0)","(4.4, 4.3, 4.126666666666666)","(3.4, 99999, 99990)","(21.0, 55.0, 28.75)","(16.0, 22.0, 21.0)","(3.7, 99999, 99990)","(15.0, 99999, 99990)","(9.0, 13.5, 11.280000000000001)","(8.5, 14.5, 12.666666666666666)","(12.0, 25.0, 20.208333333333336)"
14-12-2022 18:45:30.153159,"(71.0, 300.0, 240.0)","(4.4, 4.5, 4.126666666666666)","(3.4, 99999, 99990)","(21.0, 55.0, 28.333333333333332)","(16.0, 22.0, 21.0)","(3.7, 99999, 99990)","(15.0, 99999, 99990)","(9.0, 13.5, 12.575)","(8.5, 14.5, 13.0)","(12.0, 25.0, 20.208333333333336)"
