,Tessa Orchid,Princess Gypsy,Little Zambora,Lala Ultra Fast,River Matt,Super Bob,Holtorf Bale,Vitnell Bale
14-12-2022 13:37:34.783169,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 10.5)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 60.0, 34.666666666666664)"
14-12-2022 13:37:35.971579,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 10.5)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 60.0, 34.666666666666664)"
14-12-2022 13:37:37.203157,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 10.5)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 60.0, 34.666666666666664)"
14-12-2022 13:37:38.408270,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 10.5)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 60.0, 34.666666666666664)"
14-12-2022 13:37:39.640661,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 10.5)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 60.0, 34.666666666666664)"
14-12-2022 13:37:40.899783,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 10.5)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 60.0, 34.666666666666664)"
14-12-2022 13:37:42.139512,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 10.5)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 60.0, 34.666666666666664)"
14-12-2022 13:37:43.320331,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 10.5)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 60.0, 34.666666666666664)"
14-12-2022 13:37:44.552317,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 10.5)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 60.0, 34.666666666666664)"
14-12-2022 13:37:45.963323,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 10.5)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 60.0, 37.22222222222222)"
14-12-2022 13:37:47.603311,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 10.5)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 60.0, 39.44444444444444)"
14-12-2022 13:37:49.079071,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 10.5)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:37:50.432804,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 10.5)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:37:51.939271,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 10.5)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:37:53.412488,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 10.5)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:37:54.798668,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 10.5)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:37:56.095690,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 10.5)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:37:57.416696,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 10.5)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:37:58.720592,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 10.5)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:00.078518,"(12.0, 26.0, 15.285714285714285)","(8.0, 11.5, 9.5)","(6.0, 12.5, 10.466666666666667)","(6.0, 12.0, 10.5)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.7380645161290325)","(4.8, 8.8, 8.257142857142858)","(21.0, 65.0, 39.44444444444444)"
