,Field Regiment,Mishani Conman,Nic Me Some,Ascot Express,Alert And Ready,Ginger Rock
15-12-2022 15:23:01.900501,"(2.4, 2.84, 2.79)","(7.5, 10.5, 9.7125)","(5.0, 7.6, 7.0285714285714285)","(9.0, 14.5, 12.25)","(6.0, 99999, 99990)","(4.6, 5.4, 5.0)"
15-12-2022 15:23:03.052295,"(2.4, 2.84, 2.79)","(7.5, 10.5, 9.7125)","(5.0, 7.6, 7.0285714285714285)","(9.0, 14.5, 12.25)","(6.0, 99999, 99990)","(4.6, 5.4, 5.0)"
15-12-2022 15:23:04.139754,"(2.4, 2.84, 2.79)","(7.5, 10.5, 9.7125)","(5.0, 7.6, 7.0285714285714285)","(9.0, 14.5, 12.25)","(6.0, 99999, 99990)","(4.6, 5.4, 5.0)"
15-12-2022 15:23:05.180658,"(2.4, 2.84, 2.79)","(7.5, 10.5, 9.7125)","(5.0, 7.6, 7.0285714285714285)","(9.0, 14.5, 12.25)","(6.0, 99999, 99990)","(4.6, 5.4, 5.0)"
15-12-2022 15:23:06.249198,"(2.4, 2.84, 2.79)","(7.5, 10.5, 9.7125)","(5.0, 7.6, 7.0285714285714285)","(9.0, 14.5, 12.25)","(6.0, 99999, 99990)","(4.6, 5.4, 5.0)"
15-12-2022 15:23:07.414183,"(2.4, 2.84, 2.79)","(7.5, 10.5, 9.7125)","(5.0, 7.6, 7.0285714285714285)","(9.0, 14.5, 12.25)","(6.0, 99999, 99990)","(4.6, 5.4, 5.0)"
15-12-2022 15:23:08.532058,"(2.4, 2.84, 2.79)","(7.5, 10.5, 9.7125)","(5.0, 7.6, 7.0285714285714285)","(9.0, 14.5, 12.25)","(6.0, 99999, 99990)","(4.6, 5.4, 5.0)"
15-12-2022 15:23:09.637239,"(2.4, 2.84, 2.79)","(7.5, 10.5, 9.7125)","(5.0, 7.6, 7.0285714285714285)","(9.0, 14.5, 12.25)","(6.0, 99999, 99990)","(4.6, 5.4, 5.0)"
15-12-2022 15:23:10.783787,"(2.4, 2.84, 2.79)","(7.5, 10.5, 9.7125)","(5.0, 7.6, 7.0285714285714285)","(9.0, 14.5, 12.25)","(6.0, 99999, 99990)","(4.6, 5.4, 5.0)"
15-12-2022 15:23:11.970963,"(2.4, 2.84, 2.79)","(7.5, 10.5, 9.7125)","(5.0, 7.6, 7.0285714285714285)","(9.0, 14.5, 12.25)","(6.0, 99999, 99990)","(4.6, 5.4, 5.0)"
15-12-2022 15:23:13.267101,"(2.4, 2.84, 2.79)","(7.5, 10.5, 9.7125)","(5.0, 7.6, 7.0285714285714285)","(9.0, 14.5, 12.25)","(6.0, 99999, 99990)","(4.6, 5.4, 5.0)"
15-12-2022 15:23:14.189889,"(2.4, 2.84, 2.79)","(7.5, 10.5, 9.7125)","(5.0, 7.6, 7.0285714285714285)","(9.0, 14.5, 12.25)","(6.0, 99999, 99990)","(4.6, 5.4, 5.0)"
15-12-2022 15:23:15.155930,"(2.4, 2.84, 2.79)","(7.5, 10.5, 9.7125)","(5.0, 7.6, 7.0285714285714285)","(9.0, 14.5, 12.25)","(6.0, 99999, 99990)","(4.6, 5.4, 5.0)"
15-12-2022 15:23:16.234935,"(2.4, 2.84, 2.79)","(7.5, 10.5, 9.7125)","(5.0, 7.6, 7.0285714285714285)","(9.0, 14.5, 12.25)","(6.0, 99999, 99990)","(4.6, 5.4, 5.0)"
