,Knight Walker,Yarraman Markle,Nightwatch Star,Gemmas Express,Lexy Can Bern,Beatboxer,Blissfull Donna,Caesars Rockstar,Neville Shannon
15-12-2022 14:31:04.249115,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.8, 7.800000000000001)","(15.0, 44.0, 23.666666666666664)","(21.0, 70.0, 38.0)"
15-12-2022 14:31:07.078348,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.8, 7.800000000000001)","(15.0, 44.0, 23.666666666666664)","(21.0, 70.0, 38.0)"
15-12-2022 14:31:10.583451,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.8, 7.800000000000001)","(15.0, 44.0, 23.666666666666664)","(21.0, 70.0, 38.0)"
15-12-2022 14:31:12.299519,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.8, 7.800000000000001)","(15.0, 44.0, 23.666666666666664)","(21.0, 70.0, 38.0)"
15-12-2022 14:31:13.877097,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.8, 7.800000000000001)","(15.0, 44.0, 23.666666666666664)","(21.0, 70.0, 38.0)"
15-12-2022 14:31:15.543588,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.8, 7.800000000000001)","(15.0, 44.0, 23.666666666666664)","(21.0, 70.0, 38.0)"
15-12-2022 14:31:17.208256,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.8, 7.800000000000001)","(15.0, 44.0, 23.666666666666664)","(21.0, 70.0, 38.0)"
15-12-2022 14:31:18.961217,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.8, 7.800000000000001)","(15.0, 44.0, 23.666666666666664)","(21.0, 70.0, 38.0)"
15-12-2022 14:31:20.871702,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.8, 7.800000000000001)","(15.0, 44.0, 23.666666666666664)","(21.0, 70.0, 38.0)"
15-12-2022 14:31:22.601930,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.8, 7.800000000000001)","(15.0, 44.0, 23.666666666666664)","(21.0, 70.0, 38.0)"
15-12-2022 14:31:24.175410,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.8, 7.800000000000001)","(15.0, 44.0, 23.666666666666664)","(21.0, 70.0, 38.0)"
15-12-2022 14:31:25.699134,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.8, 7.800000000000001)","(15.0, 44.0, 23.666666666666664)","(21.0, 70.0, 38.0)"
