,Lightning Jack,Bankx Turbo,Amicus Brief,Pirate Rick,Hes A Fine Man,Payster,Sheltowees Bali,Hiding The Brick
15-12-2022 12:25:30.270089,"(31.0, 240.0, 179.14285714285714)","(17.0, 310.0, 69.16666666666666)","(7.0, 95.0, 81.2)","(1.16, 1.32, 1.2664705882352942)","(41.0, 110.0, 76.0)","(41.0, 450.0, 287.6)","(15.0, 60.0, 39.75)","(13.0, 34.0, 23.5)"
15-12-2022 12:25:31.541008,"(31.0, 240.0, 179.14285714285714)","(17.0, 310.0, 69.16666666666666)","(7.0, 95.0, 81.2)","(1.16, 1.32, 1.28)","(41.0, 110.0, 76.0)","(41.0, 450.0, 287.6)","(15.0, 60.0, 39.75)","(13.0, 34.0, 23.5)"
15-12-2022 12:25:32.720947,"(31.0, 240.0, 179.14285714285714)","(17.0, 310.0, 69.16666666666666)","(7.0, 95.0, 81.2)","(1.16, 1.31, 1.28)","(41.0, 110.0, 76.0)","(41.0, 450.0, 287.6)","(15.0, 60.0, 39.75)","(13.0, 34.0, 25.799999999999997)"
15-12-2022 12:25:33.776389,"(31.0, 240.0, 179.14285714285714)","(17.0, 310.0, 69.16666666666666)","(7.0, 95.0, 81.2)","(1.16, 1.31, 1.28)","(41.0, 110.0, 76.0)","(41.0, 450.0, 287.6)","(15.0, 60.0, 39.75)","(13.0, 34.0, 28.142857142857142)"
15-12-2022 12:25:34.800894,"(31.0, 240.0, 179.14285714285714)","(17.0, 310.0, 69.16666666666666)","(7.0, 95.0, 81.2)","(1.16, 1.31, 1.28)","(41.0, 110.0, 76.0)","(41.0, 450.0, 287.6)","(15.0, 60.0, 39.75)","(13.0, 34.0, 28.142857142857142)"
15-12-2022 12:25:35.816583,"(31.0, 240.0, 179.14285714285714)","(17.0, 310.0, 69.16666666666666)","(7.0, 95.0, 81.2)","(1.16, 1.31, 1.28)","(41.0, 110.0, 76.0)","(41.0, 450.0, 287.6)","(15.0, 60.0, 39.75)","(13.0, 34.0, 28.142857142857142)"
15-12-2022 12:25:36.836897,"(31.0, 240.0, 98.66666666666667)","(17.0, 310.0, 69.16666666666666)","(7.0, 95.0, 77.75)","(1.16, 1.31, 1.28)","(41.0, 110.0, 76.0)","(41.0, 450.0, 247.0)","(15.0, 60.0, 39.75)","(13.0, 34.0, 28.142857142857142)"
15-12-2022 12:25:37.894836,"(31.0, 240.0, 98.66666666666667)","(17.0, 310.0, 69.16666666666666)","(7.0, 95.0, 77.75)","(1.16, 1.31, 1.28)","(41.0, 110.0, 76.0)","(41.0, 450.0, 247.0)","(15.0, 60.0, 39.75)","(13.0, 34.0, 28.142857142857142)"
15-12-2022 12:25:39.054059,"(31.0, 240.0, 98.66666666666667)","(17.0, 310.0, 69.16666666666666)","(7.0, 95.0, 77.75)","(1.16, 1.31, 1.28)","(41.0, 110.0, 76.0)","(41.0, 450.0, 247.0)","(15.0, 60.0, 39.75)","(13.0, 34.0, 28.142857142857142)"
15-12-2022 12:25:40.202788,"(31.0, 240.0, 98.66666666666667)","(17.0, 310.0, 69.16666666666666)","(7.0, 95.0, 77.75)","(1.16, 1.31, 1.28)","(41.0, 110.0, 76.0)","(41.0, 450.0, 247.0)","(15.0, 60.0, 39.75)","(13.0, 34.0, 28.142857142857142)"
