,My Girl Mandy,Batman Jujon,Burton,Hollador Daisy,Dollar Bucks,Always Idle,Holme Boy,Kerrie Be,Bling Us Delight
15-12-2022 11:57:51.106116,"(7.0, 12.0, 10.2)","(21.0, 30.0, 27.6)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.142857142857142)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:57:52.402394,"(7.0, 12.0, 10.2)","(21.0, 30.0, 27.6)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.142857142857142)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:57:53.663110,"(7.0, 12.0, 10.2)","(21.0, 30.0, 27.6)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.142857142857142)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:57:54.913037,"(7.0, 12.0, 10.2)","(21.0, 30.0, 27.6)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.142857142857142)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:57:56.150500,"(7.0, 12.0, 10.2)","(21.0, 30.0, 27.6)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.142857142857142)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:57:57.345355,"(7.0, 12.0, 10.2)","(21.0, 30.0, 27.6)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.142857142857142)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:57:58.532119,"(7.0, 12.0, 10.2)","(21.0, 30.0, 27.6)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.142857142857142)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:57:59.729031,"(7.0, 12.0, 10.2)","(21.0, 30.0, 27.6)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.142857142857142)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:00.971219,"(7.0, 12.0, 10.2)","(21.0, 30.0, 27.6)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.142857142857142)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:02.289526,"(7.0, 12.0, 10.2)","(21.0, 30.0, 27.6)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.142857142857142)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:03.531574,"(7.0, 12.0, 10.2)","(21.0, 30.0, 27.6)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.142857142857142)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:04.754032,"(7.0, 12.0, 10.2)","(21.0, 30.0, 27.6)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.142857142857142)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:06.078862,"(7.0, 12.0, 10.2)","(21.0, 30.0, 27.6)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.142857142857142)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:07.341673,"(7.0, 12.0, 10.2)","(21.0, 30.0, 27.6)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.5)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:08.636832,"(7.0, 12.0, 10.2)","(21.0, 30.0, 27.6)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.5)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:09.900929,"(7.0, 12.0, 10.2)","(21.0, 30.0, 27.6)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.5)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:11.135548,"(7.0, 12.0, 10.2)","(21.0, 30.0, 27.6)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.5)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
