,Tiny Zambora,Fabizio,Arturo,Blueberry Danish,Star Kit,Burringbar Gypsy,Velocity Elsie
15-12-2022 10:54:12.528291,"(9.0, 18.5, 16.68)","(2.8, 4.0, 3.183076923076923)","(31.0, 100.0, 44.75)","(10.0, 19.5, 13.166666666666666)","(4.2, 6.8, 4.492857142857143)","(3.1, 4.4, 3.6142857142857143)","(6.5, 14.5, 11.411764705882353)"
15-12-2022 10:54:13.596029,"(9.0, 18.5, 16.68)","(2.8, 4.2, 3.2446153846153845)","(31.0, 100.0, 44.75)","(10.0, 19.5, 13.166666666666666)","(4.2, 6.8, 4.492857142857143)","(3.1, 4.4, 3.6142857142857143)","(6.5, 14.5, 11.411764705882353)"
15-12-2022 10:54:14.641700,"(9.0, 18.5, 16.68)","(2.8, 4.1, 3.1613333333333333)","(31.0, 100.0, 44.75)","(10.0, 19.5, 13.166666666666666)","(4.2, 6.8, 4.492857142857143)","(3.1, 4.4, 3.6142857142857143)","(6.5, 14.5, 11.411764705882353)"
15-12-2022 10:54:15.630898,"(9.0, 18.5, 16.68)","(2.8, 4.1, 3.1613333333333333)","(31.0, 100.0, 44.75)","(10.0, 19.5, 13.166666666666666)","(4.2, 6.8, 4.492857142857143)","(3.1, 4.4, 3.6142857142857143)","(6.5, 14.5, 11.411764705882353)"
15-12-2022 10:54:16.622654,"(9.0, 18.5, 16.68)","(2.8, 4.1, 3.1613333333333333)","(31.0, 100.0, 44.75)","(10.0, 19.5, 13.166666666666666)","(4.2, 6.8, 4.492857142857143)","(3.1, 4.4, 3.6142857142857143)","(6.5, 14.5, 11.411764705882353)"
15-12-2022 10:54:17.618032,"(9.0, 18.5, 16.68)","(2.8, 4.1, 3.1613333333333333)","(31.0, 100.0, 44.75)","(10.0, 19.5, 13.166666666666666)","(4.2, 6.8, 4.492857142857143)","(3.1, 4.4, 3.6142857142857143)","(6.5, 14.5, 11.411764705882353)"
15-12-2022 10:54:18.641682,"(9.0, 18.5, 16.68)","(2.8, 4.1, 3.1613333333333333)","(31.0, 100.0, 44.75)","(10.0, 19.5, 13.166666666666666)","(4.2, 6.8, 4.492857142857143)","(3.1, 4.4, 3.6142857142857143)","(6.5, 14.5, 11.411764705882353)"
15-12-2022 10:54:19.649343,"(9.0, 18.5, 16.68)","(2.8, 4.1, 3.1613333333333333)","(31.0, 100.0, 44.75)","(10.0, 19.5, 13.166666666666666)","(4.2, 6.8, 4.492857142857143)","(3.1, 4.4, 3.6142857142857143)","(6.5, 14.5, 11.411764705882353)"
15-12-2022 10:54:20.642036,"(9.0, 18.5, 16.68)","(2.8, 4.1, 3.1613333333333333)","(31.0, 100.0, 44.75)","(10.0, 19.5, 13.166666666666666)","(4.2, 6.8, 4.492857142857143)","(3.1, 4.4, 3.6142857142857143)","(6.5, 14.5, 11.411764705882353)"
15-12-2022 10:54:21.567036,"(9.0, 18.5, 16.68)","(2.8, 4.1, 3.1613333333333333)","(31.0, 100.0, 44.75)","(10.0, 19.5, 13.166666666666666)","(4.2, 6.8, 4.492857142857143)","(3.1, 4.4, 3.6142857142857143)","(6.5, 14.5, 10.676923076923078)"
15-12-2022 10:54:22.497603,"(9.0, 18.5, 15.533333333333333)","(2.8, 4.0, 3.183076923076923)","(31.0, 100.0, 44.75)","(10.0, 19.5, 13.166666666666666)","(4.2, 6.8, 4.492857142857143)","(3.1, 4.4, 3.6142857142857143)","(6.5, 14.5, 9.530000000000001)"
15-12-2022 10:54:23.517853,"(9.0, 18.5, 15.533333333333333)","(2.8, 4.0, 3.183076923076923)","(31.0, 100.0, 44.75)","(10.0, 19.5, 13.166666666666666)","(4.2, 6.8, 4.492857142857143)","(3.1, 4.4, 3.6142857142857143)","(6.5, 14.5, 9.530000000000001)"
15-12-2022 10:54:24.576359,"(9.0, 18.5, 15.533333333333333)","(2.8, 4.0, 3.183076923076923)","(31.0, 100.0, 44.75)","(10.0, 19.5, 13.166666666666666)","(4.2, 6.8, 4.492857142857143)","(3.1, 4.4, 3.6142857142857143)","(6.5, 14.5, 9.530000000000001)"
15-12-2022 10:54:25.713124,"(9.0, 18.5, 15.533333333333333)","(2.8, 4.0, 3.183076923076923)","(31.0, 100.0, 44.75)","(10.0, 19.5, 13.166666666666666)","(4.2, 6.8, 4.492857142857143)","(3.1, 4.4, 3.6142857142857143)","(6.5, 14.5, 10.10909090909091)"
15-12-2022 10:54:26.753136,"(9.0, 18.5, 16.759999999999998)","(2.8, 4.0, 3.183076923076923)","(31.0, 100.0, 44.75)","(10.0, 19.5, 13.166666666666666)","(4.2, 6.8, 4.492857142857143)","(3.1, 4.4, 3.6142857142857143)","(6.5, 14.5, 10.10909090909091)"
15-12-2022 10:54:27.766919,"(9.0, 18.5, 16.759999999999998)","(2.8, 4.0, 3.183076923076923)","(31.0, 100.0, 44.75)","(10.0, 19.5, 13.166666666666666)","(4.2, 6.8, 4.492857142857143)","(3.1, 4.4, 3.6142857142857143)","(6.5, 14.5, 10.10909090909091)"
15-12-2022 10:54:28.708963,"(9.0, 18.5, 16.759999999999998)","(2.8, 4.0, 3.183076923076923)","(31.0, 100.0, 44.75)","(10.0, 19.5, 13.166666666666666)","(4.2, 6.8, 4.492857142857143)","(3.1, 4.4, 3.6142857142857143)","(6.5, 14.5, 10.10909090909091)"
