,Sudden Comfort,Pay Roll,Tranquil Ben,Stacked Deck,Clover Athena,Modulating
15-12-2022 12:07:35.917432,"(3.5, 5.4, 4.684210526315789)","(3.9, 6.8, 6.346153846153846)","(7.5, 13.0, 12.100000000000001)","(3.0, 4.2, 3.1942857142857144)","(4.6, 8.8, 7.775)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:07:36.805608,"(3.5, 5.4, 4.684210526315789)","(3.9, 6.8, 6.346153846153846)","(7.5, 13.0, 12.100000000000001)","(3.0, 4.2, 3.1942857142857144)","(4.6, 8.8, 7.775)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:07:37.727597,"(3.5, 5.4, 4.684210526315789)","(3.9, 6.8, 6.346153846153846)","(7.5, 13.0, 12.100000000000001)","(3.0, 4.2, 3.1942857142857144)","(4.6, 8.8, 7.775)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:07:38.735020,"(3.5, 5.4, 4.684210526315789)","(3.9, 6.8, 6.346153846153846)","(7.5, 13.0, 12.100000000000001)","(3.0, 4.2, 3.1942857142857144)","(4.6, 8.8, 7.775)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:07:39.697956,"(3.5, 5.4, 4.684210526315789)","(3.9, 6.8, 6.346153846153846)","(7.5, 13.0, 12.100000000000001)","(3.0, 4.2, 3.1942857142857144)","(4.6, 8.8, 7.775)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:07:40.655792,"(3.5, 5.4, 4.684210526315789)","(3.9, 6.8, 6.22)","(7.5, 13.0, 12.100000000000001)","(3.0, 4.2, 3.1942857142857144)","(4.6, 8.6, 5.470588235294118)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:07:41.592928,"(3.5, 5.4, 4.684210526315789)","(3.9, 6.8, 6.22)","(7.5, 13.0, 12.100000000000001)","(3.0, 4.2, 3.1942857142857144)","(4.6, 8.6, 5.470588235294118)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:07:42.444721,"(3.5, 5.4, 4.684210526315789)","(3.9, 6.8, 6.22)","(7.5, 13.0, 12.100000000000001)","(3.0, 4.2, 3.1942857142857144)","(4.6, 8.6, 5.470588235294118)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:07:43.348812,"(3.5, 5.9, 4.506666666666667)","(3.9, 6.8, 6.22)","(7.5, 13.0, 11.44)","(3.0, 4.3, 3.2384615384615385)","(4.6, 8.6, 5.470588235294118)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:07:44.303134,"(3.5, 5.9, 4.506666666666667)","(3.9, 6.8, 6.22)","(7.5, 13.0, 11.44)","(3.0, 4.3, 3.2384615384615385)","(4.6, 8.6, 5.470588235294118)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:07:45.208971,"(3.5, 5.9, 4.506666666666667)","(3.9, 6.8, 6.22)","(7.5, 13.0, 11.44)","(3.0, 4.3, 3.2384615384615385)","(4.6, 8.6, 5.305882352941176)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:07:46.170588,"(3.5, 5.9, 4.506666666666667)","(3.9, 6.8, 6.22)","(7.5, 13.0, 11.44)","(3.0, 4.3, 3.2384615384615385)","(4.6, 8.6, 5.3882352941176475)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:07:47.104980,"(3.5, 5.9, 4.506666666666667)","(3.9, 6.8, 6.22)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.5, 3.2846153846153845)","(4.6, 7.0, 5.466666666666667)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:07:48.033010,"(3.5, 5.9, 4.506666666666667)","(3.9, 6.8, 5.66)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.5, 3.2846153846153845)","(4.6, 7.0, 5.466666666666667)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:07:48.958327,"(3.5, 6.4, 4.69)","(3.9, 6.8, 5.66)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.5, 3.1457142857142855)","(4.6, 7.0, 5.466666666666667)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:07:49.928321,"(3.5, 6.4, 4.69)","(3.9, 6.8, 5.66)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.5, 3.1457142857142855)","(4.6, 7.0, 5.466666666666667)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:07:50.826575,"(3.5, 6.4, 4.69)","(3.9, 6.8, 5.66)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.5, 3.1457142857142855)","(4.6, 7.0, 5.466666666666667)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:07:51.750499,"(3.5, 6.4, 4.69)","(3.9, 6.8, 5.66)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.5, 3.1457142857142855)","(4.6, 7.0, 5.466666666666667)","(19.0, 60.0, 42.94736842105263)"
15-12-2022 12:07:52.682773,"(3.5, 6.4, 4.69)","(3.9, 6.8, 5.62)","(7.5, 14.0, 10.08421052631579)","(3.0, 4.5, 3.1457142857142855)","(4.6, 7.0, 5.466666666666667)","(19.0, 60.0, 42.94736842105263)"
