,Mr Oklahoma City,Legionary,Gist,Hit One Out,Country Brave,Im Crenshaw,Spirit Of Spoatie,Canonize
15-12-2022 13:44:03.686035,"(12.0, 25.0, 19.3)","(4.0, 6.4, 5.975)","(18.0, 95.0, 56.75)","(8.5, 12.5, 9.083333333333334)","(6.5, 9.4, 8.32)","(4.2, 4.7, 4.381818181818182)","(5.0, 5.6, 5.228571428571429)","(8.5, 11.0, 10.28)"
15-12-2022 13:44:05.000832,"(12.0, 25.0, 19.3)","(4.0, 6.2, 5.975)","(18.0, 95.0, 62.42857142857143)","(8.5, 12.5, 9.083333333333334)","(6.5, 9.4, 8.32)","(4.2, 4.7, 4.525)","(5.0, 5.6, 5.228571428571429)","(8.5, 11.0, 10.28)"
15-12-2022 13:44:06.318527,"(12.0, 25.0, 19.3)","(4.0, 6.4, 5.907692307692308)","(18.0, 95.0, 62.42857142857143)","(8.5, 12.5, 9.6)","(6.5, 9.4, 8.32)","(4.2, 4.7, 4.433333333333334)","(5.0, 5.6, 5.28)","(8.5, 11.0, 10.28)"
15-12-2022 13:44:07.619295,"(12.0, 25.0, 19.3)","(4.0, 6.4, 5.907692307692308)","(18.0, 95.0, 62.42857142857143)","(8.5, 12.0, 9.6)","(6.5, 9.4, 8.32)","(4.2, 4.7, 4.515384615384615)","(5.0, 5.6, 5.28)","(8.5, 11.0, 10.28)"
15-12-2022 13:44:08.937993,"(12.0, 25.0, 19.3)","(4.0, 6.4, 5.907692307692308)","(18.0, 95.0, 62.42857142857143)","(8.5, 12.0, 9.6)","(6.5, 9.4, 8.32)","(4.2, 4.7, 4.515384615384615)","(5.0, 5.6, 5.28)","(8.5, 11.0, 10.28)"
15-12-2022 13:44:10.162458,"(12.0, 25.0, 19.3)","(4.0, 6.4, 5.907692307692308)","(18.0, 95.0, 62.42857142857143)","(8.5, 12.0, 9.120000000000001)","(6.5, 9.4, 8.32)","(4.2, 4.7, 4.4)","(5.0, 5.6, 5.28)","(8.5, 11.0, 10.28)"
15-12-2022 13:44:11.436350,"(12.0, 25.0, 19.3)","(4.0, 6.4, 5.476923076923077)","(18.0, 95.0, 62.42857142857143)","(8.5, 12.0, 10.625)","(6.5, 9.4, 8.32)","(4.2, 4.7, 4.4)","(5.0, 5.6, 5.28)","(8.5, 11.0, 10.28)"
15-12-2022 13:44:12.872978,"(12.0, 25.0, 19.3)","(4.0, 6.2, 5.654545454545454)","(18.0, 95.0, 62.857142857142854)","(8.5, 11.5, 10.675)","(6.5, 9.4, 8.32)","(4.2, 4.7, 4.4)","(5.0, 5.6, 5.28)","(8.5, 11.0, 10.28)"
15-12-2022 13:44:14.542406,"(12.0, 25.0, 19.3)","(4.0, 6.2, 5.654545454545454)","(18.0, 95.0, 53.333333333333336)","(8.5, 11.5, 9.492307692307692)","(6.5, 9.4, 7.866666666666666)","(4.2, 4.7, 4.554545454545455)","(5.0, 5.6, 5.28)","(8.5, 11.0, 10.28)"
15-12-2022 13:44:15.893879,"(12.0, 25.0, 19.3)","(4.0, 6.2, 5.3428571428571425)","(18.0, 95.0, 61.36363636363637)","(8.5, 11.0, 10.488888888888889)","(6.5, 9.2, 8.85)","(4.2, 4.7, 4.4)","(5.0, 5.6, 5.45)","(8.5, 11.0, 10.28)"
