,Reliant,Lingering Promise,Palacein,Super Empire,Tiffany Twist,Tacha Gold,Taiga,Peek Factor
15-12-2022 14:31:17.190250,"(6.5, 5.6, 4.6)","(7.5, 21.0, 14.0)","(3.5, 5.2, 6.142857142857142)","(6.0, 22.0, 13.600000000000001)","(4.6, 8.2, 5.314285714285714)","(14.0, 32.0, 23.4)","(10.0, 23.0, 16.742857142857144)","(9.0, 12.5, 6.366666666666666)"
15-12-2022 14:31:18.754167,"(6.5, 5.6, 4.6)","(7.5, 21.0, 14.0)","(3.5, 6.8, 5.1)","(6.0, 22.0, 13.600000000000001)","(4.6, 6.8, 5.8545454545454545)","(14.0, 32.0, 23.4)","(10.0, 23.0, 15.799999999999999)","(9.0, 12.5, 6.366666666666666)"
15-12-2022 14:31:20.327522,"(6.5, 5.6, 4.6)","(7.5, 21.0, 13.7)","(3.5, 6.8, 5.1)","(6.0, 22.0, 13.600000000000001)","(4.6, 6.8, 5.8545454545454545)","(14.0, 32.0, 23.4)","(10.0, 23.0, 15.6)","(9.0, 12.5, 6.366666666666666)"
15-12-2022 14:31:22.160894,"(6.5, 5.6, 5.1499999999999995)","(7.5, 21.0, 13.7)","(3.5, 6.8, 5.1)","(6.0, 22.0, 13.600000000000001)","(4.6, 6.8, 5.8545454545454545)","(14.0, 32.0, 23.4)","(10.0, 23.0, 15.6)","(9.0, 12.5, 6.366666666666666)"
15-12-2022 14:31:23.662171,"(6.5, 5.5, 4.336363636363636)","(7.5, 21.0, 13.7)","(3.5, 6.8, 5.1)","(6.0, 22.0, 13.600000000000001)","(4.6, 6.8, 5.8545454545454545)","(14.0, 32.0, 23.4)","(10.0, 23.0, 15.6)","(9.0, 12.5, 6.366666666666666)"
15-12-2022 14:31:25.062077,"(6.5, 5.5, 4.336363636363636)","(7.5, 21.0, 13.7)","(3.5, 6.8, 5.1)","(6.0, 22.0, 13.600000000000001)","(4.6, 6.8, 5.8545454545454545)","(14.0, 32.0, 23.4)","(10.0, 23.0, 15.6)","(9.0, 12.5, 6.366666666666666)"
15-12-2022 14:31:26.432927,"(6.5, 5.4, 4.65)","(7.5, 21.0, 13.7)","(3.5, 6.8, 5.1)","(6.0, 22.0, 13.600000000000001)","(4.6, 6.8, 5.8545454545454545)","(14.0, 32.0, 23.4)","(10.0, 23.0, 15.6)","(9.0, 12.5, 6.366666666666666)"
15-12-2022 14:31:27.790432,"(6.5, 5.4, 4.65)","(7.5, 21.0, 17.35)","(3.5, 6.6, 5.858823529411765)","(6.0, 22.0, 13.600000000000001)","(4.6, 6.8, 5.8545454545454545)","(14.0, 32.0, 23.4)","(10.0, 23.0, 15.6)","(9.0, 12.5, 6.366666666666666)"
15-12-2022 14:31:29.192002,"(6.5, 5.4, 4.65)","(7.5, 21.0, 17.35)","(3.5, 6.8, 6.321428571428571)","(6.0, 22.0, 13.600000000000001)","(4.6, 6.8, 5.8545454545454545)","(14.0, 32.0, 23.4)","(10.0, 23.0, 15.6)","(9.0, 12.5, 6.366666666666666)"
15-12-2022 14:31:30.576221,"(6.5, 5.4, 4.65)","(7.5, 21.0, 17.35)","(3.5, 6.8, 6.321428571428571)","(6.0, 22.0, 13.600000000000001)","(4.6, 6.8, 5.8545454545454545)","(14.0, 32.0, 23.4)","(10.0, 23.0, 15.6)","(9.0, 12.5, 6.366666666666666)"
15-12-2022 14:31:31.923266,"(6.5, 5.4, 4.65)","(7.5, 21.0, 17.35)","(3.5, 6.8, 6.321428571428571)","(6.0, 22.0, 13.600000000000001)","(4.6, 6.8, 5.8545454545454545)","(14.0, 32.0, 23.4)","(10.0, 23.0, 15.6)","(9.0, 12.5, 6.174418604651163)"
