,Right To Assemble,Lindas Taj,I Love Maria,Varsity Kickline,Gilded Quest,Jaccaci,Tout Ensemble
15-12-2022 10:49:10.651220,"(101.0, 990.0, 602.4000000000001)","(9.0, 24.0, 18.0)","(31.0, 350.0, 175.7)","(12.0, 980.0, 281.1111111111111)","(7.5, 26.0, 14.833333333333334)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.8, 6.65)"
15-12-2022 10:49:11.679582,"(101.0, 610.0, 265.6)","(9.0, 24.0, 20.85)","(31.0, 410.0, 175.7)","(12.0, 490.0, 281.1111111111111)","(7.5, 18.5, 14.833333333333334)","(1.45, 1.69, 1.6829787234042553)","(4.4, 7.8, 6.65)"
15-12-2022 10:49:12.724837,"(101.0, 610.0, 265.6)","(9.0, 24.0, 20.85)","(31.0, 410.0, 175.7)","(12.0, 490.0, 281.1111111111111)","(7.5, 18.5, 14.833333333333334)","(1.45, 1.69, 1.6829787234042553)","(4.4, 7.8, 6.6)"
15-12-2022 10:49:13.779704,"(101.0, 890.0, 377.6)","(9.0, 24.0, 20.85)","(31.0, 410.0, 175.7)","(12.0, 490.0, 281.1111111111111)","(7.5, 18.5, 16.666666666666668)","(1.45, 1.69, 1.6829787234042553)","(4.4, 7.8, 7.0285714285714285)"
15-12-2022 10:49:14.824739,"(101.0, 890.0, 377.6)","(9.0, 24.0, 19.153846153846153)","(31.0, 310.0, 135.7)","(12.0, 490.0, 281.1111111111111)","(7.5, 18.5, 17.4)","(1.45, 1.69, 1.6829787234042553)","(4.4, 7.6, 6.71111111111111)"
15-12-2022 10:49:15.832043,"(101.0, 890.0, 377.6)","(9.0, 24.0, 19.153846153846153)","(31.0, 310.0, 135.7)","(12.0, 490.0, 281.1111111111111)","(7.5, 18.5, 17.4)","(1.45, 1.69, 1.6829787234042553)","(4.4, 7.6, 6.71111111111111)"
15-12-2022 10:49:16.818426,"(101.0, 890.0, 377.6)","(9.0, 24.0, 19.153846153846153)","(31.0, 310.0, 135.7)","(12.0, 490.0, 281.1111111111111)","(7.5, 18.5, 17.4)","(1.45, 1.69, 1.6829787234042553)","(4.4, 7.6, 6.71111111111111)"
15-12-2022 10:49:17.777024,"(101.0, 890.0, 377.6)","(9.0, 24.0, 19.153846153846153)","(31.0, 310.0, 135.7)","(12.0, 490.0, 281.1111111111111)","(7.5, 18.5, 17.4)","(1.45, 1.69, 1.6829787234042553)","(4.4, 7.6, 6.509090909090909)"
15-12-2022 10:49:18.815526,"(101.0, 890.0, 377.6)","(9.0, 24.0, 19.153846153846153)","(31.0, 310.0, 135.7)","(12.0, 490.0, 281.1111111111111)","(7.5, 18.5, 17.4)","(1.45, 1.69, 1.6829787234042553)","(4.4, 7.6, 6.509090909090909)"
15-12-2022 10:49:19.851870,"(101.0, 890.0, 377.6)","(9.0, 24.0, 19.153846153846153)","(31.0, 310.0, 135.7)","(12.0, 490.0, 281.1111111111111)","(7.5, 18.5, 17.4)","(1.45, 1.69, 1.655)","(4.4, 7.6, 6.509090909090909)"
15-12-2022 10:49:20.890756,"(101.0, 890.0, 377.6)","(9.0, 24.0, 19.153846153846153)","(31.0, 310.0, 135.7)","(12.0, 490.0, 281.1111111111111)","(7.5, 18.5, 17.4)","(1.45, 1.69, 1.655)","(4.4, 7.6, 6.509090909090909)"
15-12-2022 10:49:21.940765,"(101.0, 890.0, 377.6)","(9.0, 24.0, 19.153846153846153)","(31.0, 310.0, 135.7)","(12.0, 490.0, 281.1111111111111)","(7.5, 18.5, 16.833333333333332)","(1.45, 1.69, 1.655)","(4.4, 7.6, 6.509090909090909)"
15-12-2022 10:49:22.955245,"(101.0, 890.0, 377.6)","(9.0, 24.0, 19.153846153846153)","(31.0, 310.0, 135.7)","(12.0, 490.0, 281.1111111111111)","(7.5, 18.5, 17.5)","(1.45, 1.69, 1.655)","(4.4, 7.6, 6.509090909090909)"
15-12-2022 10:49:23.946741,"(101.0, 890.0, 377.6)","(9.0, 24.0, 19.153846153846153)","(31.0, 310.0, 135.7)","(12.0, 490.0, 281.1111111111111)","(7.5, 18.5, 17.59090909090909)","(1.45, 1.69, 1.655)","(4.4, 7.6, 6.71111111111111)"
