,Sexy Socks,Excetera,Naughty Natalie,Icy Cape,Acertive Miss,Juliard Honor,Afleet Okie,Chive Up
15-12-2022 13:09:09.961613,"(7.0, 26.0, 16.4)","(8.0, 15.5, 11.0)","(9.0, 19.0, 12.942857142857143)","(9.0, 36.0, 29.25)","(21.0, 230.0, 122.75)","(4.0, 6.6, 4.105882352941177)","(17.0, 180.0, 152.16666666666666)","(2.05, 3.55, 3.0533333333333332)"
15-12-2022 13:09:11.574902,"(7.0, 26.0, 16.4)","(8.0, 15.5, 11.0)","(9.0, 19.0, 12.942857142857143)","(9.0, 36.0, 29.25)","(21.0, 230.0, 122.75)","(4.0, 6.6, 4.105882352941177)","(17.0, 180.0, 152.16666666666666)","(2.05, 3.55, 3.0533333333333332)"
15-12-2022 13:09:12.999373,"(7.0, 26.0, 16.4)","(8.0, 15.5, 11.0)","(9.0, 19.0, 12.942857142857143)","(9.0, 36.0, 29.25)","(21.0, 230.0, 122.75)","(4.0, 6.6, 4.105882352941177)","(17.0, 180.0, 152.16666666666666)","(2.05, 3.55, 3.0533333333333332)"
15-12-2022 13:09:14.358048,"(7.0, 26.0, 16.4)","(8.0, 15.5, 11.0)","(9.0, 19.0, 12.942857142857143)","(9.0, 36.0, 29.25)","(21.0, 230.0, 122.75)","(4.0, 6.6, 4.105882352941177)","(17.0, 180.0, 152.16666666666666)","(2.05, 3.55, 3.0533333333333332)"
15-12-2022 13:09:15.902631,"(7.0, 26.0, 16.4)","(8.0, 15.5, 11.0)","(9.0, 19.0, 12.942857142857143)","(9.0, 36.0, 29.25)","(21.0, 230.0, 122.75)","(4.0, 6.6, 4.105882352941177)","(17.0, 180.0, 152.16666666666666)","(2.05, 3.55, 3.0533333333333332)"
15-12-2022 13:09:17.363456,"(7.0, 26.0, 16.4)","(8.0, 15.5, 11.0)","(9.0, 19.0, 12.942857142857143)","(9.0, 36.0, 29.25)","(21.0, 230.0, 122.75)","(4.0, 6.6, 4.105882352941177)","(17.0, 180.0, 152.16666666666666)","(2.05, 3.55, 3.0533333333333332)"
15-12-2022 13:09:18.704174,"(7.0, 26.0, 16.4)","(8.0, 15.5, 11.0)","(9.0, 19.0, 12.942857142857143)","(9.0, 36.0, 29.25)","(21.0, 230.0, 122.75)","(4.0, 6.6, 4.105882352941177)","(17.0, 180.0, 152.16666666666666)","(2.05, 3.55, 3.0533333333333332)"
15-12-2022 13:09:20.045645,"(7.0, 26.0, 16.4)","(8.0, 15.5, 11.0)","(9.0, 19.0, 12.942857142857143)","(9.0, 36.0, 29.25)","(21.0, 230.0, 122.75)","(4.0, 6.6, 4.105882352941177)","(17.0, 180.0, 152.16666666666666)","(2.05, 3.55, 3.0533333333333332)"
15-12-2022 13:09:21.557608,"(7.0, 26.0, 16.4)","(8.0, 15.5, 11.0)","(9.0, 19.0, 12.942857142857143)","(9.0, 36.0, 29.25)","(21.0, 230.0, 122.75)","(4.0, 6.6, 4.105882352941177)","(17.0, 180.0, 152.16666666666666)","(2.05, 3.55, 3.0533333333333332)"
15-12-2022 13:09:22.805123,"(7.0, 26.0, 16.4)","(8.0, 15.5, 11.0)","(9.0, 19.0, 12.942857142857143)","(9.0, 36.0, 29.25)","(21.0, 230.0, 122.75)","(4.0, 6.6, 4.105882352941177)","(17.0, 180.0, 152.16666666666666)","(2.05, 3.55, 3.0533333333333332)"
15-12-2022 13:09:24.109023,"(7.0, 26.0, 16.4)","(8.0, 15.5, 11.0)","(9.0, 19.0, 12.942857142857143)","(9.0, 36.0, 29.25)","(21.0, 230.0, 122.75)","(4.0, 6.6, 4.105882352941177)","(17.0, 180.0, 152.16666666666666)","(2.05, 3.55, 3.0533333333333332)"
15-12-2022 13:09:25.330824,"(7.0, 26.0, 16.4)","(8.0, 15.5, 11.0)","(9.0, 19.0, 12.942857142857143)","(9.0, 36.0, 29.25)","(21.0, 230.0, 122.75)","(4.0, 6.6, 4.105882352941177)","(17.0, 180.0, 152.16666666666666)","(2.05, 3.55, 3.0533333333333332)"
15-12-2022 13:09:26.627542,"(7.0, 26.0, 16.4)","(8.0, 15.5, 11.0)","(9.0, 19.0, 12.942857142857143)","(9.0, 36.0, 29.25)","(21.0, 230.0, 122.75)","(4.0, 6.6, 4.105882352941177)","(17.0, 180.0, 152.16666666666666)","(2.05, 3.55, 3.0533333333333332)"
15-12-2022 13:09:27.941003,"(7.0, 26.0, 16.4)","(8.0, 15.5, 11.0)","(9.0, 19.0, 12.942857142857143)","(9.0, 36.0, 29.25)","(21.0, 230.0, 122.75)","(4.0, 6.6, 4.105882352941177)","(17.0, 180.0, 152.16666666666666)","(2.05, 3.55, 3.0533333333333332)"
15-12-2022 13:09:29.288855,"(7.0, 26.0, 16.4)","(8.0, 15.5, 11.0)","(9.0, 19.0, 12.942857142857143)","(9.0, 36.0, 29.25)","(21.0, 230.0, 122.75)","(4.0, 6.6, 4.105882352941177)","(17.0, 180.0, 152.16666666666666)","(2.05, 3.55, 3.0533333333333332)"
15-12-2022 13:09:30.595429,"(7.0, 26.0, 16.4)","(8.0, 15.5, 11.0)","(9.0, 19.0, 12.942857142857143)","(9.0, 36.0, 29.25)","(21.0, 230.0, 122.75)","(4.0, 6.6, 4.105882352941177)","(17.0, 180.0, 152.16666666666666)","(2.05, 3.55, 3.0533333333333332)"
15-12-2022 13:09:31.826848,"(7.0, 26.0, 16.4)","(8.0, 15.5, 11.0)","(9.0, 19.0, 12.942857142857143)","(9.0, 36.0, 29.25)","(21.0, 230.0, 122.75)","(4.0, 6.6, 4.105882352941177)","(17.0, 180.0, 152.16666666666666)","(2.05, 3.55, 3.0533333333333332)"
15-12-2022 13:09:33.207243,"(7.0, 26.0, 16.4)","(8.0, 15.5, 11.0)","(9.0, 19.0, 12.942857142857143)","(9.0, 36.0, 29.25)","(21.0, 230.0, 122.75)","(4.0, 6.6, 4.105882352941177)","(17.0, 180.0, 152.16666666666666)","(2.05, 3.55, 3.0533333333333332)"
15-12-2022 13:09:34.587817,"(7.0, 26.0, 16.4)","(8.0, 15.5, 11.0)","(9.0, 19.0, 12.942857142857143)","(9.0, 36.0, 29.25)","(21.0, 230.0, 122.75)","(4.0, 6.6, 4.105882352941177)","(17.0, 180.0, 152.16666666666666)","(2.05, 3.55, 3.0533333333333332)"
15-12-2022 13:09:35.947062,"(7.0, 26.0, 16.4)","(8.0, 15.5, 11.0)","(9.0, 19.0, 12.942857142857143)","(9.0, 36.0, 29.25)","(21.0, 230.0, 122.75)","(4.0, 6.6, 4.105882352941177)","(17.0, 180.0, 152.16666666666666)","(2.05, 3.55, 3.0533333333333332)"
