,Little Burrito,Sketchy Zara,Winlock Too Much,Winlock Augustus,Molly And Me,Stay Humble,Askey,Typhoon Nellie
15-12-2022 15:23:01.658743,"(2.9, 5.0, 4.382857142857143)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:02.996298,"(2.9, 5.0, 4.382857142857143)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:04.271333,"(2.9, 5.0, 4.382857142857143)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:05.494773,"(2.9, 5.0, 4.382857142857143)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:06.722161,"(2.9, 5.0, 4.382857142857143)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:07.959153,"(2.9, 5.0, 4.382857142857143)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:09.261756,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:10.545222,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:12.064962,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
15-12-2022 15:23:13.527102,"(2.9, 5.1, 3.9699999999999998)","(81.0, 580.0, 325.0)","(15.0, 40.0, 29.583333333333336)","(21.0, 60.0, 40.0)","(19.0, 60.0, 31.42857142857143)","(4.2, 7.0, 6.55)","(2.3, 3.65, 3.142)","(7.0, 15.0, 10.636363636363637)"
