,Sozins Royal,Yoshi Moon,Goldstar Charm,Little Nosey,Tiggerlong Panda,Harry Baxter,Homebush Opal,Mighty Mccook
16-12-2022 12:05:32.674208,"(7.5, 29.0, 18.200000000000003)","(4.2, 9.0, 7.4)","(11.0, 23.0, 16.3)","(6.0, 15.0, 10.45)","(2.6, 3.45, 2.9569565217391305)","(10.0, 34.0, 18.333333333333332)","(11.0, 48.0, 27.32307692307692)","(8.0, 15.5, 14.5125)"
16-12-2022 12:05:33.744825,"(7.5, 29.0, 18.200000000000003)","(4.2, 9.0, 7.4)","(11.0, 23.0, 16.3)","(6.0, 15.0, 10.45)","(2.6, 3.45, 2.9569565217391305)","(10.0, 34.0, 18.333333333333332)","(11.0, 48.0, 27.32307692307692)","(8.0, 15.5, 14.5125)"
16-12-2022 12:05:34.945489,"(7.5, 29.0, 18.200000000000003)","(4.2, 9.0, 7.4)","(11.0, 23.0, 16.3)","(6.0, 15.0, 10.45)","(2.6, 3.45, 2.9569565217391305)","(10.0, 34.0, 18.333333333333332)","(11.0, 48.0, 27.32307692307692)","(8.0, 15.5, 14.5125)"
16-12-2022 12:05:36.183450,"(7.5, 29.0, 18.200000000000003)","(4.2, 9.0, 7.4)","(11.0, 23.0, 16.3)","(6.0, 15.0, 10.45)","(2.6, 3.45, 2.9569565217391305)","(10.0, 34.0, 18.333333333333332)","(11.0, 48.0, 27.32307692307692)","(8.0, 15.5, 14.5125)"
16-12-2022 12:05:37.326270,"(7.5, 29.0, 18.200000000000003)","(4.2, 9.0, 7.4)","(11.0, 23.0, 16.3)","(6.0, 15.0, 10.45)","(2.6, 3.45, 2.9569565217391305)","(10.0, 34.0, 18.333333333333332)","(11.0, 48.0, 27.32307692307692)","(8.0, 15.5, 14.5125)"
16-12-2022 12:05:38.687174,"(7.5, 29.0, 18.200000000000003)","(4.2, 9.0, 7.4)","(11.0, 23.0, 16.3)","(6.0, 15.0, 10.45)","(2.6, 3.45, 2.9569565217391305)","(10.0, 34.0, 18.333333333333332)","(11.0, 48.0, 27.32307692307692)","(8.0, 15.5, 14.5125)"
16-12-2022 12:05:40.019488,"(7.5, 29.0, 18.200000000000003)","(4.2, 9.0, 7.4)","(11.0, 23.0, 16.3)","(6.0, 15.0, 10.45)","(2.6, 3.45, 2.9569565217391305)","(10.0, 34.0, 18.333333333333332)","(11.0, 48.0, 27.32307692307692)","(8.0, 15.5, 14.5125)"
16-12-2022 12:05:41.410043,"(7.5, 29.0, 18.200000000000003)","(4.2, 9.0, 7.4)","(11.0, 23.0, 16.3)","(6.0, 15.0, 10.45)","(2.6, 3.45, 2.9569565217391305)","(10.0, 34.0, 18.333333333333332)","(11.0, 48.0, 27.32307692307692)","(8.0, 15.5, 14.5125)"
16-12-2022 12:05:42.702292,"(7.5, 29.0, 18.200000000000003)","(4.2, 9.0, 8.709090909090909)","(11.0, 23.0, 16.3)","(6.0, 15.0, 14.049999999999999)","(2.6, 3.45, 2.9569565217391305)","(10.0, 34.0, 18.333333333333332)","(11.0, 48.0, 27.32307692307692)","(8.0, 15.5, 14.5125)"
16-12-2022 12:05:43.946378,"(7.5, 29.0, 18.200000000000003)","(4.2, 9.0, 8.709090909090909)","(11.0, 23.0, 16.3)","(6.0, 15.0, 14.049999999999999)","(2.6, 3.45, 2.9569565217391305)","(10.0, 34.0, 18.333333333333332)","(11.0, 48.0, 27.32307692307692)","(8.0, 15.5, 14.5125)"
16-12-2022 12:05:45.456674,"(7.5, 29.0, 18.200000000000003)","(4.2, 9.0, 7.16)","(11.0, 23.0, 14.066666666666666)","(6.0, 15.0, 10.45)","(2.6, 3.45, 2.9569565217391305)","(10.0, 34.0, 18.333333333333332)","(11.0, 48.0, 27.32307692307692)","(8.0, 15.5, 14.105882352941176)"
16-12-2022 12:05:46.782844,"(7.5, 29.0, 18.200000000000003)","(4.2, 9.0, 7.16)","(11.0, 23.0, 14.066666666666666)","(6.0, 15.0, 10.45)","(2.6, 3.45, 2.9569565217391305)","(10.0, 34.0, 18.333333333333332)","(11.0, 48.0, 27.32307692307692)","(8.0, 15.5, 14.105882352941176)"
16-12-2022 12:05:48.145413,"(7.5, 29.0, 18.200000000000003)","(4.2, 9.0, 8.709090909090909)","(11.0, 23.0, 14.066666666666666)","(6.0, 15.0, 10.45)","(2.6, 3.45, 2.9569565217391305)","(10.0, 34.0, 18.333333333333332)","(11.0, 48.0, 27.32307692307692)","(8.0, 15.5, 14.105882352941176)"
