,Only One Don,Brilliant Art,Whata Terror,Royal Princess,Goldies A Delight,Vanity Bay,Melton Beach Nz,Holdingno Currency,Aqua Cruiser,Studleigh Sonny,Arts Peregrine,Major Mischief
16-12-2022 15:26:41.966508,"(6.5, 10.5, 9.614285714285714)","(21.0, 42.0, 34.666666666666664)","(11.0, 18.5, 15.3)","(26.0, 60.0, 41.333333333333336)","(4.6, 7.2, 6.4)","(19.0, 34.0, 27.6)","(3.9, 99999, 99990)","(20.0, 36.0, 26.0)","(81.0, 120.0, 90.45454545454545)","(3.6, 5.8, 5.245)","(16.0, 27.0, 18.666666666666668)","(17.0, 28.0, 22.8)"
16-12-2022 15:26:43.462764,"(6.5, 10.5, 9.614285714285714)","(21.0, 42.0, 34.666666666666664)","(11.0, 18.5, 15.3)","(26.0, 60.0, 41.333333333333336)","(4.6, 7.2, 6.4)","(19.0, 34.0, 27.6)","(3.9, 99999, 99990)","(20.0, 36.0, 26.0)","(81.0, 120.0, 90.45454545454545)","(3.6, 5.8, 5.245)","(16.0, 27.0, 18.666666666666668)","(17.0, 28.0, 22.8)"
16-12-2022 15:26:44.955873,"(6.5, 10.5, 9.614285714285714)","(21.0, 42.0, 34.666666666666664)","(11.0, 18.5, 15.3)","(26.0, 60.0, 41.333333333333336)","(4.6, 7.2, 6.4)","(19.0, 34.0, 27.6)","(3.9, 99999, 99990)","(20.0, 36.0, 26.0)","(81.0, 120.0, 90.45454545454545)","(3.6, 5.8, 5.245)","(16.0, 27.0, 18.666666666666668)","(17.0, 28.0, 22.8)"
16-12-2022 15:26:46.345042,"(6.5, 10.5, 9.614285714285714)","(21.0, 42.0, 34.666666666666664)","(11.0, 18.5, 15.3)","(26.0, 60.0, 41.333333333333336)","(4.6, 7.2, 6.4)","(19.0, 34.0, 27.6)","(3.9, 99999, 99990)","(20.0, 36.0, 26.0)","(81.0, 120.0, 90.45454545454545)","(3.6, 5.8, 5.245)","(16.0, 27.0, 18.666666666666668)","(17.0, 28.0, 22.8)"
16-12-2022 15:26:47.805047,"(6.5, 10.5, 9.614285714285714)","(21.0, 42.0, 34.666666666666664)","(11.0, 18.5, 15.3)","(26.0, 60.0, 41.333333333333336)","(4.6, 7.2, 7.059259259259259)","(19.0, 34.0, 27.6)","(3.9, 99999, 99990)","(20.0, 36.0, 26.0)","(81.0, 120.0, 90.45454545454545)","(3.6, 5.8, 5.245)","(16.0, 27.0, 18.666666666666668)","(17.0, 28.0, 22.8)"
16-12-2022 15:26:49.258641,"(6.5, 10.5, 9.614285714285714)","(21.0, 42.0, 34.666666666666664)","(11.0, 18.5, 15.3)","(26.0, 60.0, 41.333333333333336)","(4.6, 7.2, 7.059259259259259)","(19.0, 34.0, 27.6)","(3.9, 99999, 99990)","(20.0, 36.0, 26.0)","(81.0, 120.0, 90.45454545454545)","(3.6, 5.8, 5.245)","(16.0, 27.0, 18.666666666666668)","(17.0, 28.0, 22.8)"
16-12-2022 15:26:50.577586,"(6.5, 10.5, 9.614285714285714)","(21.0, 42.0, 34.666666666666664)","(11.0, 18.5, 15.3)","(26.0, 60.0, 41.333333333333336)","(4.6, 7.2, 7.059259259259259)","(19.0, 34.0, 27.6)","(3.9, 99999, 99990)","(20.0, 36.0, 26.0)","(81.0, 120.0, 90.45454545454545)","(3.6, 5.8, 5.245)","(16.0, 27.0, 18.666666666666668)","(17.0, 28.0, 22.8)"
16-12-2022 15:26:51.848503,"(6.5, 10.5, 9.614285714285714)","(21.0, 42.0, 34.666666666666664)","(11.0, 18.5, 15.3)","(26.0, 60.0, 41.333333333333336)","(4.6, 7.2, 7.059259259259259)","(19.0, 34.0, 27.6)","(3.9, 99999, 99990)","(20.0, 36.0, 26.0)","(81.0, 120.0, 90.45454545454545)","(3.6, 5.8, 5.245)","(16.0, 27.0, 18.666666666666668)","(17.0, 28.0, 22.8)"
16-12-2022 15:26:53.247864,"(6.5, 10.5, 9.614285714285714)","(21.0, 42.0, 34.666666666666664)","(11.0, 18.5, 15.3)","(26.0, 60.0, 41.333333333333336)","(4.6, 7.2, 6.0)","(19.0, 34.0, 27.6)","(3.9, 99999, 99990)","(20.0, 36.0, 26.0)","(81.0, 120.0, 90.45454545454545)","(3.6, 5.8, 5.245)","(16.0, 27.0, 18.666666666666668)","(17.0, 28.0, 22.8)"
16-12-2022 15:26:54.559998,"(6.5, 10.5, 9.614285714285714)","(21.0, 42.0, 34.666666666666664)","(11.0, 18.5, 15.3)","(26.0, 60.0, 41.333333333333336)","(4.6, 7.2, 6.0)","(19.0, 34.0, 27.6)","(3.9, 99999, 99990)","(20.0, 36.0, 26.0)","(81.0, 120.0, 90.45454545454545)","(3.6, 5.8, 5.245)","(16.0, 27.0, 18.666666666666668)","(17.0, 28.0, 22.8)"
