,Micajah,Oak Hill Lg,Wise Guy,Grief,Bet Again,Hostile Afleet
16-12-2022 09:51:24.603148,"(1.85, 2.32, 2.195)","(7.0, 11.5, 10.675)","(8.0, 13.5, 12.283333333333333)","(4.2, 8.2, 6.485714285714286)","(17.0, 46.0, 35.0)","(10.0, 13.5, 11.94)"
16-12-2022 09:51:25.672665,"(1.85, 2.32, 2.1999999999999997)","(7.0, 11.5, 10.675)","(8.0, 13.5, 12.283333333333333)","(4.2, 8.2, 6.485714285714286)","(17.0, 46.0, 35.0)","(10.0, 13.5, 11.94)"
16-12-2022 09:51:26.579776,"(1.85, 2.32, 2.1999999999999997)","(7.0, 11.5, 10.675)","(8.0, 13.5, 12.283333333333333)","(4.2, 8.2, 6.485714285714286)","(17.0, 46.0, 35.0)","(10.0, 13.5, 11.94)"
16-12-2022 09:51:27.504155,"(1.85, 2.32, 2.1999999999999997)","(7.0, 11.5, 10.675)","(8.0, 13.5, 12.283333333333333)","(4.2, 8.2, 6.485714285714286)","(17.0, 46.0, 35.0)","(10.0, 13.5, 11.94)"
16-12-2022 09:51:28.398849,"(1.85, 2.32, 2.1999999999999997)","(7.0, 11.5, 11.05)","(8.0, 13.5, 12.283333333333333)","(4.2, 8.2, 6.485714285714286)","(17.0, 46.0, 35.0)","(10.0, 13.5, 11.94)"
16-12-2022 09:51:29.291001,"(1.85, 2.32, 2.1999999999999997)","(7.0, 12.0, 11.05)","(8.0, 13.5, 12.283333333333333)","(4.2, 8.2, 6.485714285714286)","(17.0, 46.0, 35.0)","(10.0, 13.5, 11.94)"
16-12-2022 09:51:30.142403,"(1.85, 2.32, 2.1999999999999997)","(7.0, 12.0, 11.05)","(8.0, 13.5, 12.283333333333333)","(4.2, 8.2, 6.485714285714286)","(17.0, 46.0, 35.0)","(10.0, 13.5, 11.94)"
16-12-2022 09:51:31.059514,"(1.85, 2.32, 2.1999999999999997)","(7.0, 12.0, 11.05)","(8.0, 13.5, 12.283333333333333)","(4.2, 8.2, 6.485714285714286)","(17.0, 50.0, 37.66666666666667)","(10.0, 13.5, 11.94)"
16-12-2022 09:51:32.118192,"(1.85, 2.32, 2.1999999999999997)","(7.0, 12.0, 11.05)","(8.0, 13.5, 12.283333333333333)","(4.2, 8.2, 6.485714285714286)","(17.0, 50.0, 37.66666666666667)","(10.0, 13.5, 11.94)"
16-12-2022 09:51:33.089015,"(1.85, 2.32, 2.1999999999999997)","(7.0, 12.0, 11.05)","(8.0, 13.5, 12.283333333333333)","(4.2, 8.2, 6.485714285714286)","(17.0, 50.0, 37.66666666666667)","(10.0, 13.5, 11.94)"
16-12-2022 09:51:34.335840,"(1.85, 2.32, 2.1999999999999997)","(7.0, 12.0, 11.05)","(8.0, 13.5, 12.283333333333333)","(4.2, 8.2, 6.485714285714286)","(17.0, 50.0, 37.66666666666667)","(10.0, 13.5, 11.94)"
16-12-2022 09:51:35.679250,"(1.85, 2.32, 2.1999999999999997)","(7.0, 12.0, 11.05)","(8.0, 13.5, 12.283333333333333)","(4.2, 8.2, 6.6)","(17.0, 50.0, 37.66666666666667)","(10.0, 13.5, 12.02)"
16-12-2022 09:51:36.754879,"(1.85, 2.32, 2.1999999999999997)","(7.0, 12.0, 11.15)","(8.0, 13.5, 12.283333333333333)","(4.2, 8.2, 6.6)","(17.0, 50.0, 37.66666666666667)","(10.0, 13.5, 12.02)"
16-12-2022 09:51:37.729510,"(1.85, 2.32, 2.163333333333333)","(7.0, 12.0, 11.15)","(8.0, 13.5, 12.283333333333333)","(4.2, 8.2, 6.6)","(17.0, 50.0, 37.66666666666667)","(10.0, 13.5, 12.02)"
16-12-2022 09:51:38.830233,"(1.85, 2.32, 2.163333333333333)","(7.0, 12.0, 11.15)","(8.0, 13.5, 12.283333333333333)","(4.2, 8.2, 6.6)","(17.0, 50.0, 37.66666666666667)","(10.0, 13.5, 12.02)"
16-12-2022 09:51:39.802894,"(1.85, 2.32, 2.163333333333333)","(7.0, 12.0, 11.15)","(8.0, 13.5, 12.283333333333333)","(4.2, 8.2, 6.6)","(17.0, 50.0, 37.66666666666667)","(10.0, 13.5, 12.02)"
16-12-2022 09:51:40.828054,"(1.85, 2.32, 2.163333333333333)","(7.0, 12.0, 11.15)","(8.0, 13.5, 12.283333333333333)","(4.2, 8.2, 6.6)","(17.0, 50.0, 37.66666666666667)","(10.0, 13.5, 12.02)"
16-12-2022 09:51:41.810004,"(1.85, 2.32, 2.163333333333333)","(7.0, 12.0, 11.15)","(8.0, 13.5, 12.283333333333333)","(4.2, 8.2, 6.6)","(17.0, 50.0, 37.66666666666667)","(10.0, 13.5, 12.02)"
16-12-2022 09:51:42.920834,"(1.85, 2.32, 2.163333333333333)","(7.0, 12.0, 11.15)","(8.0, 13.5, 12.283333333333333)","(4.2, 8.2, 6.6)","(17.0, 50.0, 37.66666666666667)","(10.0, 13.5, 12.02)"
16-12-2022 09:51:44.113042,"(1.85, 2.32, 2.163333333333333)","(7.0, 12.0, 11.15)","(8.0, 13.5, 12.283333333333333)","(4.2, 8.2, 6.6)","(17.0, 50.0, 37.66666666666667)","(10.0, 13.5, 12.02)"
16-12-2022 09:51:45.158174,"(1.85, 2.32, 2.163333333333333)","(7.0, 12.0, 11.15)","(8.0, 13.5, 12.283333333333333)","(4.2, 8.2, 6.6)","(17.0, 50.0, 37.66666666666667)","(10.0, 13.5, 12.02)"
