,A Good Yarn,Pride Of Limassol,Wanaroo,Alfoil,Chosen Miss,Bella Babe,Friday At Five,Danerich Dan,Almira Gulch,Breaker Of Chains,Make An Effort,Filips Star
16-12-2022 15:41:16.143134,"(7.0, 8.6, 8.425)","(19.0, 22.0, 21.166666666666668)","(8.5, 11.5, 10.56578947368421)","(18.0, 26.0, 24.363636363636363)","(3.3, 3.7, 3.6272727272727274)","(5.5, 8.4, 8.533333333333333)","(20.0, 34.0, 33.42857142857143)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 291.8181818181818)","(41.0, 75.0, 73.5)","(3.9, 4.3, 4.2875)"
16-12-2022 15:41:17.399371,"(7.0, 8.6, 8.425)","(19.0, 22.0, 21.166666666666668)","(8.5, 11.0, 10.56578947368421)","(18.0, 26.0, 24.363636363636363)","(3.3, 3.7, 3.6272727272727274)","(5.5, 8.8, 9.290909090909091)","(20.0, 34.0, 33.42857142857143)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 291.8181818181818)","(41.0, 75.0, 73.5)","(3.9, 4.3, 4.2875)"
16-12-2022 15:41:18.619526,"(7.0, 8.6, 8.425)","(19.0, 22.0, 21.142857142857142)","(8.5, 11.0, 10.294117647058824)","(18.0, 26.0, 24.363636363636363)","(3.3, 3.7, 3.6272727272727274)","(5.5, 9.4, 9.290909090909091)","(20.0, 34.0, 33.42857142857143)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 291.8181818181818)","(41.0, 75.0, 73.5)","(3.9, 4.3, 4.2875)"
16-12-2022 15:41:19.954095,"(7.0, 8.6, 8.425)","(19.0, 22.0, 21.142857142857142)","(8.5, 11.0, 10.294117647058824)","(18.0, 26.0, 24.363636363636363)","(3.3, 3.7, 3.62)","(5.5, 9.4, 9.123076923076923)","(20.0, 34.0, 33.42857142857143)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 291.8181818181818)","(41.0, 75.0, 73.5)","(3.9, 4.3, 4.2875)"
16-12-2022 15:41:21.256484,"(7.0, 8.6, 8.425)","(19.0, 22.0, 21.125)","(8.5, 11.0, 10.294117647058824)","(18.0, 26.0, 24.363636363636363)","(3.3, 3.7, 3.62)","(5.5, 9.4, 9.123076923076923)","(20.0, 34.0, 33.42857142857143)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 291.8181818181818)","(41.0, 75.0, 73.5)","(3.9, 4.3, 4.22)"
16-12-2022 15:41:22.567476,"(7.0, 8.6, 8.425)","(19.0, 22.0, 21.142857142857142)","(8.5, 11.0, 10.2)","(18.0, 26.0, 24.363636363636363)","(3.3, 3.7, 3.611111111111111)","(5.5, 9.4, 9.123076923076923)","(20.0, 34.0, 33.42857142857143)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 291.8181818181818)","(41.0, 75.0, 73.5)","(3.9, 4.3, 4.22)"
16-12-2022 15:41:23.880100,"(7.0, 8.6, 8.425)","(19.0, 22.0, 21.142857142857142)","(8.5, 11.0, 10.2)","(18.0, 26.0, 24.363636363636363)","(3.3, 3.7, 3.611111111111111)","(5.5, 9.4, 9.123076923076923)","(20.0, 34.0, 33.42857142857143)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 291.8181818181818)","(41.0, 75.0, 73.5)","(3.9, 4.3, 4.22)"
16-12-2022 15:41:25.397473,"(7.0, 8.6, 8.425)","(19.0, 22.0, 21.142857142857142)","(8.5, 11.0, 10.2)","(18.0, 26.0, 24.363636363636363)","(3.3, 3.7, 3.611111111111111)","(5.5, 9.4, 9.123076923076923)","(20.0, 34.0, 33.42857142857143)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 291.8181818181818)","(41.0, 75.0, 73.5)","(3.9, 4.3, 4.22)"
16-12-2022 15:41:26.730233,"(7.0, 8.6, 8.425)","(19.0, 22.0, 21.142857142857142)","(8.5, 11.0, 10.2)","(18.0, 26.0, 24.363636363636363)","(3.3, 3.7, 3.611111111111111)","(5.5, 9.4, 8.905882352941177)","(20.0, 34.0, 33.42857142857143)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 291.8181818181818)","(41.0, 75.0, 73.5)","(3.9, 4.3, 4.22)"
16-12-2022 15:41:28.010604,"(7.0, 8.6, 8.425)","(19.0, 21.0, 20.90909090909091)","(8.5, 11.0, 10.2)","(18.0, 26.0, 24.363636363636363)","(3.3, 3.7, 3.611111111111111)","(5.5, 9.4, 8.905882352941177)","(20.0, 34.0, 33.42857142857143)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 291.8181818181818)","(41.0, 75.0, 73.5)","(3.9, 4.3, 4.290532544378698)"
16-12-2022 15:41:29.355383,"(7.0, 8.6, 8.425)","(19.0, 21.0, 20.888)","(8.5, 11.0, 10.2)","(18.0, 26.0, 24.363636363636363)","(3.3, 3.8, 3.6580645161290324)","(5.5, 9.4, 8.905882352941177)","(20.0, 34.0, 33.42857142857143)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 291.8181818181818)","(41.0, 75.0, 73.5)","(3.9, 4.3, 4.289937106918239)"
16-12-2022 15:41:30.873479,"(7.0, 8.6, 8.425)","(19.0, 21.0, 20.888)","(8.5, 11.0, 10.2)","(18.0, 26.0, 24.363636363636363)","(3.3, 3.8, 3.6476190476190475)","(5.5, 9.4, 8.905882352941177)","(20.0, 34.0, 37.0)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 291.8181818181818)","(41.0, 75.0, 73.5)","(3.9, 4.3, 4.290243902439024)"
16-12-2022 15:41:32.221690,"(7.0, 8.6, 8.425)","(19.0, 21.0, 20.88235294117647)","(8.5, 11.0, 10.2)","(18.0, 26.0, 24.4)","(3.3, 3.8, 3.643478260869565)","(5.5, 9.4, 8.905882352941177)","(20.0, 40.0, 37.0)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 291.8181818181818)","(41.0, 75.0, 73.5)","(3.9, 4.3, 4.290243902439024)"
16-12-2022 15:41:33.689861,"(7.0, 8.6, 8.425)","(19.0, 21.0, 20.88235294117647)","(8.5, 11.0, 10.2)","(18.0, 26.0, 24.4)","(3.3, 3.8, 3.668032786885246)","(5.5, 9.4, 8.905882352941177)","(20.0, 40.0, 37.333333333333336)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 291.8181818181818)","(41.0, 75.0, 73.5)","(3.9, 4.3, 4.290243902439024)"
16-12-2022 15:41:35.166883,"(7.0, 8.6, 8.425)","(19.0, 21.0, 20.87719298245614)","(8.5, 11.0, 10.2)","(18.0, 26.0, 24.4)","(3.3, 3.75, 3.6706349206349205)","(5.5, 9.4, 8.861538461538462)","(20.0, 40.0, 37.333333333333336)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 291.8181818181818)","(41.0, 75.0, 73.5)","(3.9, 4.3, 4.086163522012578)"
16-12-2022 15:41:36.596206,"(7.0, 8.6, 8.425)","(19.0, 21.0, 20.87719298245614)","(8.5, 11.0, 10.2)","(18.0, 26.0, 24.736842105263158)","(3.3, 3.75, 3.6735294117647057)","(5.5, 9.4, 8.861538461538462)","(20.0, 40.0, 37.333333333333336)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 291.8181818181818)","(41.0, 75.0, 72.5)","(3.9, 4.1, 4.045555555555556)"
16-12-2022 15:41:37.989209,"(7.0, 8.6, 8.425)","(19.0, 21.0, 20.87719298245614)","(8.5, 11.0, 10.2)","(18.0, 26.0, 24.736842105263158)","(3.3, 3.75, 3.6445945945945946)","(5.5, 9.4, 9.857142857142858)","(20.0, 40.0, 37.333333333333336)","(31.0, 48.0, 47.0)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 291.8181818181818)","(41.0, 75.0, 65.0)","(3.9, 4.1, 3.985)"
16-12-2022 15:41:39.357673,"(7.0, 8.6, 8.425)","(19.0, 21.0, 20.87719298245614)","(8.5, 11.0, 10.2)","(18.0, 26.0, 24.736842105263158)","(3.3, 3.75, 3.6445945945945946)","(5.5, 10.0, 9.685714285714287)","(20.0, 40.0, 37.333333333333336)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 291.8181818181818)","(41.0, 75.0, 64.16666666666667)","(3.9, 4.0, 3.9857142857142858)"
16-12-2022 15:41:40.681570,"(7.0, 8.6, 8.425)","(19.0, 21.0, 20.87719298245614)","(8.5, 11.0, 10.2)","(18.0, 26.0, 24.736842105263158)","(3.3, 3.75, 3.6445945945945946)","(5.5, 9.8, 9.685714285714287)","(20.0, 40.0, 37.333333333333336)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 291.8181818181818)","(41.0, 75.0, 64.16666666666667)","(3.9, 4.0, 3.9857142857142858)"
16-12-2022 15:41:42.008009,"(7.0, 8.6, 8.425)","(19.0, 21.0, 20.87719298245614)","(8.5, 11.0, 10.2)","(18.0, 26.0, 24.736842105263158)","(3.3, 3.75, 3.6445945945945946)","(5.5, 9.8, 9.685714285714287)","(20.0, 40.0, 37.333333333333336)","(31.0, 48.0, 46.5)","(101.0, 210.0, 183.33333333333334)","(101.0, 330.0, 291.8181818181818)","(41.0, 75.0, 64.16666666666667)","(3.9, 4.0, 3.9857142857142858)"
