,Batty,Mayapretty,Take Me As I Am,Aphrodites Revenge,Dixie Loving,Velvet Night,Holy War
16-12-2022 11:45:35.806183,"(10.0, 15.5, 15.333333333333334)","(5.5, 7.8, 7.530769230769231)","(2.9, 3.25, 3.225)","(3.6, 4.5, 4.184210526315789)","(31.0, 610.0, 231.33333333333334)","(4.4, 5.3, 5.113333333333333)","(17.0, 29.0, 26.0)"
16-12-2022 11:45:36.795477,"(10.0, 15.5, 15.333333333333334)","(5.5, 7.6, 7.49090909090909)","(2.9, 3.25, 3.225)","(3.6, 4.5, 4.184210526315789)","(31.0, 610.0, 231.33333333333334)","(4.4, 5.3, 5.1923076923076925)","(17.0, 29.0, 26.0)"
16-12-2022 11:45:37.739606,"(10.0, 15.5, 15.333333333333334)","(5.5, 7.6, 7.49090909090909)","(2.9, 3.25, 3.225)","(3.7, 4.5, 4.184210526315789)","(31.0, 610.0, 231.33333333333334)","(4.4, 5.3, 5.1923076923076925)","(17.0, 29.0, 26.0)"
16-12-2022 11:45:38.658829,"(10.0, 15.5, 15.333333333333334)","(5.5, 7.6, 7.49090909090909)","(2.9, 3.25, 3.225)","(3.7, 4.5, 4.184210526315789)","(31.0, 610.0, 231.33333333333334)","(4.4, 5.3, 5.1923076923076925)","(17.0, 29.0, 26.0)"
16-12-2022 11:45:39.865529,"(10.0, 15.5, 15.333333333333334)","(5.5, 7.6, 7.49090909090909)","(2.9, 3.25, 3.225)","(3.7, 4.5, 4.184210526315789)","(31.0, 610.0, 231.33333333333334)","(4.4, 5.3, 5.1923076923076925)","(17.0, 29.0, 26.0)"
16-12-2022 11:45:40.995617,"(10.0, 15.5, 15.333333333333334)","(5.5, 7.8, 7.4)","(2.9, 3.25, 3.225)","(3.7, 4.5, 4.184210526315789)","(31.0, 610.0, 231.33333333333334)","(4.4, 5.3, 5.1923076923076925)","(17.0, 29.0, 26.0)"
16-12-2022 11:45:42.016158,"(10.0, 15.5, 15.333333333333334)","(5.5, 7.8, 7.4)","(2.9, 3.25, 3.225)","(3.7, 4.5, 4.184210526315789)","(31.0, 610.0, 231.33333333333334)","(4.4, 5.3, 5.1923076923076925)","(17.0, 29.0, 26.0)"
16-12-2022 11:45:42.919823,"(10.0, 15.5, 15.214285714285714)","(5.5, 7.8, 7.4)","(2.9, 3.25, 3.225)","(3.7, 4.5, 4.184210526315789)","(31.0, 610.0, 231.33333333333334)","(4.4, 5.3, 5.1923076923076925)","(17.0, 29.0, 26.0)"
16-12-2022 11:45:43.962944,"(10.0, 15.5, 15.214285714285714)","(5.5, 7.8, 7.4)","(2.9, 3.2, 3.194594594594595)","(3.7, 4.5, 4.184210526315789)","(31.0, 610.0, 231.33333333333334)","(4.4, 5.3, 5.226315789473684)","(17.0, 29.0, 26.333333333333332)"
16-12-2022 11:45:45.105014,"(10.0, 15.5, 15.277777777777779)","(5.5, 7.8, 7.4799999999999995)","(2.9, 3.2, 3.1962264150943396)","(3.7, 4.5, 4.184210526315789)","(31.0, 610.0, 231.33333333333334)","(4.4, 5.3, 5.226315789473684)","(17.0, 29.0, 26.333333333333332)"
16-12-2022 11:45:46.161721,"(10.0, 15.5, 15.277777777777779)","(5.5, 7.8, 7.4799999999999995)","(2.9, 3.2, 3.1962264150943396)","(3.7, 4.5, 4.184210526315789)","(31.0, 610.0, 231.33333333333334)","(4.4, 5.3, 5.226315789473684)","(17.0, 29.0, 26.333333333333332)"
16-12-2022 11:45:47.168134,"(10.0, 15.5, 15.277777777777779)","(5.5, 7.6, 7.449999999999999)","(2.9, 3.2, 3.1962264150943396)","(3.7, 4.5, 4.184210526315789)","(31.0, 610.0, 231.33333333333334)","(4.4, 5.3, 5.226315789473684)","(17.0, 29.0, 26.333333333333332)"
16-12-2022 11:45:48.116909,"(10.0, 15.5, 15.277777777777779)","(5.5, 7.6, 7.449999999999999)","(2.9, 3.2, 3.168918918918919)","(3.7, 4.5, 4.166666666666666)","(31.0, 610.0, 231.33333333333334)","(4.4, 5.3, 5.226315789473684)","(17.0, 29.0, 26.333333333333332)"
16-12-2022 11:45:49.191088,"(10.0, 15.5, 15.277777777777779)","(5.5, 7.6, 7.449999999999999)","(2.9, 3.2, 3.168918918918919)","(3.7, 4.5, 4.166666666666666)","(31.0, 610.0, 231.33333333333334)","(4.4, 5.3, 5.226315789473684)","(17.0, 29.0, 26.333333333333332)"
16-12-2022 11:45:50.246384,"(10.0, 15.5, 15.277777777777779)","(5.5, 7.6, 7.504)","(2.9, 3.2, 3.162962962962963)","(3.7, 4.5, 4.166666666666666)","(31.0, 610.0, 231.33333333333334)","(4.4, 5.3, 5.226315789473684)","(17.0, 29.0, 26.333333333333332)"
16-12-2022 11:45:51.316165,"(10.0, 15.5, 15.277777777777779)","(5.5, 7.8, 7.4363636363636365)","(2.9, 3.2, 3.162962962962963)","(3.7, 4.5, 4.166666666666666)","(31.0, 610.0, 231.33333333333334)","(4.4, 5.3, 5.226315789473684)","(17.0, 29.0, 26.333333333333332)"
16-12-2022 11:45:52.319777,"(10.0, 15.5, 15.277777777777779)","(5.5, 7.8, 7.4799999999999995)","(2.9, 3.2, 3.1605263157894736)","(3.7, 4.5, 4.264705882352941)","(31.0, 610.0, 231.33333333333334)","(4.4, 5.3, 5.226315789473684)","(17.0, 29.0, 26.333333333333332)"
16-12-2022 11:45:53.524895,"(10.0, 15.5, 15.277777777777779)","(5.5, 7.6, 7.449999999999999)","(2.9, 3.2, 3.1605263157894736)","(3.7, 4.5, 4.264705882352941)","(31.0, 610.0, 231.33333333333334)","(4.4, 5.3, 5.226315789473684)","(17.0, 29.0, 26.333333333333332)"
16-12-2022 11:45:54.490825,"(10.0, 15.5, 15.277777777777779)","(5.5, 7.6, 7.449999999999999)","(2.9, 3.2, 3.1605263157894736)","(3.7, 4.5, 4.264705882352941)","(31.0, 610.0, 231.33333333333334)","(4.4, 5.3, 5.226315789473684)","(17.0, 29.0, 26.333333333333332)"
16-12-2022 11:45:55.552494,"(10.0, 15.5, 15.277777777777779)","(5.5, 7.6, 7.449999999999999)","(2.9, 3.2, 3.130232558139535)","(3.7, 4.5, 4.264705882352941)","(31.0, 610.0, 231.33333333333334)","(4.4, 5.3, 5.226315789473684)","(17.0, 29.0, 26.333333333333332)"
16-12-2022 11:45:56.543224,"(10.0, 15.5, 15.277777777777779)","(5.5, 7.6, 7.449999999999999)","(2.9, 3.2, 3.130232558139535)","(3.7, 4.5, 4.118181818181818)","(31.0, 610.0, 231.33333333333334)","(4.4, 5.3, 5.226315789473684)","(17.0, 29.0, 26.333333333333332)"
16-12-2022 11:45:57.570422,"(10.0, 15.5, 15.277777777777779)","(5.5, 7.8, 7.5793103448275865)","(2.9, 3.2, 3.130232558139535)","(3.7, 4.5, 4.118181818181818)","(31.0, 610.0, 231.33333333333334)","(4.4, 5.3, 5.226315789473684)","(17.0, 29.0, 26.333333333333332)"
16-12-2022 11:45:58.582725,"(10.0, 15.5, 15.277777777777779)","(5.5, 7.8, 7.5793103448275865)","(2.9, 3.2, 3.130232558139535)","(3.7, 4.5, 4.118181818181818)","(31.0, 610.0, 231.33333333333334)","(4.4, 5.3, 5.226315789473684)","(17.0, 29.0, 26.333333333333332)"
16-12-2022 11:45:59.641371,"(10.0, 15.5, 15.277777777777779)","(5.5, 7.8, 7.5793103448275865)","(2.9, 3.2, 3.130232558139535)","(3.7, 4.5, 4.118181818181818)","(31.0, 610.0, 231.33333333333334)","(4.4, 5.3, 5.226315789473684)","(17.0, 29.0, 26.333333333333332)"
16-12-2022 11:46:00.707703,"(10.0, 16.5, 16.166666666666668)","(5.5, 7.8, 7.5793103448275865)","(2.9, 3.2, 3.130232558139535)","(3.7, 4.5, 4.118181818181818)","(31.0, 610.0, 231.33333333333334)","(4.4, 5.3, 5.226315789473684)","(17.0, 29.0, 26.0)"
16-12-2022 11:46:01.770435,"(10.0, 16.5, 16.07142857142857)","(5.5, 8.0, 7.535714285714286)","(2.9, 3.2, 3.130232558139535)","(3.7, 4.5, 4.171875)","(31.0, 610.0, 231.33333333333334)","(4.4, 5.3, 5.235135135135135)","(17.0, 29.0, 26.0)"
16-12-2022 11:46:02.735598,"(10.0, 16.5, 15.346153846153847)","(5.5, 8.0, 7.823529411764706)","(2.9, 3.2, 3.130232558139535)","(3.7, 4.1, 3.759271523178808)","(31.0, 610.0, 506.3636363636364)","(4.4, 5.3, 5.1923076923076925)","(17.0, 29.0, 26.333333333333332)"
16-12-2022 11:46:03.707331,"(10.0, 16.5, 15.346153846153847)","(5.5, 7.8, 7.746666666666666)","(2.9, 3.2, 3.130232558139535)","(3.7, 4.1, 3.7614754098360654)","(31.0, 610.0, 231.33333333333334)","(4.4, 5.3, 5.1923076923076925)","(17.0, 29.0, 26.333333333333332)"
16-12-2022 11:46:04.684128,"(10.0, 16.5, 14.714285714285714)","(5.5, 7.8, 7.5)","(2.9, 3.2, 3.130232558139535)","(3.7, 4.3, 4.196)","(31.0, 610.0, 231.33333333333334)","(4.4, 5.3, 5.138461538461538)","(17.0, 29.0, 26.75)"
16-12-2022 11:46:05.637643,"(10.0, 16.5, 15.346153846153847)","(5.5, 7.8, 7.5)","(2.9, 3.2, 3.130232558139535)","(3.7, 4.4, 4.2)","(31.0, 610.0, 231.33333333333334)","(4.4, 5.3, 5.22)","(17.0, 29.0, 26.333333333333332)"
