,Burns Bay,Luxury Lad,Be My Rock,Stompem Nz,Animado,Yep Got Chooks,Speak With Sam,Bangkok Deejay,Much Bettor Nz,Karloo Bradley Nz
16-12-2022 14:47:21.144934,"(1.55, 2.36, 2.195)","(13.0, 22.0, 15.7)","(17.0, 38.0, 24.285714285714285)","(91.0, 99999, 99990)","(9.0, 13.5, 12.442857142857143)","(61.0, 140.0, 78.66666666666667)","(41.0, 85.0, 61.5)","(4.4, 7.2, 6.333333333333334)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:47:22.398621,"(1.55, 2.36, 2.195)","(13.0, 22.0, 15.7)","(17.0, 38.0, 24.285714285714285)","(91.0, 99999, 99990)","(9.0, 13.5, 12.442857142857143)","(61.0, 140.0, 78.66666666666667)","(41.0, 85.0, 61.5)","(4.4, 7.2, 6.333333333333334)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:47:23.929756,"(1.55, 2.36, 2.195)","(13.0, 22.0, 15.7)","(17.0, 38.0, 24.285714285714285)","(91.0, 99999, 99990)","(9.0, 13.5, 12.442857142857143)","(61.0, 140.0, 78.66666666666667)","(41.0, 85.0, 61.5)","(4.4, 7.2, 6.333333333333334)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:47:25.349546,"(1.55, 2.36, 2.195)","(13.0, 22.0, 15.7)","(17.0, 38.0, 24.285714285714285)","(91.0, 99999, 99990)","(9.0, 13.5, 12.442857142857143)","(61.0, 140.0, 78.66666666666667)","(41.0, 85.0, 61.5)","(4.4, 7.2, 6.333333333333334)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:47:26.741458,"(1.55, 2.36, 2.195)","(13.0, 22.0, 15.7)","(17.0, 38.0, 24.285714285714285)","(91.0, 99999, 99990)","(9.0, 13.5, 12.442857142857143)","(61.0, 140.0, 78.66666666666667)","(41.0, 85.0, 61.5)","(4.4, 7.2, 6.333333333333334)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:47:28.094944,"(1.55, 2.36, 2.195)","(13.0, 22.0, 15.7)","(17.0, 38.0, 24.285714285714285)","(91.0, 99999, 99990)","(9.0, 13.5, 12.442857142857143)","(61.0, 140.0, 78.66666666666667)","(41.0, 85.0, 61.5)","(4.4, 7.2, 6.333333333333334)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:47:29.414469,"(1.55, 2.36, 2.195)","(13.0, 22.0, 15.7)","(17.0, 38.0, 24.285714285714285)","(91.0, 99999, 99990)","(9.0, 13.5, 12.442857142857143)","(61.0, 140.0, 78.66666666666667)","(41.0, 85.0, 61.5)","(4.4, 7.2, 6.333333333333334)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:47:30.650961,"(1.55, 2.36, 2.195)","(13.0, 22.0, 15.7)","(17.0, 38.0, 24.285714285714285)","(91.0, 99999, 99990)","(9.0, 13.5, 12.442857142857143)","(61.0, 140.0, 78.66666666666667)","(41.0, 85.0, 61.5)","(4.4, 7.2, 6.333333333333334)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:47:31.891164,"(1.55, 2.36, 2.195)","(13.0, 22.0, 15.7)","(17.0, 38.0, 24.285714285714285)","(91.0, 99999, 99990)","(9.0, 13.5, 12.442857142857143)","(61.0, 140.0, 78.66666666666667)","(41.0, 85.0, 61.5)","(4.4, 7.2, 6.333333333333334)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:47:33.150000,"(1.55, 2.36, 2.195)","(13.0, 22.0, 15.7)","(17.0, 38.0, 24.285714285714285)","(91.0, 99999, 99990)","(9.0, 13.5, 12.442857142857143)","(61.0, 140.0, 78.66666666666667)","(41.0, 85.0, 61.5)","(4.4, 7.2, 6.333333333333334)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:47:34.376657,"(1.55, 2.36, 2.195)","(13.0, 22.0, 15.7)","(17.0, 38.0, 24.285714285714285)","(91.0, 99999, 99990)","(9.0, 13.5, 12.442857142857143)","(61.0, 140.0, 78.66666666666667)","(41.0, 85.0, 61.5)","(4.4, 7.2, 6.333333333333334)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:47:35.624929,"(1.55, 2.36, 2.195)","(13.0, 22.0, 15.7)","(17.0, 38.0, 24.285714285714285)","(91.0, 99999, 99990)","(9.0, 13.5, 12.442857142857143)","(61.0, 140.0, 78.66666666666667)","(41.0, 85.0, 61.5)","(4.4, 7.2, 6.333333333333334)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:47:36.923823,"(1.55, 2.36, 2.195)","(13.0, 22.0, 15.7)","(17.0, 38.0, 23.454545454545453)","(91.0, 99999, 99990)","(9.0, 13.5, 12.442857142857143)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 61.5)","(4.4, 7.2, 6.333333333333334)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:47:38.210890,"(1.55, 2.36, 2.195)","(13.0, 22.0, 15.7)","(17.0, 38.0, 23.454545454545453)","(91.0, 99999, 99990)","(9.0, 13.5, 12.442857142857143)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 61.5)","(4.4, 7.2, 6.333333333333334)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:47:39.539837,"(1.55, 2.36, 2.195)","(13.0, 22.0, 15.7)","(17.0, 38.0, 23.454545454545453)","(91.0, 99999, 99990)","(9.0, 13.5, 12.442857142857143)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 61.5)","(4.4, 7.2, 6.333333333333334)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:47:40.822445,"(1.55, 2.36, 2.195)","(13.0, 22.0, 15.7)","(17.0, 38.0, 23.454545454545453)","(91.0, 99999, 99990)","(9.0, 13.5, 12.442857142857143)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 61.5)","(4.4, 7.2, 6.333333333333334)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
